target:h_c,target:sigma_k,predicted:h_c,predicted:sigma_k
0.16031496226787567,446.8188781738281,0.09322477877140045,392.5013732910156
1.7505512237548828,639.4566650390625,1.6855475902557373,579.4451293945312
0.815118134021759,89.06298828125,0.9202286601066589,92.87577819824219
1.8596850633621216,485.3464660644531,1.8815829753875732,431.73089599609375
1.3140157461166382,160.61416625976562,0.9828771948814392,216.60939025878906
0.6903936862945557,661.472412109375,0.9299144744873047,600.4601440429688
0.908661425113678,353.251953125,0.8781054615974426,385.85369873046875
0.28503936529159546,589.9212646484375,0.342094749212265,631.8421020507812
1.8752756118774414,661.472412109375,1.9004243612289429,562.5637817382812
1.0333858728408813,320.22833251953125,1.2955514192581177,268.9761657714844
0.659212589263916,650.4645385742188,0.6882675886154175,596.88525390625
1.7817323207855225,160.61416625976562,1.8750149011611938,170.95501708984375
1.2672441005706787,56.039371490478516,1.255979299545288,66.68323516845703
1.064566969871521,50.53543472290039,1.2375167608261108,56.50113296508789
0.7683464288711548,600.9291381835938,0.6546754240989685,571.7994384765625
1.4855117797851562,441.3149719238281,1.535244107246399,498.0702209472656
0.03559055179357529,512.8661499023438,0.07594850659370422,525.8267211914062
0.8307086825370789,485.3464660644531,0.772129237651825,544.0958251953125
0.8774803280830383,177.1259765625,1.1862564086914062,149.7252960205078
1.3140157461166382,116.58268737792969,1.0389962196350098,149.1087188720703
1.15811026096344,655.968505859375,1.4339227676391602,587.3675537109375
0.5033071041107178,155.1102294921875,0.7336279153823853,135.3557586669922
1.0333858728408813,479.842529296875,1.340340256690979,401.5153503417969
1.7505512237548828,485.3464660644531,1.3925596475601196,582.0390625
0.19149605929851532,639.4566650390625,0.657484233379364,422.5323486328125
1.7973228693008423,155.1102294921875,1.6854444742202759,190.3529052734375
1.423149585723877,89.06298828125,1.65677809715271,47.940155029296875
0.7839370369911194,644.9606323242188,0.6352001428604126,661.483642578125
1.8596850633621216,545.8897705078125,1.7454400062561035,601.4255981445312
1.5478739738464355,50.53543472290039,1.2906206846237183,108.04837799072266
1.423149585723877,496.3543395996094,1.7322684526443481,438.0958251953125
0.5812598466873169,259.6850280761719,0.7023898363113403,226.48048400878906
0.8462992310523987,358.7558898925781,1.0743215084075928,305.2398986816406
0.9242519736289978,452.32281494140625,0.8957536816596985,420.7783508300781
0.3006299138069153,650.4645385742188,0.447404682636261,505.900390625
1.906456708908081,622.9448852539062,2.0333218574523926,547.7723999023438
0.28503936529159546,375.26776123046875,0.1667015552520752,456.26470947265625
0.16031496226787567,254.1811065673828,0.4088687002658844,212.61776733398438
1.9688189029693604,193.63780212402344,1.7814059257507324,270.34173583984375
0.28503936529159546,314.7243957519531,0.31740087270736694,333.9071350097656
0.7371653318405151,507.3622131347656,0.91232830286026,443.809326171875
1.1892913579940796,639.4566650390625,1.4299616813659668,604.7998046875
1.8908661603927612,342.24407958984375,1.4309808015823364,566.3623046875
1.4855117797851562,622.9448852539062,1.265348196029663,707.14599609375
0.8618897795677185,562.4015502929688,0.9122503399848938,594.245361328125
0.19149605929851532,534.8818969726562,0.07447413355112076,642.35986328125
0.5188976526260376,419.2992248535156,0.5746867656707764,426.17718505859375
1.3763779401779175,155.1102294921875,1.4963406324386597,120.21646118164062
0.5968503952026367,413.7952880859375,0.5034841895103455,315.0390625
1.3763779401779175,386.2756042480469,1.0951606035232544,533.8562622070312
1.8440945148468018,160.61416625976562,1.650803565979004,161.2007598876953
1.15811026096344,424.80316162109375,0.5869719386100769,651.0513305664062
0.03559055179357529,353.251953125,0.0543028898537159,470.4854431152344
0.5033071041107178,6.503936767578125,0.41853809356689453,-0.428491473197937
0.908661425113678,116.58268737792969,0.7644796371459961,153.6436309814453
1.15811026096344,589.9212646484375,0.7533378601074219,600.2012939453125
2.0,243.17323303222656,1.6653203964233398,363.4985656738281
0.9554330706596375,342.24407958984375,0.7733209729194641,396.63665771484375
1.2048819065093994,589.9212646484375,1.7139122486114502,497.6277160644531
