t[yr],B[G],L[erg/s],P_fill[s],Pdot_fill[s/s],chi[rad],P_vac[s],Pdot_vac[s/s],P_vacObs[s],Pdot_vacObs[s/s],bpol,etor,btorAvg
0.0,5000000000000000.0,1.393804e+37,0.001,2.533075482171493e-05,1.0471975511965976,0.001,7.237358520489979e-06,0.001,1.616518850991507e-05,300000000000000.0,50,52000000000000.0
0.99999997765,4910683000000000.0,9.7877057e+36,1.667897155401576,1.584471244338628e-08,-274.5449158743649,0.7118247786495856,9.842726476115557e-09,1.187498320955791,1.3178169156674167e-08,300000000000000.0,50,52000000000000.0
2.0119999776,4838480800000000.0,9.1235883e+36,2.106133565990872,1.2002513930263811e-08,-274.5033439858076,0.9740895837741876,6.982749295509925e-09,1.5483152287945734,9.812187992096277e-09,300000000000000.0,50,52000000000000.0
3.0299999776,4776811600000000.0,8.3750668e+36,2.4563852213336608,9.914307291708916e-09,-274.47339384619164,1.1754063190242774,5.640236716760264e-09,1.8339884615777906,8.07400117433938e-09,300000000000000.0,50,52000000000000.0
4.0669999776,4721617100000000.0,7.7024227e+36,2.757867143501065,8.542764865221013e-09,-274.44944951782173,1.3460255238223027,4.812170987384733e-09,2.079467522644866,6.957325025998865e-09,300000000000000.0,50,52000000000000.0
5.1019999776,4672397000000000.0,7.0962081e+36,3.0210630006147605,7.571652282940581e-09,-274.42971507948056,1.4939307957510708,4.2456828069090784e-09,2.2939507612189876,6.1758178155925704e-09,300000000000000.0,50,52000000000000.0
6.1549999776,4626808200000000.0,6.551632e+36,3.260527209971494,6.826903141388412e-09,-274.41258882506924,1.6280622104943878,3.8203524036665685e-09,2.489456459870287,5.5804618792183256e-09,300000000000000.0,50,52000000000000.0
7.2079999776,4584630000000000.0,6.0935891e+36,3.4780167954910173,6.240456965510759e-09,-274.3976462095521,1.7497269631313386,3.4901083453452412e-09,2.667428703477444,5.113483898415351e-09,300000000000000.0,50,52000000000000.0
8.2779999776,4544392400000000.0,5.6874978e+36,3.6809915823700883,5.756436788298117e-09,-274.3841804154942,1.8632509845262621,3.220183725694536e-09,2.833935911404907,4.728925992651508e-09,300000000000000.0,50,52000000000000.0
9.3209999776,4507126600000000.0,5.3170221e+36,3.8644312329370485,5.363594012632477e-09,-274.37237845047935,1.965897555697468,3.002602997323987e-09,2.9847961980422224,4.417174021841113e-09,300000000000000.0,50,52000000000000.0
19.407999978,4246996400000000.0,3.4513011e+36,5.211558478957054,3.3911843681019535e-09,-274.29450039044536,2.724349146037176,1.9238813154945497e-09,4.105364379306597,2.851608287247392e-09,300000000000000.0,50,52000000000000.0
29.451999978,4048135100000000.0,2.6107188e+36,6.143502317467942,2.5453548653820703e-09,-274.24774648570605,3.2562626985801177,1.462483303462517e-09,4.894804198461052,2.173079444793937e-09,300000000000000.0,50,52000000000000.0
39.678999978,3892907100000000.0,2.0689503e+36,6.884254842686893,2.058104838895511e-09,-274.21379565505026,3.684033498366687,1.1951621956016901e-09,5.5308296469230465,1.778118961789189e-09,300000000000000.0,50,52000000000000.0
49.868999978,3764010400000000.0,1.7639757e+36,7.494851719428179,1.7394793538900444e-09,-274.18762993333087,4.04008698695121,1.019068473761244e-09,6.060752161832132,1.5172885316356375e-09,300000000000000.0,50,52000000000000.0
60.234999978,3657209900000000.0,1.5273283e+36,8.027489966435379,1.5122668646973383e-09,-274.16599543212885,4.353237135995772,8.927272592930022e-10,6.527117926410419,1.3298734531001734e-09,300000000000000.0,50,52000000000000.0
70.621999978,3563198000000000.0,1.354698e+36,8.496163115585473,1.3406356918735896e-09,-274.14779573163514,4.630744662186512,7.966488039080986e-10,6.940587558824097,1.187195237452022e-09,300000000000000.0,50,52000000000000.0
81.170999978,3475340600000000.0,1.2633091e+36,8.920690081461556,1.2022426116718727e-09,-274.1319355091121,4.8836834027044596,7.186215461712932e-10,7.317576695808069,1.0712259914175865e-09,300000000000000.0,50,52000000000000.0
91.458999978,3399287700000000.0,1.2188429e+36,9.294750078250173,1.094347424314332e-09,-274.11842257213095,5.107777435894895,6.574646802853996e-10,7.651659968817303,9.802782846604305e-10,300000000000000.0,50,52000000000000.0
192.84099998,2835976400000000.0,7.3141166e+35,11.83067177783773,5.663323710118741e-10,-274.0366218403852,6.656010699157443,3.5126173310824333e-10,9.961317805601986,5.242382778523831e-10,300000000000000.0,50,52000000000000.0
