t[yr],B[G],L[erg/s],P_fill[s],Pdot_fill[s/s],chi[rad],P_vac[s],Pdot_vac[s/s],P_vacObs[s],Pdot_vacObs[s/s],bpol,etor,btorAvg
5.1019999776,9991132300000.0,1.2326248e+35,0.005142578943569102,1.411901353832121e-11,0.5256489703410674,0.0031911030891716183,9.08837751304236e-12,0.004639074795752472,1.3963589125553466e-11,300000000000000.0,50,52000000000000.0
6.1549999776,9990296300000.0,1.2141912e+35,0.005589263251811881,1.2733578582983233e-11,0.4968567737884242,0.0034808485744793048,8.33048601768916e-12,0.005083279613487367,1.2741269661446364e-11,300000000000000.0,50,52000000000000.0
7.2079999776,9989461500000.0,1.1986161e+35,0.005995661768189123,1.1677929592246168e-11,0.4729752167746628,0.0037482451096294027,7.734859435924919e-12,0.005491633465841731,1.1791792128047258e-11,300000000000000.0,50,52000000000000.0
8.2779999776,9988623500000.0,1.1842279e+35,0.006376524531414172,1.0829001564041625e-11,0.45237199619264595,0.004001647483404222,7.243869384616305e-12,0.005877504435375479,1.1015837633092969e-11,300000000000000.0,50,52000000000000.0
9.3209999776,9987820600000.0,1.1709655e+35,0.006722786011702236,1.0153232299498559e-11,0.43497866090547044,0.004234074666975084,6.845071715060058e-12,0.006230661457578697,1.0389703948358632e-11,300000000000000.0,50,52000000000000.0
19.407999978,9980176900000.0,1.048619e+35,0.009341103530752189,6.864232735899657e-12,0.33462639676387174,0.0060352428320411,4.794919971736043e-12,0.008952012817014311,7.220317737376294e-12,300000000000000.0,50,52000000000000.0
29.451999978,9972332100000.0,9.3674611e+34,0.011287900383433393,5.521711069823133e-12,0.28418134157090497,0.007403707428844473,3.90250765699542e-12,0.011009887528101059,5.861529413323085e-12,300000000000000.0,50,52000000000000.0
39.678999978,9964248400000.0,8.3818186e+34,0.012939020579287955,4.734789161210271e-12,0.25145423121458094,0.008573911620352823,3.3643894068413015e-12,0.012766378116882224,5.0468255162285575e-12,300000000000000.0,50,52000000000000.0
49.868999978,9956092900000.0,7.564586e+34,0.014377494946360717,4.211254587816002e-12,0.2282917134856104,0.009597473152395767,3.0006479927598616e-12,0.014301223095494545,4.4977930995355814e-12,300000000000000.0,50,52000000000000.0
60.234999978,9947822400000.0,6.8843685e+34,0.01569316737084582,3.8240211878902244e-12,0.21042706629394908,0.01053565020002003,2.728934775421108e-12,0.01570715225076054,4.088441468601949e-12,300000000000000.0,50,52000000000000.0
