#;PSRJ;PMRA;PMDEC;PX;POSEPOCH;Gl;Gb;RAJD;DECJD;P0;P1;DM;TAU_SC;S400;S1400;S2000;DIST;ZZ;XX;YY;ASSOC;SURVEY;
;;(mas/yr);(mas/yr);(mas);(MJD);(deg);(deg);(deg);(deg);(s);;(cm^-3pc);(s);(mJy);(mJy);(mJy);(kpc);(kpc);(kpc);(kpc);;;
25;J0036-1033;NAN;NAN;NAN;58774.00;110.033;-73.044;9.06254167;-10.55394444;0.900009;2.13e-16;23.10;NAN;1.00;NAN;NAN;25.000;-23.913;6.850;10.998;NAN;mwa_smart;
26;J0038-2501;NAN;NAN;NAN;57474.00;67.413;-86.354;9.54276667;-25.02520278;0.256926;7.60e-19;5.71;NAN;NAN;NAN;NAN;0.604;-0.603;0.035;8.485;NAN;gbncc;
27;J0039+35;NAN;NAN;NAN;NAN;120.121;-27.054;9.77500000;35.75000000;0.536700;NAN;53.04;NAN;NAN;NAN;NAN;25.000;-11.371;19.258;19.673;NAN;lotaas,ar327;
28;J0040+5716;12.390;-5.400;0.110;56000.00;121.452;-5.567;10.13495792;57.27356472;1.118225;2.88e-15;92.52;NAN;7.50;0.60;NAN;2.420;-0.235;2.055;9.757;NAN;gb2,gbncc,lotaas;
29;J0040-7326;NAN;NAN;NAN;NAN;304.018;-43.666;10.10125000;-73.43855556;0.398700;NAN;85.00;NAN;NAN;NAN;NAN;58.195;-40.181;-34.892;-15.051;EXGAL:SMC[cls+24];meerkat_trapum;
30;J0040-7335;NAN;NAN;NAN;NAN;303.957;-43.508;10.22458333;-73.59927778;0.145200;NAN;199.00;NAN;NAN;NAN;NAN;61.200;-42.133;-36.817;-16.294;EXGAL:SMC[cls+24];meerkat_trapum;
31;J0040-7337;NAN;NAN;NAN;NAN;303.964;-43.488;10.20250000;-73.61869444;0.059900;NAN;102.00;NAN;NAN;NAN;NAN;58.722;-40.413;-35.335;-15.302;EXGAL:SMC[cls+24],SNR:DEM;meerkat_trapum;
32;J0043-73;NAN;NAN;NAN;57990.69;303.741;-43.786;10.82333333;-73.32986111;0.937429;NAN;115.00;NAN;NAN;0.05;NAN;58.965;-40.802;-35.398;-15.144;EXGAL:SMC;misc;
33;J0044-7314;NAN;NAN;NAN;NAN;303.579;-43.886;11.24250000;-73.23433333;0.396900;NAN;78.00;NAN;NAN;NAN;NAN;57.936;-40.163;-34.788;-14.595;EXGAL:SMC[cls+24];meerkat_trapum;
34;J0045-7042;NAN;NAN;NAN;52407.00;303.652;-46.418;11.35704167;-70.70197222;0.632336;2.49e-15;71.30;NAN;NAN;0.06;NAN;59.700;-43.246;-34.260;-14.307;EXGAL:SMC;misc;
