#;PSRJ;PMRA;PMDEC;PX;POSEPOCH;Gl;Gb;RAJD;DECJD;P0;P1;DM;TAU_SC;S400;S1400;S2000;DIST;ZZ;XX;YY;ASSOC;SURVEY;
;;(mas/yr);(mas/yr);(mas);(MJD);(deg);(deg);(deg);(deg);(s);;(cm^-3pc);(s);(mJy);(mJy);(mJy);(kpc);(kpc);(kpc);(kpc);;;
445;J0945-4833;NAN;NAN;NAN;51703.00;274.199;3.674;146.40939167;-48.55402778;0.331586;4.83e-15;98.10;NAN;NAN;0.39;NAN;0.352;0.023;-0.350;8.474;NAN;pksmb,htru_pks;
446;J0946+0951;-38.000;-21.000;NAN;48483.00;225.413;43.126;146.53166667;9.86527778;1.097706;3.49e-15;15.32;0.00;4.00;NAN;NAN;0.892;0.610;-0.464;8.957;XRS:[zsp05];misc,gb2,lotaas;
447;J0947+2740;NAN;NAN;NAN;53400.00;201.142;49.384;146.83869583;27.67875000;0.851014;4.30e-16;29.09;NAN;1.00;0.13;NAN;25.000;18.977;-5.870;23.679;NAN;ar4,ar327,gbncc,lotaas;
448;J0948-5549;NAN;NAN;NAN;NAN;279.168;-1.646;147.05116667;-55.82136111;0.166095;NAN;178.00;NAN;NAN;NAN;NAN;0.416;-0.012;-0.411;8.434;NAN;mmgps-l;
449;J0949-6902;NAN;NAN;NAN;55195.00;287.826;-11.702;147.33569583;-69.04488889;0.640016;6.37e-16;93.00;NAN;NAN;0.30;NAN;1.678;-0.340;-1.564;7.997;NAN;htru_pks;
450;J0951-71;NAN;NAN;NAN;54810.00;289.469;-13.321;147.85000000;-71.31694444;0.212378;NAN;77.00;NAN;NAN;NAN;NAN;1.516;-0.349;-1.391;8.008;NAN;htru_pks;
451;J0952-3839;NAN;NAN;NAN;43557.59;268.702;12.033;148.07166667;-38.65283333;1.373815;5.80e-16;162.88;0.00;8.50;4.00;NAN;0.523;0.109;-0.511;8.512;NAN;mol2,gbncc,htru_pks,pks70,pkssw;
452;J0953+0755;-2.090;29.460;3.820;46375.00;228.908;43.697;148.28879042;7.92659722;0.253065;2.30e-16;2.97;0.00;400.00;100.00;NAN;0.261;0.180;-0.142;8.624;NAN;misc,ar4,gb4,lotaas,mol2,pkshl;
453;J0954-5430;NAN;NAN;NAN;55323.00;278.998;-0.101;148.52519167;-54.51467222;0.472851;4.39e-14;201.57;NAN;NAN;0.51;NAN;0.433;-0.001;-0.428;8.432;NAN;pksmb,htru_pks;
454;J0955-5304;NAN;NAN;NAN;57600.00;278.264;1.159;148.87275417;-53.07128889;0.862122;3.53e-15;156.90;0.00;29.00;0.94;NAN;0.401;0.008;-0.397;8.442;NAN;mol2,ghrss,htru_pks,pks70,pksmb;
455;J0957-06;NAN;NAN;NAN;56657.00;244.762;36.201;149.25000000;-6.28333333;1.723700;NAN;26.95;NAN;NAN;NAN;NAN;2.461;1.454;-1.796;9.347;NAN;gbt350;
456;J0957-0619;NAN;NAN;NAN;57220.00;244.830;36.199;149.28383333;-6.32708333;1.723712;1.49e-16;27.30;NAN;NAN;NAN;NAN;2.525;1.491;-1.844;9.367;NAN;misc;
457;J0957-5432;NAN;NAN;NAN;51035.00;279.448;0.227;149.48337500;-54.53441667;0.203557;1.95e-15;226.10;NAN;NAN;0.18;NAN;0.449;0.002;-0.443;8.426;NAN;pksmb;
458;J0959-4809;NAN;NAN;NAN;57600.00;275.742;5.418;149.85921667;-48.16318611;0.670086;8.47e-17;92.70;NAN;16.00;4.00;NAN;0.361;0.034;-0.358;8.464;NAN;mol2,htru_pks,pks70,pkssw;
459;J1000+08;NAN;NAN;NAN;56654.00;229.732;45.498;150.15833333;8.33277778;0.440372;NAN;21.00;NAN;NAN;NAN;NAN;1.741;1.242;-0.931;9.289;NAN;htru_pks;
460;J1000-5149;NAN;NAN;NAN;51368.00;278.107;2.603;150.11725417;-51.83281111;0.255677;9.59e-16;72.80;NAN;NAN;0.26;NAN;0.127;0.006;-0.126;8.482;NAN;pksmb,htru_pks;
461;J1001-5507;NAN;NAN;NAN;57600.00;280.226;0.084;150.40770833;-55.11883333;1.436631;5.16e-14;130.32;0.00;80.00;10.00;NAN;0.300;0.000;-0.295;8.447;NAN;mol1,htru_pks,mol2,pks1,pks70,pksmb;
462;J1001-5559;NAN;NAN;NAN;51172.00;280.691;-0.648;150.28583333;-55.98338889;1.661177;8.60e-16;159.30;NAN;NAN;1.40;NAN;0.432;-0.005;-0.424;8.420;NAN;pksmb,htru_pks;
463;J1001-5603;NAN;NAN;NAN;NAN;280.726;-0.708;150.27070833;-56.05277778;0.379533;NAN;235.30;NAN;NAN;NAN;NAN;0.784;-0.010;-0.770;8.354;NAN;mmgps-l;
464;J1001-5939;NAN;NAN;NAN;53069.00;282.945;-3.548;150.38429167;-59.65494444;7.733640;5.99e-14;113.00;NAN;NAN;0.15;NAN;1.240;-0.077;-1.206;8.223;NAN;pksmb,htru_pks;
465;J1002-5559;NAN;NAN;NAN;51035.00;280.901;-0.503;150.74125000;-55.99361111;0.777501;1.57e-15;426.00;NAN;NAN;0.12;NAN;3.270;-0.029;-3.211;7.882;NAN;pksmb;
466;J1002-5919;NAN;NAN;NAN;56677.00;282.829;-3.224;150.58541667;-59.32700000;0.713489;1.04e-16;347.00;NAN;NAN;0.17;NAN;3.171;-0.178;-3.087;7.797;NAN;htru_pks;
467;J1003+41;NAN;NAN;NAN;NAN;179.832;52.973;150.87500000;41.05000000;0.880000;NAN;30.00;NAN;NAN;NAN;NAN;25.000;19.959;0.044;23.555;NAN;pumps;
468;J1003-4747;NAN;NAN;NAN;57600.00;276.037;6.117;150.83970417;-47.78366389;0.307074;2.07e-15;98.49;NAN;6.00;1.43;NAN;0.369;0.039;-0.365;8.461;NAN;mol2,ghrss,htru_pks,pks70,pkssw;
469;J1005+30;NAN;NAN;NAN;NAN;197.937;53.673;151.37500000;30.25000000;NAN;NAN;17.50;NAN;NAN;NAN;NAN;1.990;1.603;-0.363;9.622;NAN;misc;
470;J1006-6311;NAN;NAN;NAN;49178.02;285.550;-6.029;151.65250000;-63.19477778;0.835797;5.73e-16;195.99;NAN;4.00;0.12;NAN;2.382;-0.250;-2.282;7.865;NAN;pks70;
471;J1010+15;NAN;NAN;NAN;NAN;221.258;50.980;152.50000000;15.85000000;NAN;NAN;42.00;NAN;NAN;NAN;NAN;25.000;19.423;-10.380;20.332;NAN;ar327;
472;J1012-2337;NAN;NAN;NAN;49874.00;262.131;26.377;153.14052652;-23.63956138;2.517945;8.81e-16;22.51;NAN;4.10;0.14;NAN;0.983;0.437;-0.872;8.621;NAN;mol2;
473;J1012-5830;NAN;NAN;NAN;51702.00;283.459;-1.762;153.22875000;-58.50711111;2.133591;3.77e-14;294.00;NAN;NAN;0.08;NAN;2.799;-0.086;-2.721;7.849;NAN;pksmb,htru_pks;
474;J1012-5857;NAN;NAN;NAN;57600.00;283.707;-2.146;153.20195833;-58.96347222;0.819926;1.78e-14;383.90;0.00;15.00;1.91;NAN;3.185;-0.119;-3.092;7.746;NAN;pks1,htru_pks,pks70,pksmb;
475;J1013-5934;NAN;NAN;NAN;57600.00;284.130;-2.596;153.38270000;-59.57406389;0.442901;5.56e-16;379.78;NAN;NAN;2.60;NAN;3.145;-0.142;-3.047;7.733;NAN;pksmb,htru_pks;
476;J1014-48;NAN;NAN;NAN;55196.00;278.136;6.330;153.57500000;-48.82833333;1.508800;NAN;87.00;NAN;NAN;NAN;NAN;0.379;0.042;-0.373;8.447;NAN;htru_pks;
477;J1015-5719;NAN;NAN;NAN;51476.00;283.088;-0.578;153.90816667;-57.32022222;0.139882;5.74e-14;278.10;NAN;NAN;3.00;NAN;2.732;-0.028;-2.661;7.881;NAN;pksmb,htru_pks;
478;J1016-5345;NAN;NAN;NAN;57600.00;281.201;2.450;154.12972917;-53.75396111;0.769586;1.93e-15;66.80;NAN;3.50;1.10;NAN;0.116;0.005;-0.114;8.477;NAN;mol2,htru_pks,pks1,pksmb;
479;J1016-5819;NAN;NAN;NAN;55333.00;283.708;-1.363;154.05029583;-58.31696389;0.087834;6.99e-16;252.16;NAN;NAN;0.36;NAN;2.587;-0.062;-2.513;7.887;NAN;pksmb,htru_pks;
480;J1016-5857;NAN;NAN;NAN;52717.00;284.079;-1.880;154.08816667;-58.95336111;0.107386;8.08e-14;394.48;NAN;NAN;0.90;NAN;3.162;-0.104;-3.065;7.731;GRS:4FGL_J1016.3-5857[aab+22],SNR:G284.3;pksmb,FermiBlind,htru_pks;
481;J1017+3011;NAN;NAN;NAN;57986.00;198.432;56.273;154.40120833;30.19613889;0.452785;5.70e-16;27.10;NAN;NAN;NAN;NAN;25.000;20.792;-4.389;21.669;NAN;lotaas,fast_gpps;
482;J1017-5621;NAN;NAN;NAN;57600.00;282.732;0.341;154.30346250;-56.35847778;0.503463;3.14e-15;438.70;0.00;15.00;2.20;NAN;3.513;0.021;-3.427;7.726;NAN;mol2,htru_pks,pks1,pks70,pksmb;
483;J1018-1642;NAN;NAN;NAN;49688.00;258.261;32.610;154.66818997;-16.70281630;1.804695;1.74e-15;48.82;NAN;5.10;0.70;NAN;25.000;13.473;-20.618;12.784;NAN;gb2,pks70;
484;J1019-5749;NAN;NAN;NAN;55434.00;283.837;-0.679;154.96725000;-57.81830556;0.162506;2.01e-14;1040.00;NAN;NAN;3.80;NAN;10.914;-0.129;-10.597;5.890;GRS:4FGL_J1019.8-5749[aab+22];pksmb,FermiAssoc,htru_pks;
485;J1020-5510;NAN;NAN;NAN;NAN;282.468;1.591;155.13304167;-55.16883333;0.003943;NAN;134.80;NAN;NAN;NAN;NAN;1.774;0.049;-1.731;8.117;NAN;mmgps-l;
486;J1020-5921;NAN;NAN;NAN;51397.00;284.719;-1.944;155.05845833;-59.35944444;1.238305;4.05e-14;80.00;NAN;NAN;0.20;NAN;0.938;-0.032;-0.907;8.262;NAN;pksmb,htru_pks;
487;J1020-6026;NAN;NAN;NAN;55494.00;285.302;-2.848;155.04754167;-60.43508333;0.140481;6.74e-15;446.00;NAN;NAN;0.25;NAN;3.277;-0.163;-3.157;7.636;NAN;pksmb,htru_pks;
488;J1020-6158;NAN;NAN;NAN;NAN;286.150;-4.142;155.05104167;-61.98102778;0.282879;NAN;363.00;NAN;NAN;NAN;NAN;3.003;-0.217;-2.877;7.667;NAN;mmgps-l;
489;J1021-5601;NAN;NAN;NAN;51875.00;283.041;0.935;155.35341667;-56.03080556;0.670026;5.34e-17;212.00;NAN;NAN;0.37;NAN;2.429;0.040;-2.366;7.952;NAN;pksmb,htru_pks;
490;J1022-5813;NAN;NAN;NAN;51398.00;284.347;-0.834;155.61708333;-58.22500000;1.643726;1.45e-13;714.00;NAN;NAN;0.20;NAN;4.246;-0.062;-4.113;7.448;NAN;pksmb,htru_pks;
491;J1023-5746;NAN;NAN;NAN;54856.00;284.166;-0.407;155.76208333;-57.76805556;0.111472;3.84e-13;NAN;NAN;NAN;NAN;NAN;2.080;-0.015;-2.017;7.991;GRS:4FGL_J1023.0-5745[aab+22],GRS:HESS_J;FermiBlind;
492;J1024-0719;-35.277;-48.230;1.010;55614.00;251.702;40.515;156.16113071;-7.32208671;0.005162;1.85e-20;6.49;0.00;4.60;1.50;NAN;1.220;0.793;-0.881;8.791;GRS:4FGL_J1024.5-0719[aab+22],OPT:2MASS_;pks70,FermiBlind,pkshl;
493;J1028-5819;NAN;NAN;NAN;54562.00;285.065;-0.496;157.11666667;-58.31811111;0.091403;1.61e-14;96.53;NAN;NAN;0.24;0.52;1.423;-0.012;-1.374;8.130;GRS:4FGL_J1028.5-5819[aab+22];misc,FermiBlind,htru_pks;
494;J1031-6117;NAN;NAN;NAN;51496.00;286.880;-2.881;157.75933333;-61.29738889;0.306411;1.78e-15;506.80;NAN;NAN;0.12;NAN;3.383;-0.170;-3.233;7.519;NAN;pksmb;
495;J1032-5206;NAN;NAN;NAN;52161.00;282.354;5.128;158.11537500;-52.10236111;2.407622;1.79e-14;139.00;NAN;NAN;0.19;NAN;2.096;0.187;-2.039;8.053;NAN;pksmb,htru_pks;
496;J1032-5804;NAN;NAN;NAN;60100.00;285.436;0.008;158.21058333;-58.07636111;0.078741;3.61e-14;819.00;NAN;NAN;NAN;NAN;4.324;0.001;-4.168;7.349;NAN;misc;
497;J1032-5911;NAN;NAN;NAN;57600.00;285.920;-1.010;158.02031667;-59.19855556;0.464213;1.80e-15;418.20;0.00;14.00;1.10;NAN;3.005;-0.053;-2.889;7.676;NAN;mol2,htru_pks,pks70,pksmb;
498;J1034-3224;NAN;NAN;NAN;50705.00;272.050;22.117;158.58129582;-32.40721690;1.150590;2.30e-16;50.75;NAN;41.00;8.00;NAN;1.635;0.616;-1.514;8.446;NAN;pks70,gbncc,pkssw;
499;J1034-5817;NAN;NAN;NAN;NAN;285.734;-0.076;158.61941667;-58.29930556;0.791480;NAN;579.00;NAN;NAN;NAN;NAN;3.523;-0.005;-3.391;7.545;NAN;mmgps-l;
500;J1035-6345;NAN;NAN;NAN;51875.00;288.528;-4.765;158.76283333;-63.75511389;0.579577;3.50e-16;189.70;NAN;NAN;0.24;NAN;2.167;-0.180;-2.048;7.814;NAN;pksmb,htru_pks;
501;J1035-6720;-12.000;1.000;NAN;55716.00;290.371;-7.843;158.86449167;-67.33685889;0.002872;4.65e-20;84.17;NAN;NAN;0.07;NAN;1.461;-0.199;-1.357;7.996;GRS:4FGL_J1035.4-6720[aab+22];FermiBlind;
502;J1036-4926;NAN;NAN;NAN;57600.00;281.519;7.727;159.05467083;-49.43922222;0.510369;1.65e-15;136.52;0.00;9.00;0.80;NAN;2.313;0.311;-2.246;8.042;NAN;pks70,ghrss,htru_pks,pkssw;
503;J1036-6559;NAN;NAN;NAN;55010.00;289.766;-6.630;159.08350000;-65.98590833;0.533502;1.36e-15;158.36;NAN;NAN;0.30;NAN;2.052;-0.237;-1.918;7.811;NAN;htru_pks;
504;J1038+0032;NAN;NAN;NAN;53000.00;247.152;48.471;159.61222083;0.54544444;0.028852;6.70e-20;26.50;NAN;NAN;0.10;NAN;5.558;4.161;-3.396;9.931;NAN;pkshl,gbncc,fast_gpps;
505;J1038-5831;NAN;NAN;NAN;47910.63;286.284;-0.023;159.58208333;-58.52421667;0.661992;1.25e-15;72.74;NAN;NAN;2.30;NAN;0.917;-0.000;-0.880;8.243;NAN;pks1,htru_pks,pksmb;
506;J1039-6108;NAN;NAN;NAN;NAN;287.700;-2.235;159.90300000;-61.14616667;0.271553;NAN;488.20;NAN;NAN;NAN;NAN;3.217;-0.125;-3.062;7.523;NAN;mmgps-l;
507;J1039-6208;NAN;NAN;NAN;NAN;288.134;-3.129;159.78708333;-62.13836111;1.246563;NAN;281.80;NAN;NAN;NAN;NAN;2.499;-0.136;-2.371;7.723;NAN;mmgps-l;
508;J1041-1942;-1.000;14.000;NAN;48738.00;265.591;33.590;160.40081667;-19.70378056;1.386368;9.45e-16;33.78;NAN;28.00;2.30;NAN;2.532;1.401;-2.103;8.662;NAN;mol2,pks70;
509;J1042-5521;NAN;NAN;NAN;57600.00;285.192;2.998;160.50202208;-55.35160917;1.170867;6.72e-15;306.50;0.00;14.00;0.62;NAN;2.789;0.146;-2.688;7.770;NAN;mol2,htru_pks,pks1,pks70,pksmb;
510;J1043-6116;NAN;NAN;NAN;55358.00;288.221;-2.106;160.98025417;-61.28076667;0.288605;1.04e-14;448.91;NAN;NAN;1.39;NAN;3.055;-0.112;-2.900;7.545;NAN;pksmb,htru_pks;
511;J1044-5737;NAN;NAN;NAN;54800.00;286.574;1.163;161.13666667;-57.62202778;0.139029;5.46e-14;NAN;NAN;NAN;NAN;NAN;1.895;0.038;-1.816;7.960;GRS:4FGL_J1044.4-5737[aab+22],GRS:1AGL_J;FermiBlind;
512;J1046+0304;NAN;NAN;NAN;NAN;246.412;51.697;161.68012500;3.06858333;0.326271;1.24e-16;24.98;NAN;NAN;0.30;NAN;4.740;3.720;-2.692;9.676;NAN;pkshl,ar327,gbncc;
513;J1046-5813;NAN;NAN;NAN;57600.00;287.065;0.733;161.57837500;-58.23111111;0.369428;1.15e-15;240.20;0.00;18.00;1.37;NAN;2.340;0.030;-2.237;7.813;NAN;mol2,htru_pks,pks1,pks70,pksmb;
514;J1047-3032;NAN;NAN;NAN;51019.00;273.495;25.127;161.75338998;-30.53833367;0.330328;6.10e-17;52.54;NAN;8.00;1.10;NAN;2.144;0.910;-1.938;8.382;NAN;pks70,gbncc;
515;J1047-6709;NAN;NAN;NAN;49139.00;291.314;-7.132;161.86784167;-67.16418500;0.198451;1.69e-15;116.16;NAN;4.00;3.10;NAN;1.765;-0.219;-1.632;7.863;NAN;pks70,htru_pks,pkssw;
516;J1048+5349;NAN;NAN;NAN;59216.00;154.756;54.996;162.02691667;53.83108333;2.730862;1.22e-15;27.30;NAN;NAN;NAN;NAN;25.000;20.478;6.116;21.471;NAN;chime;
517;J1048-5832;NAN;NAN;NAN;57600.00;287.427;0.577;162.05437500;-58.53505556;0.123725;9.61e-14;128.68;NAN;NAN;9.10;NAN;2.900;0.029;-2.767;7.632;GRS:4FGL_J1048.2-5832[aab+22];pks1,FermiBlind,htru_pks,pksmb;
518;J1048-5838;NAN;NAN;NAN;53510.00;287.473;0.485;162.05233750;-58.63861667;1.231305;1.22e-14;70.70;NAN;NAN;NAN;NAN;1.008;0.009;-0.961;8.197;NAN;pksmb;
519;J1049+5822;NAN;NAN;NAN;59000.00;148.656;52.241;162.40791667;58.37141667;0.727618;3.91e-15;12.36;NAN;NAN;NAN;NAN;1.120;0.885;0.357;9.086;NAN;tulipp;
520;J1049-5833;NAN;NAN;NAN;51031.00;287.628;0.649;162.45975000;-58.56238889;2.202325;4.41e-15;446.80;NAN;NAN;0.70;NAN;3.004;0.034;-2.863;7.590;NAN;pksmb,htru_pks;
521;J1050-5953;NAN;NAN;NAN;51650.00;288.256;-0.520;162.52966667;-59.88927778;6.452077;3.81e-11;NAN;NAN;NAN;NAN;NAN;9.000;-0.082;-8.547;5.681;XRS:1E_1048.1-5937;misc;
522;J1051-6214;NAN;NAN;NAN;NAN;289.473;-2.550;162.90233333;-62.24902778;1.146050;NAN;246.00;NAN;NAN;NAN;NAN;2.310;-0.103;-2.176;7.731;NAN;mmgps-l;
523;J1052-5954;NAN;NAN;NAN;51683.00;288.549;-0.400;163.15879167;-59.91225000;0.180592;2.00e-14;491.90;NAN;NAN;0.15;NAN;3.143;-0.022;-2.980;7.500;NAN;pksmb;
524;J1052-6348;NAN;NAN;NAN;52477.00;290.294;-3.881;163.22245833;-63.80461111;0.383830;3.87e-16;167.50;NAN;NAN;0.11;NAN;1.994;-0.135;-1.866;7.810;NAN;pksmb;
525;J1054-5943;NAN;NAN;NAN;51395.00;288.729;-0.100;163.74062500;-59.72058333;0.346909;4.07e-15;330.70;NAN;NAN;0.31;NAN;2.585;-0.005;-2.448;7.670;NAN;pksmb,htru_pks;
526;J1054-5946;NAN;NAN;NAN;55337.00;288.701;-0.174;163.62691667;-59.77527778;0.228324;2.09e-16;253.90;NAN;NAN;0.20;NAN;2.327;-0.007;-2.204;7.754;NAN;htru_pks;
527;J1054-6452;NAN;NAN;NAN;51875.00;290.889;-4.784;163.53683333;-64.87708333;1.840004;3.14e-15;234.00;NAN;NAN;0.25;NAN;2.342;-0.195;-2.180;7.668;NAN;pksmb,htru_pks;
528;J1055-6022;NAN;NAN;NAN;52746.00;289.109;-0.650;163.95208333;-60.38111111;0.947558;9.24e-14;590.00;NAN;NAN;0.20;NAN;3.597;-0.041;-3.399;7.323;NAN;pksmb,htru_pks;
529;J1055-6028;NAN;NAN;NAN;54362.20;289.133;-0.745;163.91329167;-60.47708333;0.099661;2.95e-14;636.50;0.00;NAN;0.95;NAN;3.830;-0.050;-3.618;7.245;GRS:4FGL_J1055.7-6028[aab+22];pksmb,FermiBlind,htru_pks;
530;J1055-6236;NAN;NAN;NAN;51703.00;290.081;-2.660;163.97754167;-62.61341667;0.448635;7.08e-16;149.70;NAN;NAN;0.12;NAN;1.883;-0.087;-1.767;7.854;NAN;pksmb,htru_pks;
531;J1055-6905;NAN;NAN;NAN;51500.00;292.879;-8.504;163.93629167;-69.08650000;2.919397;2.03e-14;142.80;NAN;NAN;0.30;NAN;2.035;-0.301;-1.854;7.718;NAN;pkssw,htru_pks;
532;J1056-5709;NAN;NAN;NAN;51216.00;287.835;2.311;164.18245833;-57.15958333;0.676082;5.76e-16;436.50;NAN;NAN;0.11;NAN;3.062;0.123;-2.912;7.563;NAN;pksmb,htru_pks;
533;J1056-6258;NAN;NAN;NAN;57600.00;290.292;-2.966;164.10660000;-62.97991389;0.422451;3.58e-15;320.62;0.00;45.00;34.00;NAN;2.400;-0.124;-2.248;7.669;NAN;mol2,htru_pks,pks1,pks70,pksmb;
534;J1057-4754;NAN;NAN;NAN;53000.00;284.007;10.739;164.47140833;-47.91600000;0.628306;2.25e-16;60.00;NAN;NAN;0.53;NAN;0.639;0.119;-0.609;8.348;NAN;pkssw,htru_pks;
535;J1057-5226;47.500;-8.700;NAN;57600.00;285.984;6.649;164.49602083;-52.44898056;0.197115;5.84e-15;29.69;NAN;80.00;4.40;NAN;0.093;0.011;-0.089;8.475;GRS:4FGL_J1057.9-5227[aab+22],XRS:[of93];mol1,FermiBlind,htru_pks,mol2,pks70;
536;J1057-5851;NAN;NAN;NAN;55716.00;288.609;0.805;164.28958333;-58.85194444;0.620365;1.01e-13;NAN;NAN;NAN;NAN;NAN;NAN;0.000;-0.000;8.500;GRS:4FGL_J1056.9-5852[aab+22];FermiBlind;
537;J1057-7914;NAN;NAN;NAN;57600.00;297.571;-17.574;164.36541667;-79.23988889;1.347404;1.33e-15;51.00;NAN;6.50;0.60;NAN;1.438;-0.434;-1.215;7.865;NAN;mol2,pks70;
538;J1058-5957;NAN;NAN;NAN;51446.00;289.241;-0.123;164.64270833;-59.96011111;0.616270;6.57e-16;334.00;NAN;NAN;0.60;NAN;2.588;-0.006;-2.443;7.647;NAN;pksmb,htru_pks;
539;J1059+6459;NAN;NAN;NAN;56500.00;140.251;48.198;164.86459671;64.99219973;3.631170;5.74e-15;19.30;NAN;NAN;NAN;NAN;1.944;1.449;0.829;9.496;NAN;gbncc,lotaas;
540;J1059-5742;NAN;NAN;NAN;57600.00;288.345;1.948;164.75370250;-57.70404167;1.185003;4.31e-15;108.70;0.00;19.00;2.00;NAN;1.644;0.056;-1.560;7.983;NAN;mol2,htru_pks,pks1,pks70,pksmb;
541;J1101-6101;NAN;NAN;NAN;56494.00;290.040;-0.932;165.43733333;-61.02766667;0.062800;8.56e-15;NAN;NAN;NAN;NAN;NAN;7.000;-0.114;-6.575;6.102;SNR:G290.1-0.8(MSH_11-61A)[htg+14];misc;
542;J1102+02;NAN;NAN;NAN;NAN;252.063;53.694;165.50000000;2.00000000;0.004050;NAN;27.30;NAN;NAN;NAN;NAN;25.000;20.147;-14.083;13.059;GRS:4FGL_J1102.4+0246[aab+22];FermiAssoc;
543;J1103-5403;NAN;NAN;NAN;55300.00;287.421;5.529;165.88872500;-54.06201250;0.003393;3.68e-21;103.91;NAN;NAN;0.40;NAN;1.683;0.162;-1.598;7.998;NAN;FermiAssoc;
544;J1103-6025;NAN;NAN;NAN;51489.00;289.994;-0.294;165.88116667;-60.42677500;0.396587;9.90e-16;275.90;NAN;NAN;0.17;NAN;2.379;-0.012;-2.236;7.687;NAN;pksmb,htru_pks;
545;J1104-6103;NAN;NAN;NAN;49177.00;290.331;-0.828;166.07192500;-61.05107778;0.280905;1.97e-15;78.51;NAN;5.00;0.24;NAN;1.327;-0.019;-1.244;8.039;NAN;misc,htru_pks,pksmb;
546;J1105+02;NAN;NAN;NAN;59216.00;252.592;54.650;166.38333333;2.48055556;6.403055;1.43e-15;16.50;NAN;NAN;NAN;NAN;1.580;1.289;-0.872;8.773;NAN;chime;
547;J1105+37;NAN;NAN;NAN;NAN;180.943;65.296;166.25000000;37.68333333;0.875000;NAN;36.00;NAN;NAN;NAN;NAN;25.000;22.712;-0.172;18.947;NAN;pumps;
548;J1105-4353;NAN;NAN;NAN;55976.00;283.486;14.947;166.35350000;-43.88472222;0.351112;2.50e-15;45.00;NAN;NAN;0.19;NAN;0.127;0.033;-0.119;8.471;NAN;htru_pks;
549;J1105-6037;NAN;NAN;NAN;55716.00;290.239;-0.399;166.25200000;-60.62119444;0.194938;2.18e-14;NAN;NAN;NAN;NAN;NAN;NAN;-0.000;-0.000;8.500;GRS:4FGL_J1104.9-6037[aab+22],XRS:1XSPS_;FermiBlind;
550;J1105-6107;NAN;NAN;NAN;57600.00;290.489;-0.846;166.35891667;-61.13026111;0.063202;1.58e-14;271.24;NAN;NAN;1.20;NAN;2.360;-0.035;-2.210;7.674;GRS:4FGL_J1105.4-6108[aab+22],XRS:PWN[gk;misc,FermiBlind,htru_pks,pksmb;
551;J1106-6438;NAN;NAN;NAN;51875.00;291.992;-4.031;166.61850000;-64.65000000;2.717934;2.33e-15;203.00;NAN;NAN;0.19;NAN;2.153;-0.151;-1.991;7.696;NAN;pksmb,htru_pks;
552;J1107-5907;NAN;NAN;NAN;53089.00;289.944;1.106;166.89358333;-59.12186111;0.252773;9.01e-18;40.75;NAN;NAN;0.18;NAN;0.115;0.002;-0.108;8.461;NAN;pksmb,htru_pks;
553;J1107-5947;NAN;NAN;NAN;43558.51;290.249;0.515;166.99458333;-59.78444444;1.516531;3.40e-16;158.40;NAN;7.00;0.30;NAN;1.915;0.017;-1.797;7.837;NAN;mol2,htru_pks,pks70,pksmb;
554;J1107-6143;NAN;NAN;NAN;51397.00;290.921;-1.316;166.80125000;-61.73305556;1.799396;1.56e-13;406.00;NAN;NAN;0.38;NAN;2.937;-0.067;-2.743;7.452;NAN;pksmb,htru_pks;
555;J1110+58;NAN;NAN;NAN;56292.00;144.740;53.801;167.75000000;58.86666667;0.793350;NAN;26.20;NAN;1.60;NAN;NAN;25.000;20.174;8.523;20.556;NAN;gbncc,lotaas;
556;J1110-5637;NAN;NAN;NAN;57600.00;289.279;3.533;167.50154667;-56.62571389;0.558254;2.06e-15;262.56;NAN;NAN;3.29;NAN;2.447;0.151;-2.305;7.694;NAN;pks1,htru_pks,pks70,pksmb;
557;J1111-6039;NAN;NAN;NAN;56500.00;291.022;-0.109;167.95291667;-60.65638889;0.106689;1.96e-13;NAN;NAN;NAN;NAN;NAN;NAN;-0.000;-0.000;8.500;GRS:4FGL_J1111.8-6039[aab+22];FermiAssoc;
558;J1112-6103;NAN;NAN;NAN;51055.00;291.221;-0.462;168.06170833;-61.05863889;0.064962;3.15e-14;595.69;0.03;NAN;2.30;NAN;4.464;-0.036;-4.161;6.884;GRS:4FGL_J1112.1-6108[aab+22],XRS:[pb15];pksmb,FermiBlind,htru_pks;
559;J1112-6613;NAN;NAN;NAN;57600.00;293.190;-5.233;168.16005833;-66.21796194;0.334214;8.25e-16;249.30;NAN;19.00;1.70;NAN;2.533;-0.231;-2.319;7.507;NAN;mol2,htru_pks,pks70,pksmb,pkssw;
560;J1112-6926;NAN;NAN;NAN;57600.00;294.423;-8.216;168.21158333;-69.44231389;0.820488;2.82e-15;148.40;NAN;13.00;0.60;NAN;2.076;-0.297;-1.871;7.650;NAN;mol2,htru_pks,pks70,pkssw;
561;J1114-6100;NAN;NAN;NAN;57600.00;291.443;-0.321;168.59454167;-61.00891667;0.880858;4.60e-14;676.70;0.03;NAN;5.36;NAN;5.476;-0.031;-5.097;6.498;NAN;pks1,htru_pks,pksmb;
562;J1115+5030;22.000;-51.000;NAN;49334.00;154.408;60.365;168.91000000;50.50341389;1.656440;2.49e-15;9.19;0.00;12.00;3.00;NAN;0.923;0.802;0.197;8.912;NAN;gb1,gb2,gb4,gbncc,lotaas;
