#;NAME;PSRJ;PMRA;PMDEC;PX;POSEPOCH;Gl;Gb;RAJD;DECJD;P0;P1;DM;W50;W10;TAU_SC;S400;S1400;S2000;DIST;DIST_DM;ZZ;XX;YY;ASSOC;SURVEY;PSR;
;;;(mas/yr);(mas/yr);(mas);(MJD);(deg);(deg);(deg);(deg);(s);;(cm^-3pc);(ms);(ms);(s);(mJy);(mJy);(mJy);(kpc);(kpc);(kpc);(kpc);(kpc);;;TYPE;
1;J0002+6216;J0002+6216;32.500;-13.700;0.600;55806.00;117.327;-0.074;0.74237500;62.26927778;0.115364;5.97e-15;218.60;NAN;NAN;NAN;NAN;0.02;NAN;6.357;6.357;-0.008;5.648;11.418;GRS:4FGL_J0002.8+6217[aab+22],XRS:1XSPS_;FermiBlind;HE[wcp+18];
2;J0006+1834;J0006+1834;NAN;NAN;NAN;NAN;108.172;-42.985;1.52000000;18.58305556;0.693748;2.10e-15;11.41;61.300;112.100;NAN;0.20;NAN;NAN;0.860;0.860;-0.586;0.598;8.696;NAN;ar4,ar327,fast_gpps;NAN;
3;J0007+7303;J0007+7303;NAN;NAN;NAN;54952.00;119.660;10.463;1.75708333;73.05205556;0.315873;3.60e-13;NAN;NAN;NAN;NAN;NAN;NAN;NAN;1.400;NAN;0.254;1.196;9.181;GRS:4FGL_J0007.0+7303[aab+22],XRS:RX_J00;FermiBlind;NRAD[aab+22];
4;J0011+08;J0011+08;NAN;NAN;NAN;57022.00;106.228;-53.407;2.89166667;8.16666667;2.552870;NAN;24.90;1.800;7.400;NAN;NAN;NAN;NAN;5.399;5.399;-4.335;3.090;9.399;NAN;ar327,fast_gpps;NAN;
5;J0012+5431;J0012+5431;NAN;NAN;NAN;59128.00;117.231;-7.911;3.09708333;54.52777778;3.025301;1.28e-16;131.30;NAN;NAN;NAN;NAN;NAN;NAN;5.427;5.427;-0.747;4.780;10.960;NAN;chime;RRAT[dcm+23];
6;B0011+47;J0014+4746;19.300;-19.700;NAN;49664.00;116.497;-14.631;3.57395833;47.77594444;1.240699;5.64e-16;30.41;88.700;142.500;0.00;14.00;3.00;NAN;1.776;1.776;-0.449;1.538;9.267;NAN;gb1,gb2,gb3,lotaas;NAN;
7;J0021-0909;J0021-0909;NAN;NAN;NAN;58388.00;100.291;-70.726;5.46445833;-9.16630556;2.314131;1.04e-15;25.20;23.800;42.700;NAN;NAN;0.13;NAN;25.000;25.000;-23.599;8.119;9.974;NAN;fast_crafts;NAN;
8;B0021-72C;J0024-7204C;5.250;-2.550;0.232;51600.00;305.923;-44.892;5.95981083;-72.07541800;0.005757;-4.99e-20;24.59;0.664;1.180;NAN;1.53;0.52;0.23;4.520;2.593;-3.190;-2.593;6.621;GC:47Tuc(NGC104),XRS:[bgh+06];pksgc;NAN;
9;B0021-72D;J0024-7204D;5.250;-2.550;0.232;51600.00;305.881;-44.893;6.05783717;-72.07884789;0.005358;-3.42e-21;24.74;0.303;0.476;NAN;0.95;0.35;0.20;4.520;2.630;-3.190;-2.594;6.623;GC:47Tuc(NGC104),XRS:[bgh+06];pksgc;NAN;
10;B0021-72F;J0024-7204F;5.250;-2.550;0.232;51600.00;305.899;-44.892;6.01606446;-72.07856064;0.002624;6.45e-20;24.38;0.500;NAN;NAN;NAN;NAN;NAN;4.520;2.544;-3.190;-2.594;6.622;GC:47Tuc(NGC104),XRS:[bgh+06];pksgc;NAN;
