#;PSRJ;PMRA;PMDEC;PX;POSEPOCH;Gl;Gb;RAJD;DECJD;P0;P1;DM;TAU_SC;S400;S1400;S2000;DIST;ZZ;XX;YY;ASSOC;SURVEY;
;;(mas/yr);(mas/yr);(mas);(MJD);(deg);(deg);(deg);(deg);(s);;(cm^-3pc);(s);(mJy);(mJy);(mJy);(kpc);(kpc);(kpc);(kpc);;;
679;J1356-5521;NAN;NAN;NAN;49016.00;312.199;6.337;209.21065833;-55.35360000;0.507380;7.24e-16;174.17;NAN;12.00;0.90;NAN;7.317;0.808;-5.387;3.615;NAN;pks70,htru_pks;
680;J1357-62;NAN;NAN;NAN;47900.00;310.474;-0.565;209.35416667;-62.46666667;0.455761;NAN;416.80;NAN;NAN;13.20;NAN;6.482;-0.064;-4.931;4.293;NAN;misc,pks1,pksmb,htru_pks;
681;J1357-6429;NAN;NAN;NAN;52921.00;309.923;-2.514;209.26012500;-64.49172222;0.166108;3.60e-13;128.50;NAN;NAN;0.52;NAN;3.100;-0.136;-2.375;6.512;XRS:PWN[zav07];pksmb,htru_pks;
682;J1358-2533;NAN;NAN;NAN;48742.00;321.485;34.887;209.67500000;-25.55000000;0.912971;NAN;31.27;NAN;6.00;NAN;NAN;2.545;1.456;-1.300;6.867;NAN;pks70;
683;J1359-6038;NAN;NAN;NAN;57600.00;311.239;1.126;209.99270000;-60.63543056;0.127508;6.33e-15;293.74;0.00;105.00;12.50;NAN;5.000;0.098;-3.759;5.205;NAN;mol2,pks1,pks70,pksmb,htru_pks;
684;J1400+21;NAN;NAN;NAN;NAN;16.752;73.332;210.07500000;21.45000000;NAN;NAN;10.50;NAN;NAN;NAN;NAN;0.908;0.870;0.075;8.251;NAN;misc;
685;J1400-6325;NAN;NAN;NAN;55105.00;310.592;-1.593;210.19037500;-63.42850000;0.031182;3.89e-14;563.00;NAN;NAN;0.25;NAN;7.000;-0.195;-5.313;3.947;GRS:IGR_J14003-6326,SNR:G310.6-1.6;misc;
686;J1401-6357;NAN;NAN;NAN;57600.00;310.569;-2.139;210.46854167;-63.96166667;0.842805;1.68e-14;98.00;NAN;34.00;7.10;NAN;1.800;-0.067;-1.366;7.330;NAN;mol2,pks1,pks70,pksmb,htru_pks;
687;J1402-50;NAN;NAN;NAN;58657.41;314.434;10.906;210.73333333;-50.36194444;1.380182;5.41e-15;51.00;NAN;10.00;NAN;NAN;1.285;0.243;-0.901;7.617;NAN;mol1,mol2,pkssw;
688;J1403-0314;NAN;NAN;NAN;56656.00;335.565;54.970;210.92083333;-3.25777778;0.362634;NAN;31.00;NAN;NAN;NAN;NAN;25.000;20.471;-5.936;-4.565;NAN;htru_pks;
689;J1403-6310;NAN;NAN;NAN;51341.00;310.928;-1.423;210.80833333;-63.17416667;0.399170;9.00e-17;305.00;NAN;NAN;0.65;NAN;5.667;-0.141;-4.280;4.789;NAN;pksmb,htru_pks;
690;J1403-7646;NAN;NAN;NAN;49526.44;307.096;-14.494;210.76708333;-76.78263889;1.306198;1.20e-15;100.60;NAN;4.00;0.80;NAN;5.307;-1.328;-4.098;5.401;NAN;pks70,pkssw;
691;J1404+1159;NAN;NAN;NAN;57820.00;355.078;67.115;211.15411250;11.98777778;2.650439;1.38e-15;18.50;NAN;2.70;0.28;NAN;2.189;2.017;-0.073;7.652;NAN;ar4,misc,lotaas;
692;J1405-5641;NAN;NAN;NAN;52898.00;312.971;4.737;211.30170833;-56.69005556;0.617575;1.20e-15;273.00;NAN;NAN;0.10;NAN;12.383;1.023;-9.030;0.088;NAN;pksmb,htru_pks;
693;J1406-4233;NAN;NAN;NAN;57388.00;317.249;18.245;211.45000000;-42.55000000;2.346800;NAN;64.00;NAN;NAN;NAN;NAN;3.659;1.146;-2.359;5.948;NAN;pks_superb;
694;J1406-5806;NAN;NAN;NAN;51730.00;312.673;3.345;211.50500000;-58.10888889;0.288349;6.11e-16;229.00;NAN;NAN;0.84;NAN;5.567;0.325;-4.086;4.733;NAN;pksmb,htru_pks;
695;J1406-6121;NAN;NAN;NAN;51111.00;311.841;0.203;211.70850000;-61.35775000;0.213075;5.47e-14;537.80;NAN;NAN;0.44;NAN;7.297;0.026;-5.436;3.632;NAN;pksmb,htru_pks;
696;J1407-6048;NAN;NAN;NAN;51161.00;312.130;0.681;211.99433333;-60.81633333;0.492344;3.16e-15;575.20;NAN;NAN;0.20;NAN;7.860;0.093;-5.829;3.228;NAN;pksmb,htru_pks;
697;J1407-6153;NAN;NAN;NAN;51093.00;311.810;-0.354;211.98541667;-61.89972222;0.701615;8.85e-15;645.00;NAN;NAN;0.36;NAN;8.205;-0.051;-6.116;3.030;NAN;pksmb,htru_pks;
698;J1409-6953;NAN;NAN;NAN;55191.00;309.574;-8.031;212.32041667;-69.89288889;0.528591;8.40e-16;167.63;NAN;NAN;0.30;NAN;8.751;-1.223;-6.679;2.980;NAN;htru_pks;
699;J1410-6132;NAN;NAN;NAN;54357.30;312.196;-0.090;212.60000000;-61.53333333;0.050052;3.20e-14;961.00;NAN;NAN;1.90;NAN;13.510;-0.021;-10.009;-0.574;NAN;misc,htru_pks;
700;J1410-7404;NAN;NAN;NAN;51460.00;308.349;-12.043;212.53070833;-74.08147778;0.278729;6.74e-18;54.24;NAN;NAN;1.20;NAN;1.336;-0.279;-1.025;7.689;NAN;pkssw,htru_pks;
701;J1412-6111;NAN;NAN;NAN;51031.00;312.597;0.140;213.24841667;-61.19180556;0.529156;1.91e-15;311.80;NAN;NAN;0.44;NAN;5.284;0.013;-3.890;4.924;NAN;pksmb,htru_pks;
702;J1412-6145;NAN;NAN;NAN;55363.00;312.324;-0.366;213.03179167;-61.75791111;0.315258;9.90e-14;514.40;NAN;NAN;0.69;NAN;7.115;-0.045;-5.260;3.709;NAN;pksmb,htru_pks;
703;J1412+7922;-40.000;-56.000;NAN;55449.50;118.318;37.020;213.23277917;79.36774861;0.058199;3.29e-15;NAN;NAN;NAN;NAN;NAN;NAN;0.000;0.000;8.500;XRS:1RXS_J141256.0+792204(Calvera);misc;
704;J1413-6141;NAN;NAN;NAN;51500.00;312.462;-0.337;213.29112500;-61.68694444;0.285625;3.33e-13;670.60;NAN;NAN;0.82;NAN;8.494;-0.050;-6.266;2.766;NAN;pksmb,htru_pks;
705;J1413-6205;NAN;NAN;NAN;54800.00;312.373;-0.736;213.37458333;-62.09388889;0.109741;2.77e-14;NAN;NAN;NAN;NAN;NAN;2.150;-0.028;-1.588;7.051;GRS:2FGL_J1413.4-6204[naa+12],GRS:1AGL_J;FermiBlind;
706;J1413-6222;NAN;NAN;NAN;51092.00;312.241;-0.988;213.27279167;-62.37438889;0.292408;2.23e-15;808.10;NAN;NAN;0.96;NAN;13.087;-0.226;-9.687;-0.296;NAN;pksmb,htru_pks;
707;J1413-6307;NAN;NAN;NAN;48375.50;312.053;-1.718;213.38048333;-63.12651389;0.394946;7.43e-15;121.98;NAN;NAN;1.20;NAN;3.037;-0.091;-2.254;6.467;NAN;pks1,pksmb,htru_pks;
708;J1414-6802;NAN;NAN;NAN;51650.00;310.590;-6.420;213.60708333;-68.04944444;4.630188;6.39e-15;153.50;NAN;NAN;NAN;NAN;5.420;-0.606;-4.090;4.996;NAN;pkssw,htru_pks;
709;J1415-6621;NAN;NAN;NAN;51396.18;311.234;-4.846;213.88029167;-66.35338889;0.392479;5.80e-16;260.17;NAN;NAN;0.50;NAN;10.428;-0.881;-7.814;1.651;NAN;pkssw,pksmb,htru_pks;
710;J1416-5033;NAN;NAN;NAN;55337.00;316.504;10.055;214.18583333;-50.55472222;0.794883;1.20e-16;58.50;NAN;NAN;0.10;NAN;1.423;0.248;-0.964;7.484;NAN;htru_pks;
711;J1416-6037;NAN;NAN;NAN;51031.00;313.179;0.535;214.12745833;-60.63319444;0.295580;4.28e-15;289.20;NAN;NAN;0.70;NAN;5.083;0.047;-3.706;5.022;NAN;pksmb,htru_pks;
712;J1418-3921;NAN;NAN;NAN;49014.00;320.820;20.461;214.70951250;-39.35514167;1.096806;8.89e-16;60.49;NAN;24.00;1.00;NAN;4.081;1.427;-2.416;5.536;NAN;pks70,pkssw;
713;J1418-5945;NAN;NAN;NAN;51668.00;313.706;1.287;214.63458333;-59.75000000;1.672596;2.71e-16;369.00;NAN;NAN;0.18;NAN;6.140;0.138;-4.437;4.259;NAN;pksmb,htru_pks;
714;J1418-6058;NAN;NAN;NAN;54944.00;313.325;0.135;214.67791667;-60.96361111;0.110573;1.69e-13;NAN;NAN;NAN;NAN;NAN;1.885;0.004;-1.371;7.207;GRS:2FGL_J1418.7-6058[naa+12],GRS:HESS_J;FermiBlind;
715;J1420-5416;NAN;NAN;NAN;57600.00;315.793;6.360;215.12129167;-54.27297222;0.935772;2.32e-16;129.60;NAN;9.00;NAN;NAN;4.399;0.487;-3.048;5.366;NAN;mol2,pks70,pkssw,htru_pks;
716;J1420-6048;NAN;NAN;NAN;51600.00;313.541;0.227;215.03432083;-60.80456389;0.068180;8.32e-14;360.15;NAN;NAN;1.19;NAN;5.632;0.022;-4.082;4.620;GRS:2FGL_J1420.1-6047[naa+12],GRS:HESS_J;pksmb,htru_pks;
717;J1422-6138;NAN;NAN;NAN;55214.00;313.519;-0.654;215.61279167;-61.64111111;0.340968;9.68e-14;NAN;NAN;NAN;0.00;NAN;NAN;-0.000;-0.000;8.500;GRS:3FGL_J1135.2-6054[aaa+15];FermiBlind;
718;J1423-6953;NAN;NAN;NAN;53000.00;310.736;-8.430;215.86162500;-69.89522778;0.333411;1.45e-15;123.98;NAN;NAN;NAN;NAN;4.704;-0.690;-3.526;5.463;NAN;pkssw,htru_pks;
719;J1424-5556;NAN;NAN;NAN;52260.00;315.718;4.614;216.05316667;-55.93719444;0.770375;7.80e-16;198.70;NAN;NAN;0.38;NAN;6.205;0.499;-4.318;4.072;NAN;pksmb,htru_pks;
720;J1424-56;NAN;NAN;NAN;54831.00;315.478;3.911;216.09583333;-56.67972222;1.427000;NAN;32.90;NAN;NAN;NAN;NAN;0.949;0.065;-0.664;7.825;NAN;htru_pks;
721;J1424-5822;NAN;NAN;NAN;57600.00;314.897;2.310;216.13387500;-58.38213889;0.366736;3.94e-15;323.90;NAN;NAN;1.30;NAN;6.695;0.270;-4.739;3.778;NAN;pksmb,htru_pks;
722;J1424-6438;NAN;NAN;NAN;51780.00;312.741;-3.561;216.24666667;-64.63611111;1.023504;2.40e-16;248.00;NAN;NAN;0.24;NAN;6.079;-0.378;-4.456;4.382;NAN;pksmb;
723;J1425-5723;NAN;NAN;NAN;51468.00;315.382;3.186;216.40233333;-57.39188889;0.353263;2.20e-17;43.40;NAN;NAN;0.24;NAN;1.065;0.059;-0.747;7.743;NAN;pksmb,htru_pks;
724;J1425-5759;NAN;NAN;NAN;51496.00;315.217;2.613;216.49629167;-57.98616667;0.707868;7.42e-16;325.00;NAN;NAN;0.09;NAN;7.636;0.348;-5.373;3.086;NAN;pksmb,htru_pks;
725;J1425-6210;NAN;NAN;NAN;51031.00;313.630;-1.258;216.28208333;-62.16802778;0.501730;4.78e-16;430.10;NAN;NAN;0.19;NAN;6.851;-0.150;-4.958;3.774;NAN;pksmb,htru_pks;
726;J1426+52;NAN;NAN;NAN;NAN;93.880;59.233;216.75000000;52.16666667;0.995800;NAN;25.37;NAN;NAN;NAN;NAN;25.000;21.481;12.759;9.365;NAN;lotaas;
727;J1427-4158;NAN;NAN;NAN;53000.00;321.480;17.391;216.96154167;-41.98230556;0.586486;6.21e-16;71.00;NAN;NAN;0.30;NAN;4.561;1.363;-2.711;5.095;NAN;pkssw;
728;J1428-5530;NAN;NAN;NAN;57600.00;316.427;4.796;217.10933333;-55.51390556;0.570292;2.09e-15;82.40;NAN;35.00;6.50;NAN;1.897;0.159;-1.303;7.130;NAN;mol2,pks70,pksmb,htru_pks;
729;J1429-5911;NAN;NAN;NAN;54800.00;315.261;1.299;217.49416667;-59.19350000;0.115843;3.05e-14;NAN;NAN;NAN;NAN;NAN;1.955;0.044;-1.376;7.112;GRS:2FGL_J1430.0-5909[naa+12];FermiBlind;
730;J1429-5935;NAN;NAN;NAN;51232.00;315.046;0.947;217.35791667;-59.59969444;0.763915;4.28e-14;456.70;NAN;NAN;0.11;NAN;7.685;0.127;-5.429;3.062;NAN;pksmb;
731;J1430-5712;NAN;NAN;NAN;57562.00;316.036;3.127;217.56737500;-57.20872222;0.491519;4.69e-14;149.00;NAN;NAN;0.09;NAN;3.902;0.213;-2.705;5.696;NAN;htru_pks;
732;J1430-6623;-31.000;-21.000;NAN;57600.00;312.653;-5.404;217.66972917;-66.38487500;0.785443;2.78e-15;65.30;NAN;130.00;16.30;NAN;1.330;-0.125;-0.974;7.603;NAN;mol1,mol2,pks70,pkssw,pksmb,htru_pk;
733;J1431-6328;NAN;NAN;NAN;58622.35;311.929;-2.037;213.33845833;-63.46905556;0.002772;NAN;228.27;NAN;NAN;NAN;NAN;4.924;-0.175;-3.661;5.212;NAN;misc;
734;J1432-5032;NAN;NAN;NAN;54842.00;318.936;9.155;218.21779167;-50.53813889;2.034989;5.92e-15;113.00;NAN;NAN;0.30;NAN;5.280;0.840;-3.424;4.570;NAN;htru_pks;
735;J1433+00;NAN;NAN;NAN;NAN;349.749;53.792;218.37500000;0.46666667;NAN;NAN;23.50;NAN;NAN;NAN;NAN;2.993;2.415;-0.315;6.760;NAN;ar327;
736;J1433-6038;NAN;NAN;NAN;54087.90;315.092;-0.197;218.30491667;-60.64297222;1.954430;5.63e-15;409.00;NAN;NAN;0.23;NAN;6.221;-0.021;-4.392;4.094;NAN;pksmb,htru_pks;
737;J1434-5943;NAN;NAN;NAN;57530.00;315.645;0.563;218.74295833;-59.72822222;1.072121;2.96e-17;126.00;NAN;NAN;0.17;NAN;3.212;0.032;-2.245;6.203;NAN;htru_pks;
738;J1434-6006;NAN;NAN;NAN;51396.00;315.396;0.256;218.52208333;-60.10805556;0.306368;3.02e-15;332.00;NAN;NAN;0.24;NAN;5.297;0.024;-3.720;4.729;NAN;pksmb,htru_pks;
739;J1434-6029;NAN;NAN;NAN;51137.00;315.310;-0.130;218.66291667;-60.49694444;0.963348;1.03e-15;282.00;NAN;NAN;0.14;NAN;4.808;-0.011;-3.381;5.082;NAN;pksmb,htru_pks;
740;J1434+7257;NAN;NAN;NAN;55891.00;113.082;42.153;218.49890417;72.95736444;0.041741;5.50e-19;12.61;NAN;1.30;NAN;NAN;0.974;0.654;0.664;8.783;NAN;gbncc,lotaas;
741;J1435-5954;NAN;NAN;NAN;57600.00;315.577;0.391;218.75086667;-59.91375000;0.472996;1.55e-15;44.26;NAN;NAN;1.60;NAN;1.064;0.007;-0.745;7.740;NAN;pksmb,htru_pks;
742;J1437-5959;NAN;NAN;NAN;54827.00;315.783;0.227;219.25795833;-59.98372222;0.061696;8.59e-15;549.60;NAN;NAN;0.07;NAN;8.543;0.034;-5.958;2.377;SNR:G315.9-0.0,PWN:G315.78-0.23[nbg+12];misc;
743;J1437-6146;NAN;NAN;NAN;51614.00;315.101;-1.422;219.31379167;-61.76722222;0.467616;6.33e-15;200.50;NAN;NAN;0.24;NAN;4.253;-0.106;-3.001;5.488;NAN;pksmb,htru_pks;
744;J1439+76;NAN;NAN;NAN;56657.00;115.405;38.596;219.75000000;76.91666667;0.947903;NAN;22.29;NAN;NAN;NAN;NAN;2.048;1.278;1.446;9.187;NAN;gbncc;
745;J1440-6344;NAN;NAN;NAN;57600.00;314.646;-3.384;220.13025000;-63.74677778;0.459607;1.12e-15;124.20;NAN;21.00;0.78;NAN;3.446;-0.203;-2.447;6.083;NAN;mol2,pks70,pksmb,htru_pks;
746;J1441-6137;NAN;NAN;NAN;51670.00;315.646;-1.505;220.43458333;-61.62333333;1.175840;3.60e-16;166.00;NAN;NAN;0.15;NAN;3.882;-0.102;-2.713;5.725;NAN;pksmb,htru_pks;
747;J1443-5122;NAN;NAN;NAN;54800.00;320.135;7.717;220.86237500;-51.37388889;0.732061;3.38e-16;87.00;NAN;NAN;0.60;NAN;2.979;0.400;-1.892;6.234;NAN;htru_pks;
748;J1444-5941;NAN;NAN;NAN;51137.00;316.791;0.098;221.19375000;-59.68861111;2.760228;8.23e-15;177.10;NAN;NAN;0.42;NAN;3.844;0.007;-2.632;5.698;NAN;pksmb,htru_pks;
749;J1444-6026;NAN;NAN;NAN;53893.00;316.400;-0.544;221.02508333;-60.43594444;4.758576;1.85e-14;367.70;NAN;NAN;NAN;NAN;5.823;-0.055;-4.015;4.283;NAN;pksmb;
750;J1449-5846;NAN;NAN;NAN;51507.00;317.720;0.664;222.35595833;-58.77788889;0.463330;8.60e-17;216.60;NAN;NAN;0.28;NAN;4.169;0.048;-2.805;5.416;NAN;pksmb,htru_pks;
751;J1452-5851;NAN;NAN;NAN;55367.00;318.087;0.398;223.21916667;-58.85366667;0.386643;5.07e-14;260.50;NAN;NAN;0.33;NAN;4.504;0.031;-3.009;5.148;NAN;pksmb,htru_pks;
752;J1452-6036;NAN;NAN;NAN;51630.00;317.296;-1.169;223.21624167;-60.60870833;0.154991;1.45e-15;349.54;NAN;NAN;1.90;NAN;6.135;-0.125;-4.160;3.993;NAN;pksmb,htru_pks;
753;J1453+1902;0.458;-10.837;NAN;56936.00;23.395;60.812;223.44049721;19.03670079;0.005792;1.17e-20;14.06;NAN;2.20;NAN;NAN;1.269;1.108;0.246;7.932;NAN;ar4;
754;J1453-6413;-16.000;-21.300;NAN;55433.00;315.733;-4.427;223.38610417;-64.22111111;0.179487;2.74e-15;71.25;NAN;230.00;18.00;NAN;2.800;-0.216;-1.949;6.501;NAN;mol1,mol2,pks70,pksmb,htru_pks;
755;J1455-59;NAN;NAN;NAN;50841.70;318.101;-0.203;223.77500000;-59.38333333;0.176191;NAN;498.00;NAN;NAN;1.60;NAN;6.692;-0.024;-4.469;3.519;NAN;pksmb;
756;J1456-48;NAN;NAN;NAN;56657.00;323.492;9.837;224.00000000;-48.00000000;0.536810;NAN;133.00;NAN;NAN;NAN;NAN;9.338;1.595;-5.474;1.105;NAN;ghrss;
757;J1456-6843;-39.500;-12.300;2.200;57600.00;313.868;-8.543;223.99967917;-68.72763889;0.263377;9.89e-17;8.64;0.00;350.00;64.00;NAN;0.430;-0.064;-0.307;8.205;NAN;mol1,mol2,pks70,pkssw,htru_pks;
758;J1457-5122;NAN;NAN;NAN;57600.00;322.134;6.722;224.41705417;-51.38191667;1.748308;5.30e-15;37.00;NAN;4.00;NAN;NAN;0.994;0.116;-0.606;7.721;NAN;mol2,pks70,pkssw,htru_pks;
759;J1457-5900;NAN;NAN;NAN;51462.00;318.561;-0.027;224.41250000;-59.01416667;1.498637;3.66e-15;175.00;NAN;NAN;0.24;NAN;3.738;-0.002;-2.474;5.698;NAN;pksmb,htru_pks;
760;J1457-5902;NAN;NAN;NAN;51312.00;318.538;-0.037;224.38291667;-59.03444444;0.390739;1.23e-14;477.20;NAN;NAN;0.26;NAN;6.366;-0.004;-4.215;3.729;NAN;pksmb,htru_pks;
761;J1459-6053;NAN;NAN;NAN;54935.00;317.886;-1.791;224.87495833;-60.88908333;0.103151;2.53e-14;NAN;NAN;NAN;NAN;NAN;1.840;-0.058;-1.233;7.136;GRS:2FGL_J1459.4-6054[naa+12];FermiBlind;
762;J1501-0046;NAN;NAN;NAN;55170.00;356.582;48.051;225.43731583;-0.77320000;0.464037;2.39e-16;22.26;NAN;NAN;NAN;NAN;2.131;1.585;-0.085;7.078;NAN;gb350;
763;J1501-5637;NAN;NAN;NAN;51506.00;320.181;1.810;225.46250000;-56.63000000;0.782949;1.70e-16;258.00;NAN;NAN;0.21;NAN;4.938;0.156;-3.161;4.709;NAN;pksmb,htru_pks;
764;J1502+28;NAN;NAN;NAN;NAN;42.780;61.127;225.53750000;28.21666667;3.784000;NAN;14.00;NAN;NAN;NAN;NAN;1.289;1.129;0.423;8.043;NAN;misc;
765;J1502-5653;NAN;NAN;NAN;51780.00;320.186;1.505;225.73912083;-56.89422500;0.535504;1.83e-15;194.00;NAN;NAN;0.39;NAN;3.961;0.104;-2.535;5.458;NAN;pksmb,htru_pks;
766;J1502-5828;NAN;NAN;NAN;51297.00;319.395;0.133;225.68250000;-58.47833333;0.668105;3.64e-14;584.00;NAN;NAN;0.50;NAN;7.093;0.016;-4.616;3.115;NAN;pksmb,htru_pks;
767;J1502-6128;NAN;NAN;NAN;51708.00;317.921;-2.483;225.62433333;-61.48063889;0.842104;1.35e-15;256.50;NAN;NAN;0.56;NAN;5.189;-0.225;-3.474;4.652;NAN;pksmb,htru_pks;
768;J1503+2111;NAN;NAN;NAN;52857.00;29.062;59.296;225.97750000;21.18591667;3.314002;1.40e-16;3.26;NAN;1.30;NAN;NAN;0.244;0.210;0.061;8.391;NAN;ar4;
769;J1504-5621;NAN;NAN;NAN;51505.00;320.671;1.849;226.20475000;-56.35888889;0.412985;5.53e-15;143.00;NAN;NAN;0.24;NAN;3.488;0.113;-2.209;5.803;NAN;pksmb,htru_pks;
770;J1504-5659;NAN;NAN;NAN;57483.00;320.328;1.318;226.13327917;-56.98872222;1.672372;1.43e-15;454.20;NAN;NAN;0.11;NAN;11.274;0.259;-7.195;-0.175;NAN;htru_pks;
771;J1506-5158;NAN;NAN;NAN;43613.68;323.076;5.534;226.66458333;-51.96944444;0.840739;6.37e-15;61.00;NAN;5.00;NAN;NAN;1.384;0.133;-0.828;7.399;NAN;mol2;
772;J1507-4352;NAN;NAN;NAN;57600.00;327.339;12.459;226.89239583;-43.86779167;0.286758;1.58e-15;48.70;NAN;16.00;0.90;NAN;1.394;0.301;-0.735;7.354;NAN;mol2,pks70,pkssw,htru_pks;
773;J1507-5800;NAN;NAN;NAN;57604.00;320.118;0.258;226.76460000;-58.01561111;0.897254;2.60e-16;429.50;NAN;NAN;0.20;NAN;5.893;0.026;-3.779;3.978;NAN;htru_pks;
774;J1507-6640;NAN;NAN;NAN;57600.00;315.858;-7.297;226.95264167;-66.68273889;0.355656;1.15e-15;129.80;NAN;13.00;0.60;NAN;4.792;-0.609;-3.310;5.089;NAN;mol2,pkssw,htru_pks;
775;J1509+5531;-73.640;-62.650;0.470;52275.00;91.325;52.287;227.35679083;55.52566500;0.739682;5.00e-15;19.62;0.00;114.00;8.00;NAN;2.100;1.661;1.284;8.530;NAN;gb1,gb2,gb3,gb4,gbncc,lotaas;
776;J1509-5850;NAN;NAN;NAN;55378.00;319.972;-0.621;227.36315000;-58.84889167;0.088925;9.17e-15;142.10;NAN;NAN;0.21;NAN;3.372;-0.037;-2.169;5.918;XRS:PWN[hb07c],GRS:2FGL_J1509.6-5850[naa;pksmb;
777;J1509-6015;NAN;NAN;NAN;51759.00;319.228;-1.815;227.28125000;-60.25516667;0.339038;2.12e-15;423.60;NAN;NAN;0.17;NAN;11.090;-0.351;-7.239;0.106;NAN;pksmb,htru_pks;
778;J1510-4422;NAN;NAN;NAN;43557.99;327.586;11.729;227.70375000;-44.36861111;0.943871;6.10e-16;84.00;NAN;14.00;NAN;NAN;4.128;0.839;-2.167;5.088;NAN;mol2,pks70,pkssw,htru_pks;
779;J1511-5414;NAN;NAN;NAN;57600.00;322.598;3.177;227.96368750;-54.24453333;0.200384;4.85e-16;84.76;NAN;NAN;0.75;NAN;2.430;0.135;-1.474;6.573;NAN;pksmb,htru_pks;
780;J1511-5835;NAN;NAN;NAN;51397.00;320.289;-0.508;227.77916667;-58.59111111;0.301511;3.44e-16;332.00;NAN;NAN;0.50;NAN;5.146;-0.046;-3.288;4.541;NAN;pksmb,htru_pks;
781;J1512-5431;NAN;NAN;NAN;51709.00;322.486;2.920;228.02375000;-54.52194444;2.040532;1.92e-15;219.00;NAN;NAN;0.38;NAN;5.115;0.261;-3.111;4.448;NAN;pksmb,htru_pks;
782;J1512-5759;NAN;NAN;NAN;55383.00;320.772;-0.108;228.17933333;-57.99994444;0.128699;6.85e-15;627.47;0.00;NAN;7.80;NAN;6.835;-0.013;-4.322;3.205;NAN;pks1,pksmb,htru_pks;
783;J1513-5739;NAN;NAN;NAN;51137.00;321.097;0.104;228.49579167;-57.65038889;0.973458;2.75e-14;469.70;NAN;NAN;0.77;NAN;5.890;0.011;-3.699;3.916;NAN;pksmb,htru_pks;
784;J1513-5908;NAN;NAN;NAN;55336.00;320.321;-1.162;228.48254583;-59.13600000;0.151582;1.53e-12;252.50;NAN;1.50;1.43;NAN;4.400;-0.089;-2.809;5.114;SNR:G320.4-1.2,GRS:PWN:2FGL_J1514.0-5915;misc,pksmb,htru_pks;
785;J1513-5946;NAN;NAN;NAN;54909.00;319.970;-1.697;228.43658333;-59.77552778;1.046117;8.53e-15;171.70;NAN;NAN;NAN;NAN;3.757;-0.111;-2.415;5.625;NAN;pksmb;
786;J1513-6013;NAN;NAN;NAN;57633.00;319.753;-2.091;228.47508333;-60.22402778;1.958737;1.37e-15;322.70;NAN;NAN;0.20;NAN;7.928;-0.289;-5.119;2.453;NAN;htru_pks;
787;J1514-4834;NAN;NAN;NAN;57600.00;325.872;7.835;228.56067917;-48.57221389;0.454840;9.26e-16;51.50;NAN;8.50;1.30;NAN;1.243;0.169;-0.691;7.481;NAN;mol2,pks70,pkssw,htru_pks;
788;J1514-5316;NAN;NAN;NAN;57892.00;323.461;3.798;228.66733333;-53.26730556;0.296279;1.60e-18;27.10;NAN;NAN;0.15;NAN;0.850;0.056;-0.505;7.819;NAN;htru_pks;
789;J1514-5925;NAN;NAN;NAN;55415.00;320.284;-1.482;228.74625000;-59.42875000;0.148797;2.88e-15;194.00;NAN;NAN;0.29;NAN;3.919;-0.101;-2.503;5.486;NAN;pksmb,htru_pks;
790;J1515-5720;NAN;NAN;NAN;55380.00;321.389;0.281;228.78845833;-57.34726389;0.286648;6.09e-15;480.60;NAN;NAN;0.25;NAN;6.069;0.030;-3.787;3.758;NAN;pksmb,htru_pks;
791;J1517-32;NAN;NAN;NAN;56387.00;335.397;21.105;229.25416667;-32.43472222;0.064402;NAN;25.30;NAN;NAN;NAN;NAN;0.966;0.348;-0.375;7.681;NAN;htru_pks;
792;J1517-4356;NAN;NAN;NAN;51500.00;328.850;11.463;229.36391667;-43.93830556;0.650837;2.16e-16;87.78;NAN;NAN;0.50;NAN;4.473;0.889;-2.268;4.748;NAN;pkssw,htru_pks;
793;J1517-4636;NAN;NAN;NAN;55210.00;327.399;9.217;229.37240000;-46.60016667;0.886612;2.10e-15;127.00;NAN;NAN;0.30;NAN;7.675;1.229;-4.082;2.118;NAN;htru_pks;
794;J1518+0204A;NAN;NAN;NAN;48445.00;3.870;46.802;229.63882333;2.09098611;0.005554;4.12e-20;30.08;NAN;NAN;0.12;NAN;8.500;6.196;0.393;2.695;GC:M5;misc;
795;J1518-0627;NAN;NAN;NAN;55170.00;355.146;41.002;229.74629333;-6.45213889;0.794997;4.18e-16;27.96;NAN;NAN;NAN;NAN;2.679;1.758;-0.171;6.485;NAN;gb350;
796;J1518-3952;NAN;NAN;NAN;56442.00;331.368;14.715;229.73736667;-39.87508333;0.499196;2.37e-16;101.00;NAN;NAN;0.90;NAN;11.145;2.831;-5.165;-0.961;NAN;htru_pks;
797;J1518-5415;NAN;NAN;NAN;54220.60;323.383;2.675;229.55625000;-54.26250000;0.214925;4.06e-17;167.20;NAN;NAN;0.08;NAN;3.768;0.176;-2.245;5.479;NAN;pksmb,htru_pks;
798;J1519-5734;NAN;NAN;NAN;53105.00;321.800;-0.238;229.94829167;-57.57044444;0.518758;4.27e-15;664.00;NAN;NAN;0.45;NAN;6.851;-0.028;-4.237;3.116;NAN;pksmb,htru_pks;
799;J1519-6106;NAN;NAN;NAN;53048.00;319.876;-3.216;229.89920833;-61.11516667;2.154307;8.37e-15;221.00;NAN;NAN;0.19;NAN;5.047;-0.283;-3.247;4.647;NAN;pksmb,htru_pks;
