#;PSRJ;PMRA;PMDEC;PX;POSEPOCH;Gl;Gb;RAJD;DECJD;P0;P1;DM;W50;W10;TAU_SC;S400;S1400;S2000;DIST;DIST_DM;ZZ;XX;YY;ASSOC;SURVEY;PSR;
;;(mas/yr);(mas/yr);(mas);(MJD);(deg);(deg);(deg);(deg);(s);(s/s);(cm^-3pc);(ms);(ms);(s);(mJy);(mJy);(mJy);(kpc);(kpc);(kpc);(kpc);(kpc);;;TYPE;
847;J1506-5158;NAN;NAN;NAN;43613.68;323.076;5.534;226.66458333;-51.96944444;0.840739;6.37e-15;61.00;14.000;35.000;NAN;5.00;3.75;NAN;1.384;1.384;0.133;-0.828;7.399;NAN;mol2;NAN;
848;J1507-4352;NAN;NAN;NAN;57600.00;327.339;12.459;226.89239583;-43.86779167;0.286758;1.58e-15;48.70;4.200;8.400;NAN;16.00;0.90;NAN;1.394;1.394;0.301;-0.735;7.354;NAN;mol2,pks70,pkssw,htru_pks;NAN;
849;J1507-5800;NAN;NAN;NAN;57604.00;320.118;0.258;226.76460000;-58.01561111;0.897254;2.60e-16;429.50;8.700;64.500;NAN;NAN;0.20;NAN;5.893;5.893;0.026;-3.779;3.978;NAN;htru_pks;NAN;
850;J1507-6640;NAN;NAN;NAN;57600.00;315.858;-7.297;226.95264167;-66.68273889;0.355656;1.15e-15;129.80;3.500;5.200;NAN;13.00;0.60;NAN;4.792;4.792;-0.609;-3.310;5.089;NAN;mol2,pkssw,htru_pks;NAN;
851;J1509+5531;-73.640;-62.650;0.470;52275.00;91.325;52.287;227.35679083;55.52566500;0.739682;5.00e-15;19.62;10.900;26.300;0.00;114.00;8.00;NAN;2.100;2.074;1.661;1.284;8.530;NAN;gb1,gb2,gb3,gb4,gbncc,lotaas;NAN;
852;J1509-5850;NAN;NAN;NAN;55378.00;319.972;-0.621;227.36315000;-58.84889167;0.088925;9.17e-15;142.10;3.400;NAN;NAN;NAN;0.21;NAN;3.372;3.372;-0.037;-2.169;5.918;GRS:4FGL_J1509.4-5850[aab+22],XRS:PWN[hb;pksmb;HE[waa+10];
853;J1509-6015;NAN;NAN;NAN;51759.00;319.228;-1.815;227.28125000;-60.25516667;0.339038;2.12e-15;423.60;13.000;NAN;NAN;NAN;0.17;NAN;11.090;11.090;-0.351;-7.239;0.106;NAN;pksmb,htru_pks;NAN;
854;J1510-4422;NAN;NAN;NAN;43557.99;327.586;11.729;227.70375000;-44.36861111;0.943871;6.10e-16;84.00;50.000;100.000;NAN;14.00;NAN;NAN;4.128;4.128;0.839;-2.167;5.088;NAN;mol2,pks70,pkssw,htru_pks;NAN;
855;J1511-5414;NAN;NAN;NAN;57600.00;322.598;3.177;227.96368750;-54.24453333;0.200384;4.85e-16;84.76;4.300;7.000;NAN;NAN;0.75;NAN;2.430;2.430;0.135;-1.474;6.573;NAN;pksmb,htru_pks;NAN;
856;J1511-5835;NAN;NAN;NAN;51397.00;320.289;-0.508;227.77916667;-58.59111111;0.301511;3.44e-16;329.40;19.000;46.000;0.02;NAN;0.50;NAN;5.122;5.122;-0.045;-3.272;4.560;NAN;pksmb,htru_pks;NAN;
857;J1512-5431;NAN;NAN;NAN;51709.00;322.486;2.920;228.02375000;-54.52194444;2.040532;1.92e-15;219.00;114.000;145.000;NAN;NAN;0.38;NAN;5.115;5.115;0.261;-3.111;4.448;NAN;pksmb,htru_pks;NAN;
858;J1512-5759;NAN;NAN;NAN;55383.00;320.772;-0.108;228.17933333;-57.99994444;0.128699;6.85e-15;627.47;6.000;15.000;0.01;NAN;7.80;NAN;6.835;6.835;-0.013;-4.322;3.205;NAN;pks1,pksmb,htru_pks;NAN;
859;J1513-5739;NAN;NAN;NAN;51137.00;321.097;0.104;228.49579167;-57.65038889;0.973458;2.75e-14;469.70;19.000;30.000;NAN;NAN;0.77;NAN;5.890;5.890;0.011;-3.699;3.916;NAN;pksmb,htru_pks;NAN;
860;J1513-5908;NAN;NAN;NAN;55336.00;320.321;-1.162;228.48254583;-59.13600000;0.151582;1.53e-12;252.50;16.000;37.000;NAN;1.50;1.43;NAN;4.400;4.450;-0.089;-2.809;5.114;SNR:G320.4-1.2,GRS:AGILE[ppp+09];misc,pksmb,htru_pks;HE[umw+93,ppp+09];
861;J1513-5946;NAN;NAN;NAN;54909.00;319.970;-1.697;228.43658333;-59.77552778;1.046117;8.53e-15;171.70;15.000;NAN;NAN;NAN;NAN;NAN;3.757;3.757;-0.111;-2.415;5.625;NAN;pksmb;RRAT;
862;J1513-6013;NAN;NAN;NAN;57633.00;319.753;-2.091;228.47508333;-60.22402778;1.958737;1.37e-15;322.70;35.300;64.200;NAN;NAN;0.20;NAN;7.928;7.928;-0.289;-5.119;2.453;NAN;htru_pks;NAN;
863;J1514-4834;NAN;NAN;NAN;57600.00;325.872;7.835;228.56067917;-48.57221389;0.454840;9.26e-16;51.50;3.500;12.000;NAN;8.50;1.30;NAN;1.243;1.243;0.169;-0.691;7.481;NAN;mol2,pks70,pkssw,htru_pks;NAN;
864;J1514-5316;NAN;NAN;NAN;57892.00;323.461;3.798;228.66733333;-53.26730556;0.296279;1.60e-18;27.10;5.160;16.100;NAN;NAN;0.15;NAN;0.850;0.850;0.056;-0.505;7.819;NAN;htru_pks;NAN;
865;J1514-5925;NAN;NAN;NAN;55415.00;320.284;-1.482;228.74625000;-59.42875000;0.148797;2.88e-15;192.51;4.100;NAN;0.02;NAN;0.29;NAN;3.906;3.906;-0.101;-2.495;5.496;NAN;pksmb,htru_pks;NAN;
866;J1515-5720;NAN;NAN;NAN;55380.00;321.389;0.281;228.78845833;-57.34726389;0.286648;6.09e-15;480.60;8.100;NAN;NAN;NAN;0.25;NAN;6.069;6.069;0.030;-3.787;3.758;NAN;pksmb,htru_pks;NAN;
867;J1517-313;NAN;NAN;NAN;NAN;336.227;21.910;229.46250000;-31.33333333;0.140668;NAN;51.00;NAN;NAN;NAN;0.60;NAN;NAN;3.294;3.294;1.229;-1.232;5.703;NAN;NAN;NAN;
868;J1517-314;NAN;NAN;NAN;NAN;336.227;21.910;229.46250000;-31.33333333;1.103726;NAN;61.70;NAN;NAN;NAN;0.40;NAN;NAN;5.440;5.440;2.030;-2.035;3.881;NAN;NAN;NAN;
869;J1517-32;NAN;NAN;NAN;56387.00;335.397;21.105;229.25416667;-32.43472222;0.064402;NAN;25.30;2.300;3.900;NAN;NAN;NAN;NAN;0.966;0.966;0.348;-0.375;7.681;NAN;htru_pks,gbncc;NAN;
870;J1517-4356;NAN;NAN;NAN;51500.00;328.850;11.463;229.36391667;-43.93830556;0.650837;2.16e-16;87.78;8.900;22.000;NAN;NAN;0.50;NAN;4.473;4.473;0.889;-2.268;4.748;NAN;pkssw,htru_pks;NAN;
871;J1517-4636;NAN;NAN;NAN;55210.00;327.399;9.217;229.37240000;-46.60016667;0.886612;2.10e-15;127.00;17.000;26.000;NAN;NAN;0.30;NAN;7.675;7.675;1.229;-4.082;2.118;NAN;htru_pks;NAN;
872;J1518+0204A;4.086;-9.870;0.141;48445.00;3.870;46.802;229.63882333;2.09098611;0.005554;4.12e-20;30.08;0.370;NAN;NAN;NAN;0.12;NAN;7.480;25.000;5.453;0.346;3.391;GC:M5(NGC5904);misc;NAN;
873;J1518-0627;NAN;NAN;NAN;55170.00;355.146;41.002;229.74629333;-6.45213889;0.794997;4.18e-16;27.96;7.800;46.000;NAN;NAN;NAN;NAN;2.679;2.679;1.758;-0.171;6.485;NAN;gbt350,gbncc;NAN;
874;J1518-3952;NAN;NAN;NAN;56442.00;331.368;14.715;229.73736667;-39.87508333;0.499196;2.37e-16;102.40;7.800;55.000;NAN;NAN;0.90;NAN;12.297;12.297;3.124;-5.699;-1.939;NAN;htru_pks,gbncc;NAN;
875;J1518-5415;NAN;NAN;NAN;54220.60;323.383;2.675;229.55625000;-54.26250000;0.214925;4.06e-17;167.20;2.700;NAN;NAN;NAN;0.08;NAN;3.768;3.768;0.176;-2.245;5.479;NAN;pksmb,htru_pks;NAN;
876;J1519-5734;NAN;NAN;NAN;53105.00;321.800;-0.238;229.94829167;-57.57044444;0.518758;4.27e-15;654.70;54.000;82.000;0.12;NAN;0.45;NAN;6.799;6.799;-0.028;-4.204;3.157;NAN;pksmb,htru_pks;NAN;
877;J1519-6106;NAN;NAN;NAN;53048.00;319.876;-3.216;229.89920833;-61.11516667;2.154307;8.37e-15;221.00;21.000;40.000;NAN;NAN;0.19;NAN;5.047;5.047;-0.283;-3.247;4.647;NAN;pksmb,htru_pks;NAN;
878;J1519-6308;NAN;NAN;NAN;52144.00;318.743;-4.896;229.78983333;-63.13875000;1.254052;5.96e-15;250.00;17.000;39.000;NAN;NAN;0.32;NAN;12.367;12.367;-1.055;-8.125;-0.763;NAN;pksmb,htru_pks;NAN;
879;J1522-5525;NAN;NAN;NAN;51097.00;323.231;1.397;230.52791667;-55.42152778;1.389605;3.30e-15;79.00;5.400;30.000;NAN;NAN;0.25;NAN;2.000;2.000;0.049;-1.197;6.898;NAN;pksmb,htru_pks;NAN;
880;J1522-5735;NAN;NAN;NAN;55250.00;322.052;-0.415;230.52208333;-57.58333333;0.102136;3.12e-14;NAN;NAN;NAN;NAN;NAN;0.00;NAN;NAN;NAN;-0.000;-0.000;8.500;GRS:4FGL_J1521.9-5735[aab+22],SNR:G321.9;FermiBlind;NRAD;
881;J1522-5829;NAN;NAN;NAN;57600.00;321.630;-1.215;230.67601667;-58.48411528;0.395354;2.06e-15;199.90;15.000;27.000;0.00;NAN;6.00;NAN;3.882;3.882;-0.082;-2.409;5.457;NAN;pks1,pksmb,htru_pks;NAN;
882;J1523-3235;NAN;NAN;NAN;57934.00;336.517;20.172;230.90708333;-32.59502778;1.504835;9.53e-16;72.30;93.000;97.000;NAN;NAN;0.20;NAN;7.997;7.997;2.758;-2.991;1.615;NAN;pks_superb,gbncc;NAN;
883;J1524-20;NAN;NAN;NAN;NAN;344.502;29.246;231.18333333;-20.98916667;NAN;NAN;40.10;NAN;NAN;NAN;NAN;NAN;NAN;3.175;3.175;1.551;-0.740;5.830;NAN;gbncc;RRAT[mss+20];
884;J1524-5625;NAN;NAN;NAN;51733.00;323.000;0.351;231.20775000;-56.42316667;0.078219;3.90e-14;152.20;3.600;17.000;NAN;NAN;1.28;NAN;3.378;3.378;0.021;-2.033;5.802;NAN;pksmb,htru_pks;NAN;
885;J1524-5706;NAN;NAN;NAN;55383.00;322.568;-0.186;231.08925000;-57.10962222;1.116174;3.56e-13;832.00;17.000;40.000;NAN;NAN;0.45;NAN;7.434;7.434;-0.024;-4.519;2.597;NAN;pksmb,htru_pks;NAN;
886;J1524-5819;NAN;NAN;NAN;54174.80;321.907;-1.201;231.10270833;-58.32058333;0.961043;1.26e-13;406.60;9.400;NAN;NAN;NAN;0.09;NAN;7.546;7.546;-0.158;-4.654;2.563;NAN;pksmb;NAN;
887;J1525-5417;NAN;NAN;NAN;51463.00;324.258;2.078;231.36812500;-54.28888889;1.011694;1.62e-14;235.00;5.900;11.000;NAN;NAN;0.18;NAN;4.880;4.880;0.177;-2.849;4.542;NAN;pksmb,htru_pks;NAN;
888;J1525-5523;NAN;NAN;NAN;55682.00;323.662;1.151;231.40026667;-55.39088889;0.355156;8.96e-18;124.70;31.000;40.900;NAN;NAN;0.21;NAN;3.132;3.132;0.063;-1.856;5.978;NAN;htru_pks;NAN;
889;J1525-5605;NAN;NAN;NAN;51467.00;323.286;0.565;231.42270833;-56.08694444;0.280349;1.16e-16;333.50;27.000;NAN;NAN;NAN;0.25;NAN;5.078;5.078;0.050;-3.036;4.430;NAN;pksmb,htru_pks;NAN;
890;J1526-2744;NAN;NAN;NAN;NAN;340.198;23.702;231.64166667;-27.72611111;0.002490;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;0.000;-0.000;8.500;GRS:4FGL_J1526.6+2743[aab+22];FermiAssoc;NRAD[aab+22];
891;J1526-5633;NAN;NAN;NAN;51490.00;323.136;0.093;231.67166667;-56.56194444;0.301888;1.23e-16;329.00;13.000;NAN;NAN;NAN;0.11;NAN;4.796;4.796;0.008;-2.877;4.663;NAN;pksmb;NAN;
892;J1527-3931;NAN;NAN;NAN;57600.00;333.050;14.020;231.99511667;-39.52616667;2.417605;1.91e-14;48.80;40.000;65.000;NAN;11.00;NAN;NAN;1.691;1.691;0.410;-0.744;7.038;NAN;mol2,pks70,pkssw,htru_pks,gbncc;NAN;
893;J1527-5552;NAN;NAN;NAN;57600.00;323.638;0.590;231.91972500;-55.86898667;1.048719;1.13e-14;370.06;10.000;39.000;0.00;17.00;0.84;NAN;5.381;5.381;0.055;-3.190;4.167;NAN;mol2,pks70,pksmb,htru_pks;NAN;
894;J1528-4109;NAN;NAN;NAN;51500.00;332.106;12.671;232.03347083;-41.15800000;0.526556;3.96e-16;89.50;8.700;14.000;NAN;NAN;0.60;NAN;5.453;5.453;1.196;-2.489;3.798;NAN;pkssw,htru_pks;NAN;
895;J1528-5547;NAN;NAN;NAN;55839.00;323.796;0.579;232.16325000;-55.78972222;3.467302;7.75e-15;269.00;52.900;110.000;NAN;NAN;0.07;NAN;4.471;4.471;0.045;-2.641;4.892;NAN;htru_pks;NAN;
896;J1528-5838;NAN;NAN;NAN;55806.00;322.166;-1.752;232.10125000;-58.63361111;0.355687;2.48e-14;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;-0.000;-0.000;8.500;GRS:4FGL_J1528.4-5838[aab+22];FermiBlind;NRAD;
897;J1529-26;NAN;NAN;NAN;NAN;341.832;24.728;232.25000000;-26.00000000;0.799000;NAN;44.60;21.000;31.000;NAN;NAN;NAN;NAN;3.008;3.008;1.258;-0.852;5.904;NAN;gbncc;NAN;
898;J1529+40;NAN;NAN;NAN;NAN;66.183;54.907;232.30000000;40.81666667;0.476400;NAN;6.61;71.000;NAN;NAN;NAN;NAN;NAN;0.499;0.499;0.408;0.262;8.384;NAN;misc,lotaas;NAN;
899;J1529-5355;NAN;NAN;NAN;51485.00;325.006;2.009;232.49000000;-53.92666667;0.891265;8.10e-16;292.00;56.000;NAN;NAN;NAN;0.37;NAN;6.240;6.240;0.219;-3.576;3.391;NAN;pksmb,htru_pks;NAN;
900;J1529-5611;NAN;NAN;NAN;51311.00;323.678;0.173;232.39916667;-56.19138889;0.822249;4.10e-15;149.00;42.000;NAN;NAN;NAN;0.14;NAN;3.321;3.321;0.010;-1.967;5.824;NAN;pksmb,htru_pks;NAN;
901;J1530-21;NAN;NAN;NAN;NAN;345.574;28.452;232.50000000;-21.00000000;0.505000;NAN;38.05;12.000;29.000;NAN;NAN;NAN;NAN;2.696;2.696;1.284;-0.591;6.204;NAN;gbncc;NAN;
902;J1530-5327;NAN;NAN;NAN;55431.00;325.328;2.347;232.61205000;-53.46556111;0.278958;4.68e-15;49.60;8.700;16.000;NAN;NAN;0.92;NAN;1.123;1.123;0.046;-0.638;7.577;NAN;pksmb,htru_pks;NAN;
903;J1530-6343;NAN;NAN;NAN;56093.00;319.506;-6.101;232.69836667;-63.72044444;0.910320;8.25e-16;206.00;8.000;30.000;NAN;NAN;0.37;NAN;11.447;11.447;-1.217;-7.391;-0.156;NAN;htru_pks;NAN;
904;J1531-4012;NAN;NAN;NAN;51500.00;333.147;13.113;232.78354167;-40.20858333;0.356849;9.63e-17;106.65;7.700;12.000;NAN;NAN;0.40;NAN;9.528;9.528;2.162;-4.192;0.221;NAN;pkssw;NAN;
905;J1531-5610;NAN;NAN;NAN;55304.00;323.897;0.033;232.86625417;-56.18203611;0.084206;1.38e-14;110.41;1.700;8.300;NAN;NAN;0.87;NAN;2.841;2.841;0.002;-1.674;6.205;GRS:4FGL_J1531.5-5612[aab+22];pksmb,htru_pks,FermiAssoc;HE[kbm+03,aab+22];
906;J1532+2745;1.500;18.930;0.590;56000.00;43.481;54.495;233.04318583;27.76378417;1.124836;7.80e-16;14.69;25.700;35.700;0.00;13.00;0.80;NAN;1.695;1.321;1.380;0.677;7.786;NAN;gb1,ar4,gb4,lotaas;NAN;
907;J1532-5308;NAN;NAN;NAN;51587.00;325.780;2.434;233.14791667;-53.13500000;0.443825;6.50e-17;181.00;26.000;NAN;NAN;NAN;0.25;NAN;3.825;3.825;0.162;-2.149;5.340;NAN;pksmb,htru_pks;NAN;
908;J1532-56;NAN;NAN;NAN;56657.00;323.790;-0.321;233.07500000;-56.53333333;0.522977;NAN;282.00;27.000;54.000;NAN;NAN;0.10;NAN;4.440;4.440;-0.025;-2.623;4.918;NAN;htru_pks;NAN;
909;J1534-4428;NAN;NAN;NAN;55337.00;331.161;9.261;233.71666667;-44.46927778;1.221426;1.80e-16;137.30;11.900;178.000;NAN;NAN;0.70;NAN;9.640;9.640;1.551;-4.589;0.166;NAN;htru_pks;NAN;
910;J1534-46;NAN;NAN;NAN;54831.00;330.007;7.910;233.53333333;-46.23333333;0.364835;NAN;64.40;NAN;NAN;NAN;NAN;NAN;NAN;2.035;2.035;0.280;-1.008;6.754;NAN;pkssw;RRAT;
911;J1534-5334;-27.000;-12.000;NAN;57600.00;325.715;1.944;233.53449167;-53.57212778;1.368882;1.43e-15;24.82;15.000;48.000;NAN;70.00;6.80;NAN;0.810;0.810;0.027;-0.456;7.831;NAN;mol1,mol2,pks1,pks70,pksmb,htru_pks;NAN;
912;J1534-5405;NAN;NAN;NAN;48360.60;325.463;1.483;233.63995833;-54.09436111;0.289689;1.54e-15;190.82;4.500;20.000;NAN;NAN;1.40;NAN;3.748;3.748;0.097;-2.124;5.414;NAN;pks1,pksmb,htru_pks;NAN;
913;J1535-4114;NAN;NAN;NAN;51500.00;333.175;11.821;233.82112500;-41.23419444;0.432866;4.07e-15;66.28;15.000;22.000;NAN;NAN;2.90;NAN;2.770;2.770;0.567;-1.223;6.081;NAN;pkssw,htru_pks;NAN;
914;J1535-4415;NAN;NAN;NAN;53000.00;331.447;9.324;233.98300000;-44.25233333;0.468402;4.05e-17;110.70;82.000;130.000;NAN;NAN;NAN;NAN;5.818;5.818;0.943;-2.744;3.457;NAN;pkssw,htru_pks;NAN;
915;J1535-5450;NAN;NAN;NAN;51448.00;325.194;0.757;233.99275000;-54.84055556;0.566734;1.43e-14;219.80;9.400;NAN;NAN;NAN;0.17;NAN;3.946;3.946;0.052;-2.252;5.260;NAN;pksmb,htru_pks;NAN;
916;J1535-5848;NAN;NAN;NAN;51760.00;322.797;-2.406;233.81983333;-58.80769444;0.307178;2.72e-15;107.00;5.400;10.000;NAN;NAN;0.35;NAN;2.971;2.971;-0.125;-1.795;6.136;NAN;pksmb,htru_pks;NAN;
917;J1536+17;NAN;NAN;NAN;NAN;27.983;50.988;234.06250000;17.81666667;0.933300;NAN;28.00;20.000;NAN;NAN;NAN;NAN;NAN;25.000;25.000;19.425;7.384;-5.397;NAN;misc;NAN;
918;J1536-30;NAN;NAN;NAN;NAN;340.437;20.638;234.00000000;-30.00000000;1.901000;NAN;63.60;14.000;67.000;NAN;NAN;NAN;NAN;5.285;5.285;1.863;-1.656;3.840;NAN;gbncc;NAN;
919;J1536-3602;NAN;NAN;NAN;53000.00;336.555;15.841;234.07242500;-36.04966667;1.319759;7.90e-16;86.80;83.000;97.000;NAN;NAN;1.90;NAN;7.620;7.620;2.080;-2.917;1.775;NAN;pkssw,gbncc;NAN;
920;J1536-5433;NAN;NAN;NAN;51138.00;325.374;0.980;234.02008333;-54.55416667;0.881438;1.91e-15;147.50;33.500;66.000;NAN;NAN;1.80;NAN;3.306;3.306;0.057;-1.878;5.780;NAN;pksmb,htru_pks;NAN;
921;J1536-5907;NAN;NAN;NAN;54211.60;322.722;-2.734;234.07383333;-59.11766667;0.557841;1.37e-15;316.00;13.000;NAN;NAN;NAN;0.22;NAN;8.135;8.135;-0.388;-4.922;2.034;NAN;pksmb,htru_pks;NAN;
922;J1537-4912;NAN;NAN;NAN;53000.00;328.705;5.181;234.36750000;-49.20083333;0.301311;1.93e-15;69.70;6.500;32.000;NAN;NAN;0.31;NAN;2.055;2.055;0.186;-1.063;6.751;NAN;pkssw,pksmb;NAN;
923;J1537-5153;NAN;NAN;NAN;51423.00;327.088;3.035;234.31554167;-51.88500000;1.528124;4.17e-15;93.00;34.000;45.000;NAN;NAN;0.07;NAN;2.744;2.744;0.145;-1.489;6.200;NAN;pksmb,htru_pks;NAN;
924;J1537-5645;NAN;NAN;NAN;51306.00;324.283;-0.943;234.46250000;-56.75111111;0.430464;2.78e-15;707.00;67.000;NAN;NAN;NAN;1.00;NAN;8.465;8.465;-0.139;-4.941;1.628;NAN;pksmb,htru_pks;NAN;
925;J1538+2345;NAN;NAN;NAN;56745.00;37.318;52.391;234.52529167;23.75111111;3.449385;6.89e-15;14.91;NAN;NAN;NAN;NAN;NAN;NAN;1.312;1.312;1.039;0.485;7.863;NAN;gbt350;RRAT;
926;J1538-5438;NAN;NAN;NAN;51138.00;325.645;0.679;234.70395833;-54.63805556;0.276726;1.42e-15;136.90;12.000;NAN;NAN;NAN;0.24;NAN;3.179;3.179;0.038;-1.794;5.876;NAN;pksmb,htru_pks;NAN;
927;J1538-5519;NAN;NAN;NAN;54221.10;325.219;0.134;234.67012500;-55.32944444;0.395731;4.10e-17;611.00;86.000;NAN;NAN;NAN;0.42;NAN;5.940;5.940;0.014;-3.388;3.621;NAN;pksmb,htru_pks;NAN;
928;J1538-5551;NAN;NAN;NAN;55421.00;324.912;-0.299;234.68756667;-55.86026389;0.104676;3.21e-15;602.67;8.100;NAN;0.02;NAN;0.33;NAN;5.977;5.977;-0.031;-3.436;3.609;NAN;pksmb,htru_pks;NAN;
929;J1538-5621;NAN;NAN;NAN;55912.00;324.608;-0.703;234.68037500;-56.36541667;1.908494;7.31e-15;150.00;34.100;60.600;NAN;NAN;0.14;NAN;3.313;3.313;-0.041;-1.919;5.799;NAN;htru_pks;NAN;
930;J1538-5638;NAN;NAN;NAN;51490.00;324.378;-0.871;234.52375000;-56.63666667;0.843980;7.12e-15;546.00;46.000;NAN;NAN;NAN;0.28;NAN;7.043;7.043;-0.107;-4.102;2.776;NAN;pksmb,htru_pks;NAN;
931;J1538-5732;NAN;NAN;NAN;51803.00;323.865;-1.617;234.57575000;-57.54147222;0.341213;4.55e-15;152.70;5.000;12.000;NAN;NAN;0.35;NAN;3.428;3.428;-0.097;-2.021;5.733;NAN;pksmb,htru_pks;NAN;
932;J1538-5750;NAN;NAN;NAN;51484.00;323.672;-1.843;234.53504167;-57.83808333;0.506568;4.20e-17;91.00;5.400;145.000;NAN;NAN;0.06;NAN;2.519;2.519;-0.081;-1.492;6.472;NAN;pksmb;NAN;
933;J1539-4828;NAN;NAN;NAN;54845.00;329.428;5.541;234.92016667;-48.48250000;1.272842;1.27e-15;117.00;20.000;44.000;NAN;NAN;0.20;NAN;3.465;3.465;0.335;-1.754;5.531;NAN;pksmb,htru_pks;NAN;
934;J1539-5521;NAN;NAN;NAN;51730.00;325.256;0.077;234.78320833;-55.35311111;1.004958;7.28e-16;380.00;15.000;NAN;NAN;NAN;0.14;NAN;4.912;4.912;0.007;-2.799;4.464;NAN;pksmb,htru_pks;NAN;
935;J1539-5626;49.000;-36.000;NAN;55408.00;324.621;-0.806;234.80858333;-56.44063889;0.243395;4.85e-15;175.85;8.800;19.000;NAN;NAN;5.00;NAN;3.536;3.536;-0.050;-2.047;5.617;NAN;pks1,pksmb,htru_pks;NAN;
936;J1539-6322;NAN;NAN;NAN;53000.00;320.488;-6.390;234.85291667;-63.38144444;1.630846;2.02e-16;163.50;67.000;83.000;NAN;NAN;NAN;NAN;7.095;7.095;-0.790;-4.486;3.060;NAN;pkssw,htru_pks;NAN;
937;J1540-5736;NAN;NAN;NAN;51309.00;324.109;-1.891;235.24591667;-57.61583333;0.612916;4.21e-16;304.50;14.000;27.000;NAN;NAN;0.24;NAN;6.349;6.349;-0.209;-3.720;3.359;NAN;pksmb,htru_pks;NAN;
938;J1541-42;NAN;NAN;NAN;NAN;333.514;10.214;235.47916667;-42.31388889;NAN;NAN;60.00;4.000;NAN;NAN;NAN;NAN;NAN;2.112;2.112;0.375;-0.927;6.640;NAN;htru_pks;RRAT;
939;J1541+47;NAN;NAN;NAN;59211.00;75.497;51.394;235.27308333;47.05095833;0.277701;2.10e-16;19.40;NAN;NAN;NAN;NAN;NAN;NAN;2.034;2.034;1.589;1.229;8.182;NAN;chime;RRAT[dcm+23];
940;J1541-5535;NAN;NAN;NAN;51527.00;325.424;-0.337;235.45666667;-55.58361111;0.295838;7.50e-14;426.10;4.900;NAN;NAN;NAN;0.30;NAN;5.161;5.161;-0.030;-2.929;4.251;NAN;pksmb,htru_pks;NAN;
941;J1542-5034;NAN;NAN;NAN;57600.00;328.567;3.577;235.68883333;-50.56768333;0.599248;4.02e-15;91.00;4.700;11.000;NAN;21.00;0.30;NAN;2.732;2.732;0.170;-1.422;6.173;NAN;pks70,pksmb,htru_pks;NAN;
942;J1542-5133;NAN;NAN;NAN;51911.00;327.913;2.827;235.58304167;-51.55972222;1.783865;5.89e-16;186.00;35.000;59.000;NAN;NAN;0.27;NAN;4.061;4.061;0.200;-2.155;5.064;NAN;pksmb,htru_pks;NAN;
943;J1542-5303;NAN;NAN;NAN;51491.00;327.073;1.578;235.72712500;-53.06138889;1.207568;7.78e-14;265.70;52.000;71.000;NAN;NAN;0.35;NAN;5.370;5.370;0.148;-2.918;3.994;NAN;pksmb,htru_pks;NAN;
944;J1543-0620;-16.790;-0.300;0.310;56000.00;0.566;36.608;235.87557208;-6.34592556;0.709064;8.80e-16;18.30;7.600;17.000;0.00;40.00;2.00;NAN;3.226;1.115;1.924;0.026;5.911;NAN;mol2,gb2,pks70,lotaas,gbncc;NAN;
945;J1543+0929;-7.610;-2.870;0.130;52275.00;17.811;45.775;235.91177083;9.48787194;0.748448;4.32e-16;34.98;146.000;264.000;0.00;78.00;5.90;NAN;5.900;25.000;4.228;1.259;4.582;NAN;misc,mol2,gb4,lotaas;NAN;
946;J1543-5013;NAN;NAN;NAN;51456.00;328.925;3.725;235.99270833;-50.23277778;0.644255;1.01e-14;211.00;17.000;NAN;NAN;NAN;0.17;NAN;5.809;5.809;0.377;-2.992;3.535;NAN;pksmb,htru_pks;NAN;
947;J1543-5459;NAN;NAN;NAN;55408.00;326.025;-0.044;235.98512500;-54.98750000;0.377138;5.21e-14;344.99;14.000;52.000;0.04;NAN;0.81;NAN;4.658;4.658;-0.004;-2.603;4.637;NAN;pksmb,htru_pks;NAN;
948;J1544-0713;NAN;NAN;NAN;57317.00;359.916;35.859;236.09802917;-7.23306111;0.484130;1.14e-15;30.73;6.100;NAN;NAN;NAN;0.39;NAN;2.633;2.633;1.542;-0.003;6.366;NAN;pks_superb;NAN;
949;J1544-5308;NAN;NAN;NAN;57600.00;327.271;1.320;236.24928917;-53.14637583;0.178554;6.03e-17;35.16;3.100;11.000;NAN;23.00;5.82;NAN;0.932;0.932;0.021;-0.504;7.716;NAN;mol2,pks1,pks70,pksmb,htru_pks,ghrs;NAN;
950;J1546-5302;NAN;NAN;NAN;51398.00;327.470;1.301;236.53083333;-53.03972222;0.580840;1.18e-14;287.00;9.100;18.000;NAN;NAN;0.32;NAN;5.334;5.334;0.121;-2.868;4.004;NAN;pksmb,htru_pks;NAN;
951;J1546-5925;NAN;NAN;NAN;57071.00;323.575;-3.767;236.62227333;-59.42913083;0.007797;1.61e-20;168.50;0.670;NAN;NAN;NAN;0.27;NAN;4.026;4.026;-0.264;-2.385;5.268;NAN;pksmb;NAN;
952;J1547-0944;NAN;NAN;NAN;55170.00;358.314;33.573;236.94190833;-9.73550000;1.576925;2.94e-15;37.42;30.000;43.000;NAN;NAN;NAN;NAN;3.756;3.756;2.077;-0.092;5.372;NAN;gbt350,gbncc;NAN;
