#;PSRJ;PMRA;PMDEC;PX;POSEPOCH;Gl;Gb;RAJD;DECJD;P0;P1;DM;W50;W10;TAU_SC;S400;S1400;S2000;DIST;DIST_DM;ZZ;XX;YY;ASSOC;SURVEY;PSR;
;;(mas/yr);(mas/yr);(mas);(MJD);(deg);(deg);(deg);(deg);(s);(s/s);(cm^-3pc);(ms);(ms);(s);(mJy);(mJy);(mJy);(kpc);(kpc);(kpc);(kpc);(kpc);;;TYPE;
11;J0024-7204D;5.252;-2.551;0.232;51600.00;305.881;-44.893;6.05783717;-72.07884789;0.005358;-3.42e-21;24.74;0.303;0.476;NAN;0.95;0.35;0.20;4.521;2.631;-3.191;-2.595;6.623;GC:47Tuc(NGC104),XRS:[bgh+06];pksgc;NAN;
12;J0024-7204F;5.252;-2.551;0.232;51600.00;305.899;-44.892;6.01606446;-72.07856064;0.002624;6.45e-20;24.38;0.500;NAN;NAN;NAN;NAN;NAN;4.521;2.543;-3.191;-2.595;6.622;GC:47Tuc(NGC104),XRS:[bgh+06];pksgc;NAN;
13;J0024-7204G;5.252;-2.551;0.232;51600.00;305.891;-44.893;6.03316792;-72.07769528;0.004040;-4.22e-20;24.44;0.700;NAN;NAN;NAN;NAN;NAN;4.521;2.556;-3.191;-2.595;6.622;GC:47Tuc(NGC104),XRS:[bgh+06];pksgc;NAN;
14;J0024-7204L;5.252;-2.551;0.232;51600.00;305.898;-44.888;6.01571708;-72.08247861;0.004346;-1.22e-19;24.40;0.700;NAN;NAN;NAN;NAN;NAN;4.521;2.547;-3.191;-2.595;6.622;GC:47Tuc(NGC104),XRS:[bgh+06];pksgc;NAN;
15;J0024-7204M;5.252;-2.551;0.232;51600.00;305.913;-44.877;5.97704125;-72.09187667;0.003677;-3.84e-20;24.43;1.200;NAN;NAN;NAN;NAN;NAN;4.521;2.553;-3.190;-2.595;6.621;GC:47Tuc(NGC104),XRS:[bgh+06];pksgc;NAN;
16;J0024-7204N;5.252;-2.551;0.232;51600.00;305.890;-44.897;6.03828333;-72.07469186;0.003054;-2.19e-20;24.57;NAN;NAN;NAN;NAN;NAN;NAN;4.521;2.589;-3.191;-2.595;6.623;GC:47Tuc(NGC104),XRS:[bgh+06];pksgc;NAN;
17;J0024-7204Z;5.252;-2.551;0.232;51600.00;305.894;-44.887;6.02517083;-72.08374444;0.004554;-4.54e-21;24.45;NAN;NAN;NAN;NAN;NAN;NAN;4.521;2.559;-3.191;-2.595;6.622;GC:47Tuc(NGC104),XRS:[bhc+17];misc;NAN;
18;J0026-1955;NAN;NAN;NAN;58880.50;83.291;-80.829;6.65000000;-19.93305556;1.306150;NAN;20.87;85.000;95.000;NAN;NAN;NAN;NAN;25.000;25.000;-24.680;3.957;8.034;NAN;gbncc,mwa_smart;NAN;
19;J0026+6320;NAN;NAN;NAN;56675.00;120.176;0.593;6.71067083;63.33357500;0.318358;1.51e-16;245.06;8.100;48.000;0.00;NAN;1.00;NAN;6.619;6.619;0.069;5.722;11.827;NAN;misc,gbncc;NAN;
20;J0030+0451;-6.329;0.766;3.090;55664.00;113.141;-57.611;7.61428128;4.86103100;0.004865;1.02e-20;4.33;NAN;NAN;NAN;7.90;1.09;0.63;0.324;0.345;-0.273;0.159;8.568;GRS:4FGL_J0030.4+0451[aab+22];misc,lotaas,gbncc;HE[btlb00,aaa+09e];
