#;NAME;;PSRJ;;PMRA;;;PMDEC;;;PX;;;POSEPOCH;;Gl;Gb;RAJD;;DECJD;;P0;;;P1;;;DM;;;W50;;;W10;;;TAU_SC;;;S400;;;S1400;;;S2000;;;DIST;DIST_DM;;ZZ;XX;YY;ASSOC;;SURVEY;PSR;
;;;;;(mas/yr);;;(mas/yr);;;(mas);;;(MJD);;(deg);(deg);(deg);;(deg);;(s);;;;;;(cm^-3pc);;;(ms);;;(ms);;;(s);;;(mJy);;;(mJy);;;(mJy);;;(kpc);(kpc);;(kpc);(kpc);(kpc);;;;TYPE;
194;B0502-66;mmh+91;J0502-6617;mmh+91;NAN;0;*;NAN;0;*;NAN;0;*;48771.00;*;276.869;-35.504;75.7105;4.2e-04;-66.2997;2.5e-04;0.69125141818;4.0e-11;ckm+01;2.3090E-14;6.0e-18;ckm+01;68.9;3.0e-01;ckm+01;NAN;0;*;NAN;0;*;NAN;0;*;1.0;0;mmh+91;NAN;0;*;NAN;0;*;49.700;49.066;ymw17;-28.864;-40.169;3.661;EXGAL:LMC;0;misc;NAN;
195;J0506+50;qpl+19;J0506+50;qpl+19;NAN;0;*;NAN;0;*;NAN;0;*;NAN;*;157.896;5.803;76.55875;0;50.50833;0;0.00339;0;aab+22;NAN;0;*;43.4;0;wvumsp21;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;1.383;1.383;ymw17;0.140;0.518;9.775;GRS:4FGL_J0506.1+5028[aab+22];0;fast_crafts,FermiAssoc;HE[qpl+19],HE[aab+22];
196;J0509+37;tkt22;J0509+37;tkt22;NAN;0;*;NAN;0;*;NAN;0;*;NAN;*;168.605;-1.562;77.2;1.0e+00;37.5;2.5e-01;2.4961;0;tkt22;NAN;0;*;30;3.0e+00;tkt22;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;0.930;0.930;ymw17;-0.025;0.184;9.411;NAN;0;pumps;NAN;
197;J0509-6838;plg+24;J0509-6838;plg+24;NAN;0;*;NAN;0;*;NAN;0;*;59830.4;plg+24;279.461;-34.299;77.49238;0;-68.64611;0;0.2787536;3.0e-07;plg+24;NAN;0;*;149;2.0e+00;plg+24;19;3.0e+00;plg+24;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;51.526;51.526;ymw17;-29.036;-41.987;1.503;EXGAL:LMC[plg+24];0;meerkat_trapum;NAN;
198;J0509-6845;plg+24;J0509-6845;plg+24;NAN;0;*;NAN;0;*;NAN;0;*;59830.4;plg+24;279.588;-34.279;77.48025;0;-68.75264;0;0.30719713;8.0e-08;plg+24;NAN;0;*;92.6;5.0e-01;plg+24;8.4;8.0e-01;plg+24;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;49.386;49.386;ymw17;-27.815;-40.238;1.703;EXGAL:LMC[plg+24];0;meerkat_trapum;NAN;
199;J0511-6508;mfl+06;J0511-6508;mfl+06;NAN;0;*;NAN;0;*;NAN;0;*;59400;kjk+24;275.250;-34.827;77.98544;5.8e-05;-65.14344;2.7e-05;0.3220619574372;5.0e-13;kjk+24;2.0713E-16;4.0e-20;kjk+24;25.659999602136627605;0;kjk+24;12;0;pkj+21;NAN;0;*;NAN;0;*;NAN;0;*;0.310;1.0e-02;jpm+22;NAN;0;*;0.818;0.818;ymw17;-0.467;-0.669;8.439;NAN;0;misc;NAN;
200;J0514-4002B;rfg+22;J0514-4002B;rfg+22;2.15;3.0e-02;vb21;-0.65;3.0e-02;vb21;0.088;1.1e-02;vb21;NAN;*;244.513;-35.036;78.5280;3.3e-04;-40.04664;1.7e-04;0.0028163;0;rfg+22;NAN;0;*;52.076;3.0e-03;rfg+22;0.38;0;rfg+22;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;11.950;25.000;ymw17;-6.860;-8.832;12.710;GC:NGC1851[rfg+22];0;meerkat_trapum;NAN;
201;J0514-4002C;rfg+22;J0514-4002C;rfg+22;2.15;3.0e-02;vb21;-0.65;3.0e-02;vb21;0.088;1.1e-02;vb21;NAN;*;244.514;-35.036;78.52788;1.7e-04;-40.04706;8.3e-05;0.0055648;0;rfg+22;NAN;0;*;52.053;5.0e-03;rfg+22;0.56;0;rfg+22;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;11.950;25.000;ymw17;-6.860;-8.832;12.710;GC:NGC1851[rfg+22];0;meerkat_trapum;NAN;
202;J0514-4002J;rfg+22;J0514-4002J;rfg+22;2.15;3.0e-02;vb21;-0.65;3.0e-02;vb21;0.088;1.1e-02;vb21;NAN;*;244.513;-35.036;78.5279;8.3e-04;-40.0467;5.6e-04;0.0066329;0;rfg+22;NAN;0;*;52.017;7.0e-03;rfg+22;0.72;0;rfg+22;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;11.950;25.000;ymw17;-6.860;-8.832;12.710;GC:NGC1851[rfg+22];0;meerkat_trapum;NAN;
203;J0514-4002K;rfg+22;J0514-4002K;rfg+22;2.15;3.0e-02;vb21;-0.65;3.0e-02;vb21;0.088;1.1e-02;vb21;NAN;*;244.513;-35.036;78.5283;8.3e-04;-40.0467;5.6e-04;0.0046920;0;rfg+22;NAN;0;*;51.928;2.0e-03;rfg+22;0.16;0;rfg+22;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;11.950;25.000;ymw17;-6.860;-8.832;12.710;GC:NGC1851[rfg+22];0;meerkat_trapum;NAN;
204;J0514-4002M;rfg+22;J0514-4002M;rfg+22;2.15;3.0e-02;vb21;-0.65;3.0e-02;vb21;0.088;1.1e-02;vb21;NAN;*;244.513;-35.036;78.528;1.0e-02;-40.047;7.8e-03;0.0047978;0;rfg+22;NAN;0;*;51.678;1.4e-02;rfg+22;0.32;0;rfg+22;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;11.950;25.000;ymw17;-6.860;-8.832;12.710;GC:NGC1851[rfg+22];0;meerkat_trapum;NAN;
205;J0514-4002N;rfg+22;J0514-4002N;rfg+22;2.15;3.0e-02;vb21;-0.65;3.0e-02;vb21;0.088;1.1e-02;vb21;NAN;*;244.513;-35.036;78.5279;4.2e-04;-40.0464;2.8e-04;0.0055679;0;rfg+22;NAN;0;*;51.068;4.0e-03;rfg+22;0.89;0;rfg+22;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;11.950;25.000;ymw17;-6.860;-8.832;12.710;GC:NGC1851[rfg+22];0;meerkat_trapum;NAN;
206;J0514-4408;bcm+16;J0514-4408;bcm+16;NAN;0;*;NAN;0;*;NAN;0;*;57330.00;*;249.515;-35.365;78.717458;1.3e-05;-44.143717;5.6e-06;0.3202708224090;7.0e-13;brs+19;2.042031E-15;1.1e-20;brs+19;15.122;6.0e-03;brs+19;5.60;0;sjk+21;30.60;0;sjk+21;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;0.966;0.966;ymw17;-0.559;-0.738;8.776;GRS:4FGL_J0514.6-4408[saa+23];0;ghrss,FermiAssoc;HE[brs+19];
207;J0517+2212;cha03;J0517+2212;cha03;NAN;0;*;NAN;0;*;NAN;0;*;53400.00;*;182.176;-9.012;79.321446;8.3e-06;22.21442;5.6e-05;0.2223665151982;7.0e-13;bfrs18;1.16047E-17;1.5e-21;bfrs18;18.3;0;whx+23;43.2;1.4e+00;whx+23;63.7;1.5e+00;whx+23;NAN;0;*;7;0;cha03;0.46;2.0e-02;bfrs18;NAN;0;*;0.158;0.158;ymw17;-0.025;-0.006;8.656;NAN;0;ar4,lotaas,fast_gpps;NAN;
208;J0518+2431;crafts23;J0518+2431;crafts23;NAN;0;*;NAN;0;*;NAN;0;*;59200;wyw+23;180.376;-7.530;79.55834;3.8e-05;24.5219;2.8e-04;2.636939736628;7.0e-12;wyw+23;6.86E-16;4.0e-18;wyw+23;73.76;7.0e-02;wyw+23;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;0.114;1.3e-02;wyw+23;NAN;0;*;1.598;1.598;ymw17;-0.209;-0.010;10.084;NAN;0;fast_crafts;NAN;
209;J0518+5125;scb+19;J0518+5125;scb+19;NAN;0;*;NAN;0;*;NAN;0;*;57829;mbc+20;158.262;7.903;79.60894;3.3e-05;51.43297;5.6e-05;0.912511685262;8.0e-12;mbc+20;1.910E-16;1.0e-18;mbc+20;39.244;2.0e-03;mbc+20;33.0;1.0e+00;mbc+20;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;1.337;1.337;ymw17;0.184;0.490;9.730;NAN;0;lotaas;NAN;
210;J0518+5416;slr+14;J0518+5416;slr+14;NAN;0;*;NAN;0;*;NAN;0;*;56500.00;*;155.916;9.557;79.72167;7.4e-05;54.28056;8.0e-05;0.340202651600;6.0e-12;lsk+18;1.676E-15;4.0e-18;lsk+18;42.3;0;whx+23;9.5;1.4e+00;whx+23;19.4;1.4e+00;whx+23;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;1.434;1.434;ymw17;0.238;0.577;9.791;NAN;0;gbncc,lotaas,fast_gpps;NAN;
211;J0518-6939;plg+24;J0518-6939;plg+24;NAN;0;*;NAN;0;*;NAN;0;*;59830.3;plg+24;280.463;-33.359;79.56458;0;-69.66256;0;0.33020997;6.0e-08;plg+24;NAN;0;*;254.2;4.0e-01;plg+24;7.3;7.0e-01;plg+24;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;100.000;100.000;ymw17;-54.988;-82.136;-6.668;EXGAL:LMC[plg+24];0;meerkat_trapum;NAN;
212;J0518-6946;plg+24;J0518-6946;plg+24;NAN;0;*;NAN;0;*;NAN;0;*;59830.3;plg+24;280.575;-33.276;79.74329;0;-69.77132;0;1.690414;3.0e-06;plg+24;NAN;0;*;82;3.0e+00;plg+24;40;3.0e+00;plg+24;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;49.203;49.203;ymw17;-26.996;-40.437;0.951;EXGAL:LMC[plg+24];0;meerkat_trapum;NAN;
213;J0519+44;hrk+08;J0519+44;hrk+08;NAN;0;*;NAN;0;*;NAN;0;*;54100.00;*;164.464;3.754;79.75000;0;44.00000;0;0.515;0;hrk+08;NAN;0;*;52;0;hrk+08;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;1.421;1.421;ymw17;0.093;0.380;9.866;NAN;0;gbt350;NAN;
214;J0519-6931;plg+24;J0519-6931;plg+24;NAN;0;*;NAN;0;*;NAN;0;*;59830.3;plg+24;280.282;-33.312;79.78496;0;-69.52378;0;0.37773586;6.0e-08;plg+24;NAN;0;*;82.7;3.0e-01;plg+24;7.5;4.0e-01;plg+24;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;49.118;49.118;ymw17;-26.975;-40.389;1.174;EXGAL:LMC[plg+24];0;meerkat_trapum;NAN;
215;J0519-6932;mfl+06;J0519-6932;mfl+06;NAN;0;*;NAN;0;*;NAN;0;*;52466.00;*;280.287;-33.254;79.94549;5.0e-05;-69.539856;1.9e-05;0.263211634568;3.0e-12;mfl+06;6.968E-16;5.0e-19;mfl+06;118.86;2.0e-02;jpm+22;3.6;0;pkj+21;10;0;pkj+21;NAN;0;*;NAN;0;*;0.130;1.0e-02;jpm+22;NAN;0;*;49.700;49.732;ymw17;-27.253;-40.894;1.078;EXGAL:LMC;0;misc;NAN;
216;J0520-2553;lml+98;J0520-2553;lml+98;NAN;0;*;NAN;0;*;NAN;0;*;51216.0;hlk+04;228.434;-30.543;80.150772;1.4e-05;-25.88675;3.0e-05;0.24164220069112;3.0e-14;kjk+24;3.01327E-17;1.8e-21;kjk+24;33.7150664234368223;0;kjk+24;10;0;pkj+21;13;0;pkj+21;NAN;0;*;8;0;lml+98;0.8;2.0e-01;jk18;NAN;0;*;2.372;2.372;ymw17;-1.205;-1.528;9.855;NAN;0;pks70,gbncc,misc,pkshl;NAN;
217;J0521-68;rcl+13;J0521-68;rcl+13;NAN;0;*;NAN;0;*;NAN;0;*;51871.00;*;279.124;-33.262;80.43333;0;-68.58333;0;0.4334207;3.0e-07;rcl+13;NAN;0;*;136;4.0e+00;rcl+13;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;49.700;49.777;ymw17;-27.259;-41.032;1.910;EXGAL:LMC;0;misc;NAN;
218;J0522-6847;mfl+06;J0522-6847;mfl+06;NAN;0;*;NAN;0;*;NAN;0;*;52503.00;*;279.348;-33.168;80.5961;3.3e-04;-68.78394;8.3e-05;0.67453190906;3.0e-11;mfl+06;1.7727E-14;1.4e-17;mfl+06;126.45;7.0e-02;mfl+06;15;0;pkj+21;NAN;0;*;NAN;0;*;NAN;0;*;0.083;3.0e-03;jpm+22;NAN;0;*;49.700;49.581;ymw17;-27.191;-41.050;1.743;EXGAL:LMC;0;misc;NAN;
219;J0523-7125;wmk+22;J0523-7125;wmk+22;NAN;0;*;NAN;0;*;NAN;0;*;NAN;*;282.415;-32.547;80.95275;1.2e-04;-71.43127;4.2e-05;0.3225;0;wmk+22;NAN;0;*;157.5;0;wmk+22;100;0;wmk+22;NAN;0;*;NAN;0;*;NAN;0;*;1;0;wmk+22;NAN;0;*;49.700;100.000;ymw17;-26.738;-40.915;-0.507;EXGAL:LMC;0;misc;NAN;
220;B0523+11;mlt+78;J0525+1115;mlt+78;31;2.0e+00;kjk+24;-1.0;8.0e+00;kjk+24;NAN;0;*;59400;kjk+24;192.695;-13.245;81.485454;2.7e-06;11.255218;1.2e-05;0.35443767075853;1.1e-13;kjk+24;7.371E-17;3.0e-20;kjk+24;79.41799876860821087;0;kjk+24;14.7;0;dmo+24;22.3;0;dmo+24;7.5E-6;3.0e-07;kmn+15;19.5;9.0e-01;lylg95;1.94;2.0e-02;jsd+21;NAN;0;*;1.841;1.841;ymw17;-0.422;-0.394;10.248;NAN;0;mol2,ar327,gb4,lotaas,misc;NAN;
221;J0525-6607;mgi+79;J0525-6607;mgi+79;NAN;0;*;NAN;0;*;NAN;0;*;52153.00;*;276.087;-33.246;81.5038;4.2e-04;-66.07675;1.7e-04;8.0470;2.0e-04;kkm+03;6.5E-11;5.0e-12;kkm+03;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;NAN;*;-0.000;-0.000;8.500;XRS:SGR_0526-66,SNR:N49(?)[ekl+80];0;misc;AXP,NRAD;
222;B0525+21;sr68;J0528+2200;sr68;-20;1.9e+01;hla93;7;9.0e+00;hla93;NAN;0;*;53100;ywml10;183.856;-6.896;82.21777;3.8e-05;22.0011;5.6e-04;3.74553925030;3.0e-11;ywml10;4.00530E-14;1.5e-18;ywml10;50.87;0;dmo+24;64.0;0;dmo+24;214.0;0;dmo+24;6.3E-7;3.1e-07;kl07;57;5.0e+00;lylg95;8.9;1.8e+00;jk18;NAN;0;*;1.215;1.215;ymw17;-0.146;-0.081;9.703;NAN;0;gb1,ar327,gb3,gb4,lotaas;NAN;
223;J0529-0715;clh+20;J0529-0715;clh+20;NAN;0;*;NAN;0;*;NAN;0;*;58372.00;*;210.065;-21.582;82.287388;8.3e-06;-7.25734;2.8e-05;0.689223601359;9.0e-12;clh+20;5.755E-16;9.0e-19;clh+20;87.3;4.0e-01;clh+20;11.9;0;clh+20;26.3;0;clh+20;NAN;0;*;NAN;0;*;0.125;8.0e-03;clh+20;NAN;0;*;7.001;7.001;ymw17;-2.575;-3.261;14.134;NAN;0;fast_crafts;NAN;
224;B0529-66;mhah83;J0529-6652;mhah83;NAN;0;*;NAN;0;*;NAN;0;*;57600;lbs+20;276.975;-32.763;82.46208;1.2e-04;-66.87775;8.3e-05;0.975736826742;2.0e-11;lbs+20;1.54735E-14;4.0e-19;lbs+20;103.31;7.0e-02;jpm+22;22;0;pkj+21;41;0;pkj+21;NAN;0;*;NAN;0;*;0.213;6.0e-03;jpm+22;NAN;0;*;49.700;49.593;ymw17;-26.896;-41.484;3.425;EXGAL:LMC;0;misc;NAN;
225;J0530-3847;msk+24;J0530-3847;msk+24;NAN;0;*;NAN;0;*;NAN;0;*;NAN;*;243.633;-31.771;82.54063;4.2e-05;-38.78482;4.0e-05;0.906501950563;1.7e-11;msk+24;6.212E-16;1.7e-18;msk+24;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;NAN;*;-0.000;-0.000;8.500;NAN;0;gbncc;NAN;
226;J0530-39;mss+20;J0530-39;mss+20;NAN;0;*;NAN;0;*;NAN;0;*;NAN;*;243.875;-31.843;82.50000;0;-39.00000;0;0.907;0;mss+20;NAN;0;*;48.5;2.0e-01;mss+20;34;0;mss+20;42;0;mss+20;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;25.000;25.000;ymw17;-13.190;-19.068;17.852;NAN;0;gbncc;NAN;
227;J0532-6639;mfl+06;J0532-6639;mfl+06;NAN;0;*;NAN;0;*;NAN;0;*;52462.00;*;276.675;-32.481;83.2480;2.5e-04;-66.66036;1.4e-04;0.64274275093;3.0e-11;mfl+06;5.354E-15;1.3e-17;mfl+06;69.2;2.0e-01;jpm+22;8.8;0;pkj+21;NAN;0;*;NAN;0;*;NAN;0;*;0.042;4.0e-03;jpm+22;NAN;0;*;49.700;47.847;ymw17;-26.690;-41.641;3.627;EXGAL:LMC;0;misc;NAN;
228;J0532-69;rcl+13;J0532-69;rcl+13;NAN;0;*;NAN;0;*;NAN;0;*;55420.00;*;280.333;-32.163;83.01667;0;-69.76667;0;1.1491957;1.4e-06;rcl+13;NAN;0;*;124.0;1.0e+00;rcl+13;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;49.700;49.602;ymw17;-26.457;-41.391;0.954;EXGAL:LMC;0;misc;NAN;
229;J0533+0402;snt97;J0533+0402;snt97;NAN;0;*;NAN;0;*;NAN;0;*;59400;kjk+24;200.085;-15.326;83.357626;9.2e-06;4.03337;2.6e-05;0.9630178499973;8.0e-13;kjk+24;1.6062E-16;7.0e-20;kjk+24;83.699999999999999997;0;kjk+24;15;0;pkj+21;24;0;pkj+21;3.0E-6;1.3e-06;kl07;NAN;0;*;0.70;1.0e-01;jk18;NAN;0;*;2.172;2.172;ymw17;-0.574;-0.719;10.467;NAN;0;gb4,gbncc,lotaas,misc;NAN;
230;J0533+6759;san16;J0533+6759;san16;1.1;7.0e-01;saa+23;-1.2;8.1e+00;saa+23;NAN;0;*;55942.00;*;144.780;18.183;83.4797504;1.3e-06;67.9881914;8.3e-07;0.0043881599698794;4.0e-16;saa+23;1.2618E-20;6.0e-24;saa+23;57.369;2.0e-03;san16;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;2.392;2.392;ymw17;0.746;1.311;10.357;GRS:4FGL_J0533.8+6800[aab+22];0;FermiAssoc;HE[aab+22];
231;J0533-4524;ovm+20;J0533-4524;ovm+20;NAN;0;*;NAN;0;*;NAN;0;*;57605.56;*;251.461;-32.264;83.30788;1.7e-04;-45.41394;5.6e-05;0.157284525096;2.0e-12;ovm+20;2.8024E-16;2.0e-20;ovm+20;18.93;2.0e-02;ovm+20;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;1.239;1.239;ymw17;-0.661;-0.993;8.833;NAN;0;misc;NAN;
232;B0531+21;sr68;J0534+2200;sr68;-11.34;6.0e-02;lvk+23;2.65;1.4e-01;lvk+23;0.53;6.0e-02;lvk+23;57680;lvk+23;184.557;-5.784;83.6330565;2.9e-07;22.0144980;2.8e-07;0.0333924123;1.2e-09;ljg+15;4.20972E-13;3.0e-18;ljg+15;56.77;0;dmo+24;2.0;0;dmo+24;7.3;0;dmo+24;1.455E-5;1.4e-07;kmn+15;550;1.0e+02;tbms98;14;3.0e+00;lylg95;NAN;0;*;2.000;1.311;ymw17;-0.202;-0.158;10.484;GRS:4FGL_J0534.5+2200[aab+22],SNR:Crab[ccl+69],PWN:Crab[ccl+69],GRS:HESS_J0534+220[aab+06b];0;misc,FermiBlind,ar327,ar4,gb4,lotaas;HE[cdt69],HE[fhm+69],HE[hjm+70];
233;J0534+34;ttm18;J0534+34;ttm18;NAN;0;*;NAN;0;*;NAN;0;*;NAN;*;174.353;0.746;83.62;8.3e-02;34.1;2.5e-01;NAN;0;*;NAN;0;*;24.5;1.5e+00;ttm18;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;0.403;0.403;ymw17;0.005;0.040;8.901;NAN;0;misc;RRAT[ttm18];
234;J0534-13;mss+20;J0534-13;mss+20;NAN;0;*;NAN;0;*;NAN;0;*;NAN;*;216.227;-22.957;83.50000;0;-13.00000;0;0.979;0;mss+20;NAN;0;*;74.3;3.0e-01;mss+20;13;0;mss+20;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;6.226;6.226;ymw17;-2.428;-3.388;13.125;NAN;0;gbncc;NAN;
235;J0534-6703;mfl+06;J0534-6703;mfl+06;NAN;0;*;NAN;0;*;NAN;0;*;52410.00;*;277.129;-32.279;83.6507;4.2e-04;-67.0636;2.2e-04;1.81756503106;1.7e-10;mfl+06;4.2505E-13;6.0e-17;mfl+06;95.30;1.0e-01;jpm+22;16;0;pkj+21;NAN;0;*;NAN;0;*;NAN;0;*;0.116;5.0e-03;jpm+22;NAN;0;*;49.700;48.847;ymw17;-26.542;-41.694;3.286;EXGAL:LMC;0;misc;NAN;
236;J0534-6905;plg+24;J0534-6905;plg+24;NAN;0;*;NAN;0;*;NAN;0;*;59964.6;plg+24;279.512;-32.008;83.72788;0;-69.09942;0;0.8427825;6.0e-07;plg+24;NAN;0;*;244.0;1.0e+00;plg+24;25;2.0e+00;plg+24;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;49.650;49.650;ymw17;-26.316;-41.523;1.543;EXGAL:LMC[plg+24];0;meerkat_trapum;NAN;
237;J0535-66;rcl+13;J0535-66;rcl+13;NAN;0;*;NAN;0;*;NAN;0;*;51393.00;*;276.884;-32.197;83.91667;0;-66.86667;0;0.21052436;3.0e-08;rcl+13;NAN;0;*;75.0;1.0e+00;rcl+13;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;49.700;48.067;ymw17;-26.481;-41.754;3.459;EXGAL:LMC;0;misc;NAN;
238;J0535-6935;ckm+01;J0535-6935;ckm+01;NAN;0;*;NAN;0;*;NAN;0;*;52200.00;*;280.076;-31.936;83.8;5.0e-01;-69.58;1.2e-01;0.20051133;2.0e-08;mfl+06;1.15E-14;3.0e-16;mfl+06;93.7;4.0e-01;mfl+06;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;0.05;0;ckm+01;NAN;0;*;49.700;48.857;ymw17;-26.290;-41.527;1.121;EXGAL:LMC;0;misc;NAN;
239;B0538-75;mlt+78;J0536-7543;mlt+78;3;4.0e+01;kjk+24;65;8.0e+00;kjk+24;NAN;0;*;59400;kjk+24;287.161;-30.821;84.12856;4.2e-05;-75.731766;1.1e-05;1.245856241689;3.0e-12;kjk+24;5.7540E-16;1.8e-19;kjk+24;18.58;0;kjk+24;60;0;pkj+21;95;0;pkj+21;NAN;0;*;75;0;tml93;8.700;1.0e-02;jpm+22;NAN;0;*;0.143;0.143;ymw17;-0.073;-0.117;8.464;NAN;0;mol2,misc,pks70;NAN;
240;J0537-69;rcl+13;J0537-69;rcl+13;NAN;0;*;NAN;0;*;NAN;0;*;55420.00;*;279.768;-31.730;84.42917;0;-69.35000;0;0.11261321;2.0e-08;rcl+13;NAN;0;*;273.0;1.0e+00;rcl+13;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;49.700;49.900;ymw17;-26.138;-41.659;1.328;EXGAL:LMC;0;misc;NAN;
241;J0537-6910;mgz+98;J0537-6910;mgz+98;NAN;0;*;NAN;0;*;NAN;0;*;52061.33;*;279.559;-31.745;84.4476;4.6e-04;-69.17219;1.7e-04;0.0161222220245;4.0e-13;mgm+04;5.1784338E-14;1.1e-20;mgm+04;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;0.000;1.0e-02;cmj+05;NAN;0;*;49.700;NAN;*;-26.149;-41.678;1.481;EXGAL:LMC,SNR:N157B[mgz+98],PWN:N157B[wgcd01];0;misc;NRAD;
242;J0538+2817;fcwa95;J0538+2817;fcwa95;-23.57;1.0e-01;cbv+09;52.87;1.0e-01;cbv+09;0.72;1.2e-01;cbv+09;52275;cbv+09;179.719;-1.686;84.6044050;4.2e-07;28.2858781;5.6e-07;0.14315825891177;1.1e-13;klh+03;3.6694515E-15;1.3e-21;klh+03;39.57;0;dmo+24;6.7;1.0e-01;dmo+24;21.2;1.0e-01;dmo+24;NAN;0;*;8.2;2.0e-01;lwf+04;1.90;1.0e-01;lwf+04;NAN;0;*;1.300;0.946;ymw17;-0.038;0.006;9.799;SNR:S147[acj+96];0;ar4,ar327,gb4,lotaas,fast_gpps;HE[mkz+03];
243;J0540+3207;cfl+06;J0540+3207;cfl+06;NAN;0;*;NAN;0;*;NAN;0;*;NAN;*;176.719;0.761;85.154650;4.2e-06;32.12703;2.8e-05;0.524271;0;dmo+24;4.4811E-16;2.0e-20;nab+13;61.97;0;dmo+24;10.0;0;dmo+24;18.2;0;dmo+24;NAN;0;*;NAN;0;*;0.34;3.0e-02;nab+13;NAN;0;*;1.421;1.421;ymw17;0.019;0.081;9.919;NAN;0;palfa,ar327,gbncc,lotaas;NAN;
244;J0540+4542;crafts23;J0540+4542;crafts23;NAN;0;*;NAN;0;*;NAN;0;*;59424;wyw+23;165.073;7.827;85.03325;4.2e-05;45.71461;1.1e-04;0.401141464893;4.0e-12;wyw+23;1.170E-17;9.0e-20;wyw+23;56.12;2.0e-02;wyw+23;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;0.17;3.0e-02;wyw+23;NAN;0;*;1.512;1.512;ymw17;0.206;0.386;9.947;NAN;0;fast_crafts;NAN;
245;B0540-69;shh84;J0540-6919;shh84;NAN;0;*;NAN;0;*;NAN;0;*;51722;msl+10;279.717;-31.516;85.04667;3.8e-05;-69.331714;1.4e-05;0.0505697030222;1.8e-12;fak15;4.789091E-13;3.0e-19;fak15;147.20;1.0e-01;sjk+21;16.98;0;sjk+21;22.47;0;sjk+21;0.00205;5.0e-05;gsa+21;0.0000;7.0e-04;msl+10;0.10;3.0e-02;jpm+22;NAN;0;*;49.700;48.911;ymw17;-25.980;-41.761;1.349;GRS:4FGL_J0540.3-6920[aab+22],EXGAL:LMC,SNR:0540-693[aab+15],PWN:0540-693[aab+15];0;misc;HE[mp85];
246;J0540-7125;lml+98;J0540-7125;lml+98;NAN;0;*;NAN;0;*;NAN;0;*;49527.17;*;282.148;-31.236;85.1283;1.3e-03;-71.42539;1.4e-04;1.286014595;3.0e-09;dsb+98;8.2E-16;8.0e-17;dsb+98;29.41;7.0e-02;dsb+98;39;0;pkj+21;70;7.0e+00;dsb+98;NAN;0;*;5;0;lml+98;0.30;1.0e-01;jk18;NAN;0;*;0.547;0.547;ymw17;-0.284;-0.457;8.402;NAN;0;pks70;NAN;
