#;NAME;;PSRJ;;PMRA;;;PMDEC;;;PX;;;POSEPOCH;;Gl;Gb;RAJD;;DECJD;;P0;;;P1;;;DM;;;W50;;;W10;;;TAU_SC;;;S400;;;S1400;;;S2000;;;DIST;DIST_DM;;ZZ;XX;YY;ASSOC;;SURVEY;PSR;
;;;;;(mas/yr);;;(mas/yr);;;(mas);;;(MJD);;(deg);(deg);(deg);;(deg);;(s);;;;;;(cm^-3pc);;;(ms);;;(ms);;;(s);;;(mJy);;;(mJy);;;(mJy);;;(kpc);(kpc);;(kpc);(kpc);(kpc);;;;TYPE;
11;B0021-72G;rlm+95;J0024-7204G;rlm+95;5.25;3.0e-02;vb21;-2.55;3.0e-02;vb21;0.232;9.0e-03;vb21;51600;frk+17;305.891;-44.893;6.0331679;4.2e-07;-72.07769528;1.4e-07;0.00404037914356515;1.4e-16;frk+17;-4.21584E-20;1.7e-24;frk+17;24.4343;2.0e-04;apr+23;0.7;0;mlr+91;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;4.520;2.556;ymw17;-3.190;-2.594;6.623;GC:47Tuc(NGC104),XRS:[bgh+06];0;pksgc;NAN;
12;B0021-72L;rlm+95;J0024-7204L;rlm+95;5.25;3.0e-02;vb21;-2.55;3.0e-02;vb21;0.232;9.0e-03;vb21;51600;frk+17;305.898;-44.888;6.0157171;1.3e-06;-72.0824786;5.6e-07;0.0043461679994616;4.0e-16;frk+17;-1.22045E-19;4.0e-24;frk+17;24.3986;6.0e-04;apr+23;0.7;0;mlr+91;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;4.520;2.547;ymw17;-3.190;-2.594;6.622;GC:47Tuc(NGC104),XRS:[bgh+06];0;pksgc;NAN;
13;B0021-72M;mlr+91;J0024-7204M;mlr+91;5.25;3.0e-02;vb21;-2.55;3.0e-02;vb21;0.232;9.0e-03;vb21;51600;frk+17;305.913;-44.877;5.9770413;1.3e-06;-72.0918767;5.6e-07;0.0036766432176002;3.0e-16;frk+17;-3.8419E-20;6.0e-24;frk+17;24.426;3.0e-03;apr+23;1.2;0;mlr+91;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;4.520;2.552;ymw17;-3.189;-2.594;6.621;GC:47Tuc(NGC104),XRS:[bgh+06];0;pksgc;NAN;
14;B0021-72N;rlm+95;J0024-7204N;rlm+95;5.25;3.0e-02;vb21;-2.55;3.0e-02;vb21;0.232;9.0e-03;vb21;51600;frk+17;305.890;-44.897;6.0382833;8.3e-07;-72.07469186;1.9e-07;0.00305395434626085;1.0e-16;frk+17;-2.18570E-20;1.9e-24;frk+17;24.5568;2.0e-04;apr+23;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;4.520;2.585;ymw17;-3.190;-2.594;6.623;GC:47Tuc(NGC104),XRS:[bgh+06];0;pksgc;NAN;
15;J0024-7204Z;frk+17;J0024-7204Z;frk+17;5.25;3.0e-02;vb21;-2.55;3.0e-02;vb21;0.232;9.0e-03;vb21;51600;frk+17;305.894;-44.887;6.025171;8.3e-06;-72.0837444;1.7e-06;0.004554447383906;3.0e-15;frk+17;-4.54E-21;7.0e-23;frk+17;24.45;4.0e-02;frk+17;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;4.520;2.559;ymw17;-3.190;-2.594;6.622;GC:47Tuc(NGC104),XRS:[bhc+17];0;misc;NAN;
16;J0024-7204aa;phl+16;J0024-7204aa;phl+16;5.25;3.0e-02;vb21;-2.55;3.0e-02;vb21;0.232;9.0e-03;vb21;57022.00;*;305.895;-44.889;6.02363;0;-72.08128;0;0.00184;0;phl+16;NAN;0;*;24.921;2.0e-03;apr+23;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;4.520;2.675;ymw17;-3.190;-2.594;6.623;GC:47Tuc(NGC104),XRS:[bhc+17];0;misc;NAN;
17;J0024-7204ab;phl+16;J0024-7204ab;phl+16;5.25;3.0e-02;vb21;-2.55;3.0e-02;vb21;0.232;9.0e-03;vb21;51600;frk+17;305.891;-44.891;6.034006;2.1e-06;-72.0798894;5.6e-07;0.0037046394947985;6.0e-16;frk+17;9.820E-21;9.0e-24;frk+17;24.3256;5.0e-04;apr+23;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;4.520;2.530;ymw17;-3.190;-2.594;6.623;GC:47Tuc(NGC104),XRS:[bhc+17];0;misc;NAN;
18;J0026+6320;jml+09;J0026+6320;jml+09;NAN;0;*;NAN;0;*;NAN;0;*;56675.00;*;120.176;0.593;6.71067;3.3e-05;63.333575;1.4e-05;0.31835777079;3.0e-11;sjm+19;1.506E-16;6.0e-19;sjm+19;245.06;6.0e-02;sjm+19;8.1;8.0e-01;jml+09;48;0;mss+20;0.00034;0;sjm+19;NAN;0;*;1.0;3.0e-01;jml+09;NAN;0;*;6.619;6.619;ymw17;0.069;5.722;11.827;NAN;0;misc,gbncc;NAN;
19;J0026-1955;mss+20;J0026-1955;mss+20;NAN;0;*;NAN;0;*;NAN;0;*;58880.50;*;83.291;-80.829;6.65000;0;-19.93306;0;1.306150;5.0e-06;mbs+22;NAN;0;*;20.869;5.0e-03;mbs+22;85;0;mbs+22;95;0;mss+20;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;25.000;25.000;ymw17;-24.680;3.957;8.034;NAN;0;gbncc,mwa_smart;NAN;
20;J0030+0451;lzb+00;J0030+0451;lzb+00;-6.15;5.0e-02;dds+23;0.37;1.4e-01;dds+23;2.91;1.8e-01;sbf+24;59251;sbf+24;113.141;-57.611;7.61426435;2.0e-07;4.8610320;4.6e-07;0.00486545328635212;5.0e-17;abb+23;1.01738E-20;3.0e-25;abb+23;4.3310;1.0e-03;abb+23;NAN;0;*;NAN;0;*;NAN;0;*;7.9;2.0e-01;lzb+00;1.09;3.0e-02;sbm+22;0.63;1.5e-01;aab+21a;0.344;0.345;ymw17;-0.290;0.169;8.572;GRS:4FGL_J0030.4+0451[aab+22];0;misc,FermiBlind,gbncc,lotaas;HE[btlb00],HE[aaa+09e];
