PSRJ,RAJD,RAJD_err,DECJD,DECJD_err,PMRA,PMRA_err,PMDEC,PMDEC_err,PX,PX_err,POSEPOCH,REFERENCE FOR PROPER MOTION,CLASS,ANALYSIS_TYPE,P0,P0_err,P1,P1_err,DM,DM_err,DIST,DIST_DM,BSURF,ASSOC
,[deg],[deg],[deg],[deg],[mas/yr],[mas/yr],[mas/yr],[mas/yr],[mas],[mas],[MJD],(only if different from the ATNF),,,[s],[s],[s/s],[s/s],[cm^-3pc],[cm^-3pc],[kpc],[kpc],[G],
J0024-7204J,5.9975321,4.2E-07,-72.06633078,1.4E-07,5.27,0.06,-3.59,0.09,NAN,0,51600,,PSR,,0.002100633545352,5E-17,-9.7917E-21,9E-25,24.5932,0.0001,4.69,2.594,NAN,GC:47Tuc
J0024-7204L,6.0157171,1.3E-06,-72.0824786,5.6E-07,4.4,0.2,-2.4,0.2,NAN,0,51600,,PSR,,0.004346167999462,4E-16,-1.22045E-19,4E-24,24.4,0.01,4.69,2.547,NAN,GC:47Tuc
J0024-7204M,5.9770413,1.3E-06,-72.0918767,5.6E-07,5,0.3,-2,0.4,NAN,0,51600,,PSR,,0.0036766432176,3E-16,-3.8419E-20,6E-24,24.43,0.02,4.69,2.553,NAN,GC:47Tuc
J0024-7204N,6.0382833,8.3E-07,-72.07469186,1.9E-07,6.3,0.2,-2.8,0.2,NAN,0,51600,,PSR,,0.003053954346261,1E-16,-2.1857E-20,1.9E-24,24.574,0.009,4.69,2.589,NAN,GC:47Tuc
J0024-7204O,6.0193856,2.5E-07,-72.08160194,5.6E-08,5.01,0.05,-2.58,0.08,NAN,0,51600,,PSR,,0.002643343297244,5E-17,3.03493E-20,6E-25,24.356,0.002,4.69,2.537,287000000,GC:47Tuc
J0024-7204Q,6.0687121,4.2E-07,-72.07365678,1.7E-07,5.2,0.1,-2.6,0.1,NAN,0,51600,,PSR,,0.004033181184573,1.5E-16,3.4008E-20,4E-24,24.265,0.004,4.69,2.517,375000000,GC:47Tuc
J0024-7204R,6.0316046,8.3E-07,-72.08066539,1.4E-07,4.8,0.1,-3.3,0.2,NAN,0,51600,,PSR,,0.003480462707493,1.3E-16,1.48352E-19,3E-24,24.361,0.007,4.69,2.538,727000000,GC:47Tuc
J0024-7204S,6.0165808,4.2E-07,-72.07843139,1.1E-07,4.5,0.1,-2.5,0.1,NAN,0,51600,,PSR,,0.002830405957879,8E-17,-1.205413E-19,9E-25,24.376,0.004,4.69,2.542,NAN,GC:47Tuc
J0024-7204T,6.035621,2.1E-06,-72.0774811,8.3E-07,5.1,0.6,-2.6,0.7,NAN,0,51600,,PSR,,0.007588479807367,1.2E-15,2.93805E-19,1.2E-23,24.41,0.02,4.69,2.55,1510000000,GC:47Tuc
J0024-7204U,6.0409858,4.2E-07,-72.06658006,1.1E-07,4.6,0.2,-3.8,0.1,NAN,0,51600,,PSR,,0.004342826696392,1.2E-16,9.52279E-20,1.7E-24,24.337,0.004,4.69,2.534,651000000,GC:47Tuc
J0024-7204W,6.025242,4.2E-06,-72.0803022,5.6E-07,6.1,0.5,-2.6,0.3,NAN,0,50000,,PSR,,0.002352344531937,3E-16,-8.65526E-20,1.2E-24,24.367,0.003,4.69,2.539,NAN,GC:47Tuc
J0024-7204X,6.0932735,3.8E-07,-72.0215115,1.9E-07,5.8,0.1,-3.3,0.2,NAN,0,54000,,PSR,,0.004771522910694,5E-17,1.8361E-20,7E-25,24.539,0.005,4.69,2.587,300000000,GC:47Tuc
J0024-7204Y,6.0058442,4.2E-07,-72.07828786,1.1E-07,4.4,0.1,-3.4,0.1,NAN,0,51600,,PSR,,0.002196657143521,5E-17,-3.51721E-20,1E-24,24.468,0.004,4.69,2.563,NAN,GC:47Tuc
J0024-7204Z,6.025171,8.3E-06,-72.0837444,1.7E-06,4,2,1,2,NAN,0,51600,,PSR,,0.004554447383906,3E-15,-4.54E-21,7E-23,24.45,0.04,2.56,2.559,NAN,GC:47Tuc
J0030+0451,7.61428258,1.6E-07,4.8610309,3.7E-07,-6.4,0.1,0.9,0.3,2.94,0.09,55390,Perera+ 2019,PSR,,0.004865453211255,3E-16,1.01743E-20,1.2E-24,4.33991,7E-05,0.32,0.345,225000000,GRS:2FGL_J0030.4+0450[naa+12]
J0034-0534,8.5909759,3.3E-07,-5.5768672,8.3E-07,7.9,0.3,-9.2,0.6,NAN,0,55000,Perera+ 2019,PSR,,0.001877181884585,2E-16,4.966E-21,1E-24,13.76517,4E-05,1.35,1.348,97700000,GRS:2FGL_J0034.4-0534[naa+12]
J0034-0721,8.5369596,4.2E-07,-7.3648358,5.6E-07,10.37,0.08,-11.13,0.16,0.93,0.08,52275,,PSR,,0.9429509945598,1.7E-12,4.0821E-16,7E-21,10.922,0.006,1.03,0.996,628000000000,NAN
J0040+5716,10.1349579,4.2E-07,57.2735647,2.8E-07,12.39,0.05,-5.4,0.1,0.11,0.04,49667,,PSR,,1.1182253452412,1.3E-12,2.878973E-15,1.2E-20,92.5146,0.0025,2.42,2.42,1820000000000,NAN
J0045-7319,11.3965,0.00029,-73.3175,5.6E-05,0.31,0.11,-0.931,0.099,0.04,0.06,57205.875,Jennings+ 2018,Binary PSR,,0.92627590497,3E-11,4.4632E-15,9E-19,105.4,0.7,59.7,58.725,2060000000000,EXGAL:SMC
J0055+5117,13.9391588,4.2E-07,51.2901669,2.8E-07,10.47,0.07,-17.4,0.1,0.35,0.06,49664,,PSR,,2.115171148865,4E-12,9.53764E-15,4E-20,44.0127,0.0024,2.86,1.935,4550000000000,NAN
J0101-6422,15.2963179,8.3E-07,-64.3750475,5.6E-07,10,1,-12,2,NAN,0,55520,,PSR,,0.002573151972168,2E-16,5.16E-21,3E-23,11.926,0.001,1,1.002,117000000,GRS:2FGL_J0101.2-6425[naa+12]
J0102+6537,15.6374642,4.2E-07,65.6203933,2.8E-07,9.24,0.07,1.77,0.15,0.4,0.04,49675,,PSR,,1.679164229064,1.2E-11,5.95492E-15,9E-20,65.853,0.016,2.5,1.978,3200000000000,NAN
J0108-1431,17.0347792,3.7E-07,-14.5306075,3.1E-07,75.1,2.3,-152.5,1.7,4.2,1.4,54100,,PSR,,0.807564614019,2E-11,7.704E-17,1.2E-19,2.38,0.19,0.21,0.232,252000000000,NAN
J0108+6608,17.0937704,1.3E-06,66.1429164,2.8E-07,-32.75,0.03,35.15,0.04,0.47,0.03,50011,,PSR,,1.2836598429,5E-10,1.3051E-14,3E-18,30.5482,0.0014,2.13,1.461,4140000000000,NAN
J0134-2937,23.5778433,1.3E-06,-29.6214006,1.9E-06,17,1,-9,2,NAN,0,54428,,PSR,,0.136961610513651,1.4E-14,7.83699E-17,3E-22,21.806,0.006,25,25,105000000000,NAN
J0139+5814,24.83225,5E-06,58.242172,4.7E-06,-19.11,0.07,-16.6,0.07,0.37,0.04,52275,,PSR,,0.27245063095,1.5E-11,1.071167E-14,1.2E-19,73.81141,0.00076,2.6,2.006,1730000000000,NAN
J0146+6145,26.5934,0.00042,61.75078,0.00019,-4.1,1,1.9,1,NAN,0,49031,,MAG,,8.6889941,4E-07,1.99E-12,5E-14,NAN,0,3.6,3.6,133000000000000,XRS:4U_0142+61
J0147+5922,26.9360142,4.2E-07,59.3675789,2.8E-07,-6.38,0.092,3.826,0.075,0.495,0.0675,53160,Deller+ 2019,PSR,,0.19632137543003,1.6E-13,2.56763E-16,8E-21,40.111,0.003,2.13,1.578,227000000000,NAN
J0151-0635,27.8446579,8.3E-07,-6.5841631,5.6E-07,10.697,0.119,-5.373,0.069,0.217,0.087,49347,Deller+ 2019,PSR,,1.464664549334,7E-12,4.4259E-16,5E-20,25.66,0.03,25,25,815000000000,NAN
J0152-1637,28.0452246,4.2E-07,-16.6315669,5.6E-07,0.804,0.217,-31.372,0.368,0.44,0.2,48227,Deller+ 2019,PSR,,0.8327416126878,1.3E-12,1.299202E-15,6E-21,11.92577,4E-05,0.92,0.92,1050000000000,NAN
J0154+1833,28.65367804,1.3E-07,18.564099,2.5E-06,10.3,0.9,-8.9,1.9,NAN,0,56900,,PSR,,0.002364569776301,5E-16,2.919E-21,1.2E-23,19.7978,0.0001,1.62,1.622,84100000,NAN
J0157+6212,29.4580975,4.2E-07,62.2074022,2.8E-07,1.57,0.06,44.8,0.04,0.56,0.03,49709,,PSR,,2.35174493646,7E-11,1.889254E-13,5E-19,30.21,0.03,1.79,1.385,21300000000000,NAN
J0205+6449,31.4080103,6.3E-07,64.8281484,2.8E-07,-1.4,0.16,0.54,0.16,NAN,0,55487,,PSR,,0.06571592849324,9E-14,1.93754256E-13,4E-21,140.7,0.3,3.2,2.784,3610000000000,SNR:PWN:3C58
J0206-4028,31.50539,2.1E-05,-40.467672,1.9E-05,9,4,26,5,NAN,0,57600,,PSR,,0.630551259569,4E-12,1.1966E-15,3E-19,12.9,1.2,1.26,1.26,879000000000,NAN
J0218+4232,34.526494038,1.7E-08,42.53815976,2.2E-08,5.31,0.08,-3.1,0.1,0.16,0.09,55849.1,Perera+ 2019,PSR,,0.002323090531512,8E-17,7.73955E-20,7E-25,61.252,0.005,3.15,2.928,429000000,GRS:2FGL_J0218.1+4233[naa+12]
J0248+6021,42.077571,4.2E-06,60.359644,2.8E-06,48,10,48,4,NAN,0,54000,,PSR,,0.217094,5E-06,5.509E-14,5E-17,370,1,2,2,3500000000000,GRS:2FGL_J0248.1+6021[naa+12]
J0255-5304,43.984552,3.8E-06,-53.072576,2.5E-06,25,4,7,3,NAN,0,57600,,PSR,,0.4477084731988,3E-13,3.129E-17,3E-20,15.9,0.5,1.51,1.514,120000000000,NAN
J0304+1932,46.13798,6.7E-05,19.5476,0.00022,6,7,-37,4,NAN,0,49289,,PSR,,1.387584446262,3E-12,1.295235E-15,2E-20,15.65677,0.00035,0.74,0.739,1360000000000,NAN
J0323+3944,50.8610913,4.2E-07,39.7478897,2.8E-07,26.5,0.05,-30.77,0.02,1.05,0.04,49290,,PSR,,3.032071956385,1E-11,6.3562E-16,7E-20,26.18975,0.00093,0.95,1.197,1400000000000,NAN
J0332+5434,53.24754,4.2E-07,54.5787025,2.8E-07,16.97,0.03,-10.37,0.05,0.59,0.02,46473,,PSR,,0.714519699726,4E-12,2.048265E-15,8E-21,26.7641,0.0001,1.69,1.183,1220000000000,NAN
J0335+4555,53.81934,4.2E-07,45.9315144,2.8E-07,-3.66,0.05,-0.08,0.12,0.41,0.02,49912,,PSR,,0.26920054092953,1.3E-13,7.3505E-18,1E-21,47.14571,0.00029,2.44,1.535,45000000000,NAN
J0337+1715,54.4326079,5.4E-07,17.2541189,5.6E-07,4.81,0.49,-4.42,0.42,0.73,0.24,55920,,Binary PSR,,0.00273258863244,9E-14,1.7666E-20,9E-24,21.3162,0.0003,1.3,0.816,222000000,OPT:[rsa+14]
J0340+4130,55.09703317,4.5E-08,41.51258087,7.8E-08,0,0.4,-4.4,0.8,0.4,0.4,56675,Perera+ 2019,PSR,,0.003299339366491,1.7E-17,7.047E-21,1.2E-24,49.5865,0.0016,1.6,1.603,154000000,GRS:2FGL_J0340.4+4131[naa+12]
J0348+0432,57.181829167,1.7E-08,4.53651611,5.6E-08,4.04,0.16,3.5,0.6,NAN,0,56000,,Binary PSR,,0.039122656901781,7E-16,2.4075E-19,5E-23,40.46313,0.00011,2.1,2.256,3110000000,NAN
J0357+3205,59.4688,0.00083,32.0903,0.0017,117,20,115,20,NAN,0,54946,,Gamma-/X-ray PSR,,0.4441044988,6E-10,1.3037E-14,2E-17,NAN,0,0.83,0.83,2430000000000,GRS:2FGL_J0357.8+3205[naa+12]
J0357+5236,59.4368346,8.3E-07,52.6159703,2.8E-07,13.908,0.088,-10.633,0.078,0.305,0.053,49912,Deller+ 2019,PSR,,0.1970300980314,3E-13,4.76594E-16,3E-21,103.706,0.004,3.57,2.025,310000000000,NAN
J0358+5413,59.7238492,8.3E-07,54.2204956,8.3E-07,9.3,0.5,8.3,0.8,0.91,0.16,54096,,PSR,,0.156384121559,8E-12,4.39496E-15,5E-20,57.142,0.0003,1,1.594,839000000000,XRS:PWN[mvk+06]
J0406+6138,61.6253358,8.3E-07,61.6448356,2.8E-07,12.4,0.1,22.74,0.08,0.22,0.05,53784,,PSR,,0.5945761650437,8E-13,5.57316E-15,3E-20,65.4053,0.0034,4.55,1.785,1840000000000,NAN
J0437-4715,69.316234057,2.5E-09,-47.2525307539,1.9E-09,121.443,0.001,-71.474,0.002,6.42,0.07,54500,Perera+ 2019,Binary PSR,,0.005757451936713,1.7E-17,5.729215E-20,1.7E-25,2.64476,7E-05,0.16,0.156,581000000,OPT:[bbm+95]
J0452-1759,73.1421071,4.2E-07,-17.9898253,5.6E-07,11.5,0.9,6,2,0.6,1.4,52275,,PSR,,0.548939223294,3E-12,5.753107E-15,1.6E-20,39.903,0.003,0.4,2.711,1800000000000,NAN
J0453+1559,73.4392237,2.1E-07,15.9892517,1.6E-06,-5.5,0.5,-6,4.2,NAN,0,56400,,PSR,,0.045781816872952,3.3E-15,1.8612E-19,8E-23,30.3053,0.0003,0.52,0.522,2950000000,NAN
J0454+5543,73.5322942,4.2E-07,55.7281769,5.6E-07,53.34,0.06,-17.56,0.14,0.84,0.05,52275,,PSR,,0.340729436235,1E-11,2.37227E-15,7E-20,14.59002,0.00015,1.18,0.637,910000000000,NAN
J0502+4654,75.519004,1.7E-05,46.90169,2.5E-05,-8,3,8,5,NAN,0,48717,,PSR,,0.638565481517,3E-12,5.582339E-15,1.7E-20,41.834,0.02,1.32,1.319,1910000000000,NAN
J0509+0856,77.34264521,4.2E-08,8.9402847,2.2E-07,5.4,0.2,-4.3,0.5,NAN,0,57384,,PSR,,0.004055838231564,5E-16,4.412E-21,1.2E-23,38.318,0.004,0.82,0.817,135000000,NAN
J0514-4002A,78.5278863,8.3E-07,-40.0469147,5.3E-07,5.19,0.22,-0.56,0.25,NAN,0,53623.16,,PSR,,0.004990575114112,3E-15,7E-22,1.3E-22,52.14016,0.00037,13.2,13.2,59700000,GC:NGC1851
J0520-2553,80.150772,1.4E-05,-25.88675,3E-05,20,12,19,21,NAN,0,51216,S.J.Dang+ 2020,PSR,CT,0.2416421756731,7E-13,3.0092E-17,9E-21,33.77,0.03,2.38,2.379,86300000000,NAN
J0525+1115,81.485201,4.6E-06,11.2553,1.9E-05,31,2,-1,8,NAN,0,48262,,PSR,,0.3544375945137,1.3E-13,7.36052E-17,6E-22,79.418,0.013,1.84,1.841,163000000000,NAN
J0528+2200,82.21777,3.8E-05,22.0011,0.00056,-20,19,7,9,NAN,0,53100,,PSR,,3.7455392503,3E-11,4.0053E-14,1.5E-18,50.8695,0.0013,1.22,1.215,12400000000000,NAN
J0534+2200,83.63322,2.1E-05,22.014461,1.7E-05,-14.7,0.8,2,0.8,NAN,0,40706,,PSR,,0.0333924123,1.2E-09,4.20972E-13,3E-18,56.77118,0.00024,2,1.311,3790000000000,SNR:PWN:Crab[ccl+69]
J0536-7543,84.12842,4.2E-05,-75.73189,2.8E-05,3,40,65,8,NAN,0,57600,,PSR,,1.245856132914,8E-12,5.777E-16,1.3E-18,18.58,0.02,0.14,0.143,858000000000,NAN
J0538+2817,84.604405,4.2E-07,28.2858781,5.6E-07,-23.57,0.1,52.87,0.1,0.72,0.12,52275,,PSR,,0.14315825891177,1.1E-13,3.6694515E-15,1.3E-21,39.57,0.001,1.3,0.946,733000000000,SNR:S147[acj+96]
J0543+2329,85.7958,0.00071,23.27781,0.00013,19,7,12,8,NAN,0,55580,,PSR,,0.245983683333,5E-12,1.541956E-14,8E-20,77.7026,0.001,1.56,1.565,1970000000000,XRS:[pb15]
J0601-0527,90.49573,8.3E-07,-5.4641308,1.1E-06,-7.36,0.07,-15.24,0.09,0.48,0.04,49379,,PSR,,0.3959691695432,5E-13,1.302098E-15,5E-21,80.538,0.005,2.08,2.328,727000000000,NAN
J0610-2100,92.55664776,7.1E-08,-21.00775869,1.1E-07,9.04,0.08,16.73,0.08,NAN,0,55000,Perera+ 2019,PSR,,0.003861324704299,6E-16,1.235E-20,6E-23,60.6662,0.0017,3.26,3.259,221000000,GRS:2FGL_J0610.3-2059[naa+12]
J0613-0200,93.433232596,1.8E-08,-2.01311979,4E-08,1.828,0.005,-10.35,0.01,0.9,0.04,55413,Perera+ 2019,PSR,,0.003061844040962,9E-18,9.59057E-21,1.5E-25,38.77919,6E-05,0.78,1.024,173000000,GRS:2FGL_J0613.8-0200[naa+12]
J0614+2229,93.5708575,4.2E-07,22.4991244,2.8E-07,-0.24,0.04,-1.25,0.04,0.28,0.03,49674,,PSR,,0.33495996611,1.6E-10,5.94494E-14,1.2E-18,96.91,0.04,3.57,1.744,4520000000000,NAN
J0614-3329,93.5431158,1.3E-06,-33.4983661,1.1E-06,0.58,0.09,-1.92,0.12,1.1,1.1,55100,,PSR,,0.003148669579439,9E-15,1.75E-20,7E-22,37.049,0.001,0.63,2.69,238000000,GRS:2FGL_J0614.1-3329[naa+12]
J0621+1002,95.34214317,1.3E-07,10.0440931,4.2E-07,3.2,0.1,-0.6,0.5,NAN,0,55000,Perera+ 2019,PSR,,0.028853861194057,1.6E-15,4.73E-20,5E-23,36.47,0.03,0.42,0.42,1180000000,NAN
J0629+2415,97.2738637,4.2E-07,24.2615406,2.8E-07,3.56,0.12,-4.68,0.08,0.33,0.05,49438,,PSR,,0.476622836038,4E-12,1.99573E-15,3E-20,84.1762,0.005,3.12,1.667,987000000000,NAN
J0630-2834,97.70585164,1.8E-07,-28.57854967,1E-07,-46.3,0.99,21.26,0.52,3.01,0.41,54100,,PSR,,1.24441859615,8E-11,7.1229E-15,3E-19,34.425,0.001,0.32,2.069,3010000000000,XRS:RX_J0630.8-2834[bjk+05]
J0633+0632,98.43421,8.3E-05,6.543,0.00044,-36,0,39,0,NAN,NAN,NAN,Danilenko+2020,Gamma-/X-ray PSR,,0.29739519058,7E-11,7.9592E-14,3E-18,NAN,0,1.35,1.35,4920000000000,GRS:2FGL_J0633.7+0633[naa+12]
J0633+1746,98.475637,1.2E-05,17.770252,1.1E-05,138,4,97,4,6.4,1.8,49793,,PSR,,0.2370994416923,2E-12,1.097087E-14,5E-20,2.89,0.02,0.19,0.138,1630000000000,GRS:2CG195+04(Geminga)
J0636+5129,99.02019669,2.9E-08,51.48332412,4E-08,4.3,0.9,2,1.2,4.9,0.6,57002,Stovall+ 2014,PSR,,0.002868952846534,3E-17,3.442E-21,5E-24,11.10816,0.00011,0.21,0.21,101000000,XRS:[ska+16]
J0645+5158,101.49617575,1.4E-08,51.970810774,2E-08,1.64,0.08,-7.2,0.1,0.39,0.08,56534,Perera+ 2019,PSR,,0.008853496686298,1.5E-17,4.9219E-21,1E-24,18.247536,9E-06,1.25,0.672,211000000,XRS:[ska+16]
J0653+8051,103.31287,0.00012,80.86673,3.1E-05,19,3,-1,3,NAN,0,48712,,PSR,,1.214440511516,2E-12,3.798787E-15,1.5E-20,33.31882,0.00071,2.35,2.348,2170000000000,NAN
J0659+1414,104.950817,1.3E-05,14.23872,8.3E-05,44.07,0.63,-2.4,0.29,3.47,0.36,57600,,PSR,,0.384928623365,3E-12,5.494123E-14,1.2E-19,13.94,0.09,0.29,0.159,4650000000000,SNR:Monogem_Ring[tbb+03]
J0709+0458,107.28485579,8.3E-08,4.98097058,1.7E-07,-0.7,0.2,-1.3,0.4,NAN,0,56983,,PSR,,0.034428978177459,1.2E-15,3.804E-19,4E-23,44.2664,0.0005,1.2,1.203,3660000000,NAN
J0711-6830,107.97578798,5.4E-08,-68.51317068,2.2E-08,-15.57,0.02,14.24,0.02,NAN,0,54500,Perera+ 2019,PSR,,0.005490968506192,4E-17,1.49067E-20,4E-25,18.4066,0.0006,0.11,0.106,290000000,NAN
J0720-3125,110.104008,3.8E-06,-31.430579,3.1E-06,-93.2,5.4,46.8,5.1,2.8,0.9,52645.1,Eisenbeiss+ 2010,XDINS,,8.391115532,2.6E-08,6.983E-14,2.2E-16,NAN,0,0.4,0.4,24500000000000,XRS:RX_J0720.4-3125
J0729-1836,112.3847371,4.2E-07,-18.6117344,5.6E-07,-13.06,0.11,13.27,0.44,0.5,0.09,49720,,PSR,,0.51016034483,3E-11,1.895713E-14,1.9E-19,61.293,0.01,2,2.403,3150000000000,GRS:[sbc+19]
J0737-3039A,114.46353508,1.1E-07,-30.66130953,2.8E-08,-3.82,0.62,2.13,0.23,0.87,0.14,54100,,PSR,,0.022699378599624,1.1E-15,1.75993E-18,6E-23,48.92,0.005,1.1,1.105,6400000000,NAN
J0737-3039B,114.46353508,1.1E-07,-30.66130953,2.8E-08,-3.82,0.62,2.13,0.23,0.87,0.14,54100,,PSR,,2.77346077007,8E-11,8.92E-16,8E-18,48.92,0.005,1.1,1.105,1590000000000,NAN
J0738-4042,114.634425,8.3E-06,-40.71095,5.6E-06,-14,1.2,13,2,NAN,0,57600,,PSR,,0.3749207359442,1.5E-12,1.37504E-15,6E-20,160.896,0.003,1.6,1.57,727000000000,NAN
J0742-2822,115.704408,8.3E-06,-28.378822,1.1E-05,-29,2,4,2,NAN,0,49326,,PSR,,0.166762291572,2E-11,1.682112E-14,1.4E-19,73.728,0.001,2,3.114,1690000000000,GRS:2FGL_J0742.4-2821[naa+12]
J0745-5353,116.26867,0.00017,-53.885989,8.3E-06,-60,10,50,10,NAN,0,55129,,PSR,,0.214838505782,5E-12,2.18686E-15,7E-20,121.38,0.02,0.57,0.565,694000000000,NAN
J0751+1807,117.78814721,5.4E-08,18.1273573,2.8E-07,-2.72,0.06,-13.4,0.3,0.8,0.2,55000,Perera+ 2019,PSR,,0.003478770839279,4E-17,7.7874E-21,5E-25,30.246,0.006,1.11,0.428,167000000,GRS:2FGL_J0751.1+1809[naa+12]
J0754+3231,118.66953,2.1E-05,32.53228,5.6E-05,-4,5,7,3,NAN,0,48725,,PSR,,1.442349479143,3E-12,1.079865E-15,1.7E-20,39.9863,0.0014,1.46,1.464,1260000000000,NAN
J0758-1528,119.621128,2.9E-06,-15.469094,5.3E-06,-10,4,12,3,NAN,0,49896,,PSR,,0.682265175806,1.4E-12,1.61889E-15,1.4E-20,63.327,0.003,2.71,2.71,1060000000000,NAN
J0809-4753,122.43265,2.5E-05,-47.898528,1.7E-05,-19,5,15,4,NAN,0,57600,,PSR,,0.547202118684,3E-12,3.0763E-15,3E-19,228.3,1.2,6.49,6.488,1310000000000,NAN
J0814+7429,123.74792,8.3E-05,74.48492,3.1E-05,24.02,0.09,-44,0.4,2.31,0.04,49162,,PSR,,1.292241446862,3E-12,1.68114E-16,1.4E-20,5.75066,0.00048,0.43,0.368,472000000000,NAN
J0820-1350,125.1099238,4.2E-07,-13.8488497,5.6E-07,21.64,0.09,-39.44,0.05,0.51,0.04,52275,,PSR,,1.2381295438682,8E-13,2.105178E-15,7E-21,40.938,0.003,1.9,2.321,1630000000000,NAN
J0821-4300,125.489022,1.3E-05,-43.004743,1.2E-05,-54.1,8.3,-28.1,10,NAN,0,53454,,Gamma-/X-ray PSR,,0.112799455072,5E-12,9.3E-18,4E-19,NAN,0,2.2,2.2,32700000000,SNR:PUPPIS_A
J0823+0159,125.7906879,4.2E-07,1.9867969,2.8E-07,-3.797,0.244,0.171,0.256,0.376,0.099,49281,Deller+ 2019,PSR,,0.8648728046988,9E-13,1.0455E-16,6E-21,23.727,0.006,2.5,0.808,304000000000,NAN
J0824+0028,126.1035009,2.1E-07,0.4668242,5.6E-07,-4.3,0.4,-9.2,1.3,NAN,0,56600,,PSR,,0.009861348670367,1E-15,1.4689E-19,2E-23,34.5485,0.0006,1.69,1.689,1220000000,NAN
J0826+2637,126.7146117,4.2E-07,26.6225825,2.8E-07,63,0.01,-96.75,0.07,2.01,0.01,46450,,PSR,,0.53066051169,3E-11,1.70932E-15,9E-20,19.47633,0.00018,0.5,0.314,964000000000,NAN
J0835-4510,128.83588121,8.3E-08,-45.17635419,8.3E-08,-49.68,0.06,29.9,0.1,3.5,0.2,51544,,PSR,,0.089328385024,4E-12,1.25008E-13,1.6E-17,67.97,0.02,0.28,0.328,3380000000000,SNR:Vela
J0837+0610,129.273508,1.3E-05,6.17071,3.9E-05,2,5,51,3,NAN,0,48721,,PSR,,1.2737682915785,7E-13,6.799219E-15,5E-21,12.864,0.0004,0.19,0.19,2980000000000,NAN
J0837-4135,129.33831,2.5E-06,-41.5873786,1.7E-06,11,2,-13,1,NAN,0,57600,,PSR,,0.7516254225474,1.2E-12,3.53848E-15,4E-20,147.29,0.07,1.5,1.426,1650000000000,NAN
J0846-3533,131.52517,3.3E-05,-35.56144,2.8E-05,93,72,-15,65,NAN,0,57600,,PSR,,1.116098408825,1E-11,1.6044E-15,1.3E-18,94.16,0.11,0.54,0.535,1350000000000,NAN
J0900-3144,135.18313787,3.3E-08,-31.74191533,3.6E-08,-1.01,0.05,2.01,0.06,0.7,0.6,55000,Perera+ 2019,PSR,,0.011109649338094,6E-16,4.888E-20,1.1E-23,75.707,0.008,0.89,0.38,746000000,NAN
J0908-1739,137.159092,4.6E-06,-17.660464,8.3E-06,27,11,-40,11,NAN,0,48737,,PSR,,0.40162562344216,1.8E-13,6.695E-16,1.7E-21,15.879,0.002,0.8,0.805,525000000000,NAN
J0922+0638,140.558425,1.7E-05,6.63981,4.7E-05,18.8,0.9,86.4,0.7,0.83,0.13,48227,,PSR,,0.430627098928,1.7E-11,1.37294E-14,1E-18,27.2986,0.0005,1.1,1.912,2460000000000,XRS:[pb15]
J0942-5657,145.72677,3.8E-05,-56.962003,1.7E-05,-12,7,12,3,NAN,0,57600,,PSR,,0.808164371415,1.4E-11,3.96051E-14,1.4E-18,159.74,0.12,0.41,0.406,5730000000000,NAN
J0943+1631,145.8754,0.00063,16.5269,0.0017,23,16,9,11,NAN,0,48865,,PSR,,1.087417728071,1E-11,9.109E-17,8E-20,20.3402,0.0018,1.49,1.487,318000000000,NAN
J0944-1354,146.12065,4.6E-06,-13.911564,8.3E-06,-1,32,-22,14,NAN,0,49337,,PSR,,0.5702641245619,4E-13,4.5256E-17,3E-21,12.497,0.003,0.69,0.686,163000000000,NAN
J0946+0951,146.532,0.0033,9.865,0.0094,-38,19,-21,12,NAN,0,48483,,PSR,,1.09770570486,7E-11,3.49339E-15,2E-19,15.31845,0.0009,0.89,0.892,1980000000000,XRS:[zsp05]
J0953+0755,148.28879,7.9E-06,7.9266,2.2E-05,-2.09,0.08,29.46,0.07,3.82,0.07,46375,,PSR,,0.2530651649482,9E-13,2.29758E-16,3E-21,2.96927,8E-05,0.26,0.187,244000000000,NAN
J1012+5307,153.13932598,4.6E-08,53.11730077,3.7E-08,2.61,0.01,-25.49,0.01,0.9,0.2,55291,Perera+ 2019,Binary PSR,,0.005255749014115,1.4E-17,1.712794E-20,9E-26,9.02314,7E-05,0.7,0.805,304000000,OPT:[cgk98]
J1017-7156,154.46386783,8.3E-08,-71.94490163,3.1E-08,-7.31,0.06,6.76,0.05,3.9,1.2,55329.1,,PSR,,0.002338514440119,4E-17,2.2194E-21,7E-25,94.22407,3E-05,0.26,1.807,72900000,NAN
J1022+1001,155.7416487,4.2E-07,10.0313236,5.6E-07,-14.912,0.041,5.611,0.034,1.387,0.034,55000,Deller+ 2019,PSR,,0.016452929954195,9E-17,4.33375E-20,1.7E-24,10.2521,0.0001,0.72,0.834,854000000,NAN
J1023+0038,155.94869667,1.3E-07,0.64467931,1.4E-07,4.76,0.03,-17.34,0.04,0.731,0.022,54906,,Binary PSR,,0.001687987470221,3E-16,6.93E-21,9E-24,14.325,0.01,1.37,1.112,109000000,OPT:AY_Sex[asr+09]
