#;NAME;;PSRJ;;PMRA;;;PMDEC;;;PX;;;POSEPOCH;;Gl;Gb;RAJD;;DECJD;;P0;;;P1;;;DM;;;W50;;;W10;;;TAU_SC;;;S400;;;S1400;;;S2000;;;DIST;DIST_DM;;ZZ;XX;YY;ASSOC;;SURVEY;
;;;;;(mas/yr);;;(mas/yr);;;(mas);;;(MJD);;(deg);(deg);(deg);;(deg);;(s);;;;;;(cm^-3pc);;;(ms);;;(ms);;;(s);;;(mJy);;;(mJy);;;(mJy);;;(kpc);(kpc);;(kpc);(kpc);(kpc);;;;
11;B0021-72G;rlm+95;J0024-7204G;rlm+95;5.25;3.0e-02;vb21;-2.55;3.0e-02;vb21;0.232;9.0e-03;vb21;51600;frk+17;305.891;-44.893;6.0331679;4.2e-07;-72.07769528;1.4e-07;0.00404037914356515;1.4e-16;frk+17;-4.21584E-20;1.7e-24;frk+17;24.4343;2.0e-04;apr+23;0.7;0;mlr+91;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;4.520;2.556;ymw17;-3.190;-2.594;6.623;GC:47Tuc(NGC104),XRS:[bgh+06];*;pksgc;
12;B0021-72L;rlm+95;J0024-7204L;rlm+95;5.25;3.0e-02;vb21;-2.55;3.0e-02;vb21;0.232;9.0e-03;vb21;51600;frk+17;305.898;-44.888;6.0157171;1.3e-06;-72.0824786;5.6e-07;0.0043461679994616;4.0e-16;frk+17;-1.22045E-19;4.0e-24;frk+17;24.3986;6.0e-04;apr+23;0.7;0;mlr+91;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;4.520;2.547;ymw17;-3.190;-2.594;6.622;GC:47Tuc(NGC104),XRS:[bgh+06];*;pksgc;
13;B0021-72M;mlr+91;J0024-7204M;mlr+91;5.25;3.0e-02;vb21;-2.55;3.0e-02;vb21;0.232;9.0e-03;vb21;51600;frk+17;305.913;-44.877;5.9770413;1.3e-06;-72.0918767;5.6e-07;0.0036766432176002;3.0e-16;frk+17;-3.8419E-20;6.0e-24;frk+17;24.426;3.0e-03;apr+23;1.2;0;mlr+91;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;4.520;2.552;ymw17;-3.189;-2.594;6.621;GC:47Tuc(NGC104),XRS:[bgh+06];*;pksgc;
14;B0021-72N;rlm+95;J0024-7204N;rlm+95;5.25;3.0e-02;vb21;-2.55;3.0e-02;vb21;0.232;9.0e-03;vb21;51600;frk+17;305.890;-44.897;6.0382833;8.3e-07;-72.07469186;1.9e-07;0.00305395434626085;1.0e-16;frk+17;-2.18570E-20;1.9e-24;frk+17;24.5568;2.0e-04;apr+23;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;4.520;2.585;ymw17;-3.190;-2.594;6.623;GC:47Tuc(NGC104),XRS:[bgh+06];*;pksgc;
15;J0024-7204Z;frk+17;J0024-7204Z;frk+17;5.25;3.0e-02;vb21;-2.55;3.0e-02;vb21;0.232;9.0e-03;vb21;51600;frk+17;305.894;-44.887;6.025171;8.3e-06;-72.0837444;1.7e-06;0.004554447383906;3.0e-15;frk+17;-4.54E-21;7.0e-23;frk+17;24.45;4.0e-02;frk+17;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;4.520;2.559;ymw17;-3.190;-2.594;6.622;GC:47Tuc(NGC104),XRS:[bhc+17];*;misc;
16;J0024-7204aa;phl+16;J0024-7204aa;phl+16;5.25;3.0e-02;vb21;-2.55;3.0e-02;vb21;0.232;9.0e-03;vb21;57022.00;*;305.895;-44.889;6.02363;0;-72.08128;0;0.00184;0;phl+16;NAN;0;*;24.921;2.0e-03;apr+23;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;4.520;2.675;ymw17;-3.190;-2.594;6.623;GC:47Tuc(NGC104),XRS:[bhc+17];*;misc;
17;J0024-7204ab;phl+16;J0024-7204ab;phl+16;5.25;3.0e-02;vb21;-2.55;3.0e-02;vb21;0.232;9.0e-03;vb21;51600;frk+17;305.891;-44.891;6.034006;2.1e-06;-72.0798894;5.6e-07;0.0037046394947985;6.0e-16;frk+17;9.820E-21;9.0e-24;frk+17;24.3256;5.0e-04;apr+23;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;4.520;2.530;ymw17;-3.190;-2.594;6.623;GC:47Tuc(NGC104),XRS:[bhc+17];*;misc;
18;J0026+6320;jml+09;J0026+6320;jml+09;NAN;0;*;NAN;0;*;NAN;0;*;56675.00;*;120.176;0.593;6.71067;3.3e-05;63.333575;1.4e-05;0.31835777079;3.0e-11;sjm+19;1.506E-16;6.0e-19;sjm+19;245.06;6.0e-02;sjm+19;8.1;8.0e-01;jml+09;48;0;mss+20;0.00034;0;sjm+19;NAN;0;*;1.0;3.0e-01;jml+09;NAN;0;*;6.619;6.619;ymw17;0.069;5.722;11.827;NAN;*;misc,gbncc;
19;J0026-1955;mss+20;J0026-1955;mss+20;NAN;0;*;NAN;0;*;NAN;0;*;58880.50;*;83.291;-80.829;6.65000;0;-19.93306;0;1.306150;5.0e-06;mbs+22;NAN;0;*;20.869;5.0e-03;mbs+22;85;0;mbs+22;95;0;mss+20;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;25.000;25.000;ymw17;-24.680;3.957;8.034;NAN;*;gbncc,mwa_smart;
20;J0030+0451;lzb+00;J0030+0451;lzb+00;-6.15;5.0e-02;dds+23;0.37;1.4e-01;dds+23;3.09;6.0e-02;abb+23;55000;abb+23;113.141;-57.611;7.61428447;1.6e-07;4.8610306;3.7e-07;0.00486545328635212;5.0e-17;abb+23;1.01738E-20;3.0e-25;abb+23;4.3310;1.0e-03;abb+23;NAN;0;*;NAN;0;*;NAN;0;*;7.9;2.0e-01;lzb+00;1.09;3.0e-02;sbm+22;0.63;1.5e-01;aab+21a;0.324;0.345;ymw17;-0.273;0.159;8.568;GRS:4FGL_J0030.4+0451[aab+22];*;misc,FermiBlind,gbncc,lotaas;
21;J0033+57;hrk+08;J0033+57;hrk+08;NAN;0;*;NAN;0;*;NAN;0;*;54100.00;*;120.410;-5.781;8.25000;0;57.00000;0;0.315;0;hrk+08;NAN;0;*;75.65;9.0e-02;mss+20;8.6;0;mss+20;19;0;mss+20;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;2.251;2.251;ymw17;-0.227;1.931;9.634;NAN;*;gbt350,gbncc,lotaas;
22;J0033+61;hrk+08;J0033+61;hrk+08;NAN;0;*;NAN;0;*;NAN;0;*;54100.00;*;120.698;-1.792;8.25000;0;61.00000;0;0.912;0;hrk+08;NAN;0;*;37.7;3.0e-01;mss+20;16;0;mss+20;26;0;mss+20;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;1.654;1.654;ymw17;-0.052;1.422;9.344;NAN;*;gbt350,gbncc,lotaas;
23;J0034+69;slr+14;J0034+69;slr+14;NAN;0;*;NAN;0;*;NAN;0;*;56292.00;*;121.411;6.896;8.5;7.5e-01;69.7;3.0e-01;0.03680412;1.6e-07;slr+14;NAN;0;*;80.010;1.5e-02;mss+20;1.2;0;mss+20;2.7;0;mss+20;NAN;0;*;4.5;0;slr+14;NAN;0;*;NAN;0;*;2.283;2.283;ymw17;0.274;1.934;9.681;NAN;*;gbncc;
24;B0031-07;lvw69a;J0034-0721;lvw69a;10.37;8.0e-02;cbv+09;-11.13;1.6e-01;cbv+09;0.93;8.0e-02;cbv+09;52275;cbv+09;110.420;-69.815;8.5369596;4.2e-07;-7.3648358;5.6e-07;0.9429509945598;1.7e-12;hlk+04;4.08210E-16;7.0e-21;hlk+04;10.922;6.0e-03;srb+15;53;0;pkj+21;120;0;pkj+21;3.2E-9;1.1e-09;kl07;52;1.2e+01;lylg95;11;3.0e+00;jk18;NAN;0;*;1.030;0.996;ymw17;-0.967;0.333;8.624;NAN;*;mol1,lotaas,pks70;
25;J0036-1033;sbs+21;J0036-1033;sbs+21;NAN;0;*;NAN;0;*;NAN;0;*;58774.00;*;110.033;-73.044;9.06254;1.7e-04;-10.5539;2.5e-04;0.900009289;3.0e-09;sbs+21;2.131E-16;3.0e-19;sbs+21;23.1;2.0e-01;sbs+21;15;0;sbs+21;NAN;0;*;NAN;0;*;1;0;sbs+21;NAN;0;*;NAN;0;*;25.000;25.000;ymw17;-23.913;6.850;10.998;NAN;*;mwa_smart;
26;J0038-2501;acd+19;J0038-2501;acd+19;NAN;0;*;NAN;0;*;NAN;0;*;57474.00;*;67.413;-86.354;9.54277;4.2e-05;-25.025203;5.6e-06;0.2569264575329;1.7e-12;acd+19;7.60E-19;6.0e-21;acd+19;5.710;3.0e-03;acd+19;14;0;pkj+21;15;0;acd+19;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;0.604;0.604;ymw17;-0.603;0.035;8.485;NAN;*;gbncc;
27;J0039+35;scb+19;J0039+35;scb+19;NAN;0;*;NAN;0;*;NAN;0;*;NAN;*;120.121;-27.054;9.78;5.0e-02;35.75;5.0e-02;0.5367;0;dmo+24;NAN;0;*;53.04;0;dmo+24;8.7;0;dmo+24;15.5;0;dmo+24;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;25.000;25.000;ymw17;-11.371;19.258;19.673;NAN;*;lotaas,ar327;
28;B0037+56;dtws85;J0040+5716;dtws85;12.39;5.0e-02;dgb+19;-5.40;1.0e-01;dgb+19;0.11;4.0e-02;dgb+19;56000.0;dgb+19;121.452;-5.567;10.1349579;4.2e-07;57.2735647;2.8e-07;1.1182253452412;1.3e-12;hlk+04;2.878973E-15;1.2e-20;hlk+04;92.515;3.0e-03;bkk+16;12.2;0;lylg95;24.4;0;lylg95;NAN;0;*;7.5;5.0e-01;lylg95;0.6;0;lylg95;NAN;0;*;2.420;2.420;ymw17;-0.235;2.055;9.757;NAN;*;gb2,gbncc,lotaas;
29;J0040-7326;cls+24;J0040-7326;cls+24;NAN;0;*;NAN;0;*;NAN;0;*;NAN;*;304.018;-43.666;10.101;1.3e-02;-73.439;2.3e-03;398.7e-3;0;cls+24;NAN;0;*;85;0;cls+24;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;58.195;58.195;ymw17;-40.181;-34.892;-15.051;EXGAL:SMC[cls+24];*;meerkat_trapum;
30;J0040-7335;cls+24;J0040-7335;cls+24;NAN;0;*;NAN;0;*;NAN;0;*;NAN;*;303.957;-43.508;10.225;3.3e-03;-73.5993;1.3e-03;145.2e-3;0;cls+24;NAN;0;*;199;0;cls+24;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;61.200;61.200;ymw17;-42.133;-36.817;-16.294;EXGAL:SMC[cls+24];*;meerkat_trapum;
31;J0040-7337;cls+24;J0040-7337;cls+24;NAN;0;*;NAN;0;*;NAN;0;*;NAN;*;303.964;-43.488;10.202;5.4e-03;-73.6187;5.6e-04;59.9e-3;0;cls+24;NAN;0;*;102;0;cls+24;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;58.722;58.722;ymw17;-40.413;-35.335;-15.302;EXGAL:SMC[cls+24],SNR:DEM;S;meerkat_trapum;
32;J0043-73;tsm+19;J0043-73;tsm+19;NAN;0;*;NAN;0;*;NAN;0;*;57990.69;*;303.741;-43.786;10.823;1.6e-02;-73.330;4.2e-03;0.9374294;3.0e-07;tsm+19;NAN;0;*;115;4.0e+00;tsm+19;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;0.047;0;tsm+19;NAN;0;*;58.965;58.965;ymw17;-40.802;-35.398;-15.144;EXGAL:SMC;*;misc;
33;J0044-7314;cls+24;J0044-7314;cls+24;NAN;0;*;NAN;0;*;NAN;0;*;NAN;*;303.579;-43.886;11.242;5.0e-03;-73.2343;5.0e-04;396.9e-3;0;cls+24;NAN;0;*;78;0;cls+24;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;57.936;57.936;ymw17;-40.163;-34.788;-14.595;EXGAL:SMC[cls+24];*;meerkat_trapum;
34;J0045-7042;mfl+06;J0045-7042;mfl+06;NAN;0;*;NAN;0;*;NAN;0;*;52407.00;*;303.652;-46.418;11.3570;7.1e-04;-70.7020;3.6e-04;0.63233580002;6.0e-11;mfl+06;2.49E-15;3.0e-17;mfl+06;71.3;3.0e-01;jpm+22;20;0;pkj+21;NAN;0;*;NAN;0;*;NAN;0;*;0.064;4.0e-03;jpm+22;NAN;0;*;59.700;58.576;ymw17;-43.246;-34.260;-14.307;EXGAL:SMC;*;misc;
35;B0045+33;dtws85;J0048+3412;dtws85;NAN;0;*;NAN;0;*;NAN;0;*;49875.0;hlk+04;122.255;-28.666;12.14160;8.9e-05;34.20223;1.0e-04;1.217094296058;8.0e-12;hlk+04;2.35454E-15;6.0e-20;hlk+04;39.92;0;dmo+24;18.4;0;dmo+24;33.9;0;dmo+24;1.9E-7;6.0e-08;kl07;2.3;3.0e-01;lylg95;NAN;0;*;NAN;0;*;4.500;4.500;ymw17;-2.159;3.339;10.607;NAN;*;gb2,ar327,gb3,lotaas;
36;J0048-7317;cls+24;J0048-7317;cls+24;NAN;0;*;NAN;0;*;NAN;0;*;NAN;*;303.181;-43.831;12.234;2.9e-03;-73.2963;3.6e-04;79.3e-3;0;cls+24;NAN;0;*;292;0;cls+24;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;100.000;100.000;ymw17;-69.253;-60.376;-30.981;EXGAL:SMC[cls+24],PWN:[cls+24];*;meerkat_trapum;
37;J0050+03;dsm+16;J0050+03;dsm+16;NAN;0;*;NAN;0;*;NAN;0;*;57022.00;*;122.485;-59.071;12.63;1.2e-01;3.80;1.3e-01;1.36656;0;dsm+16;NAN;0;*;26.5;0;whx+23;10.0;1.4e+00;whx+23;14.1;1.4e+00;whx+23;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;25.000;25.000;ymw17;-21.445;10.839;15.401;NAN;*;ar327,fast_gpps;
38;J0051+0423;snt97;J0051+0423;snt97;NAN;0;*;NAN;0;*;NAN;0;*;NAN;*;122.962;-58.491;12.8754;8.3e-04;4.3803;1.7e-03;0.354732;0;dmo+24;7.0E-18;2.0e-18;snt97;13.93;0;dmo+24;11.8;0;dmo+24;35.5;0;dmo+24;NAN;0;*;3;3.0e+00;snt97;0.50;1.0e-01;jk18;NAN;0;*;1.250;1.250;ymw17;-1.066;0.548;8.855;NAN;*;gb4,ar327,gbncc,lotaas;
39;J0052-72;tsm+19;J0052-72;tsm+19;NAN;0;*;NAN;0;*;NAN;0;*;58008.54;*;302.913;-45.054;12.902;6.3e-03;-72.0739;9.7e-04;0.19144433;5.0e-08;tsm+19;NAN;0;*;158.6;1.6e+00;tsm+19;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;0.039;0;tsm+19;NAN;0;*;60.235;60.235;ymw17;-42.633;-35.722;-14.622;EXGAL:SMC;*;misc;
40;J0054+66;hrk+08;J0054+66;hrk+08;NAN;0;*;NAN;0;*;NAN;0;*;54100.00;*;123.193;3.130;13.50000;0;66.00000;0;1.39;0;hrk+08;NAN;0;*;15;0;hrk+08;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;0.901;0.901;ymw17;0.049;0.753;8.993;NAN;*;gbt350;
41;J0054+6650;msk+24;J0054+6650;msk+24;NAN;0;*;NAN;0;*;NAN;0;*;NAN;*;123.275;3.971;13.730950;1.2e-05;66.839938;4.9e-06;1.390217485626;1.2e-11;msk+24;5.55123E-15;1.0e-19;msk+24;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;NAN;*;0.000;0.000;8.500;NAN;*;gbncc;
42;J0054+69;kkl+15;J0054+69;kkl+15;NAN;0;*;NAN;0;*;NAN;0;*;NAN;*;123.200;6.563;13.62;1.0e-01;69.43;3.3e-02;NAN;0;*;NAN;0;*;90.3;2.0e-01;kkl+15;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;2.347;2.347;ymw17;0.268;1.951;9.777;NAN;*;gbncc;
43;J0054+6946;slr+14;J0054+6946;slr+14;NAN;0;*;NAN;0;*;NAN;0;*;56500.00;*;123.241;6.902;13.74632;2.8e-05;69.771347;9.7e-06;0.832911328744;5.0e-12;lsk+18;7.194E-16;7.0e-19;lsk+18;116.52;5.0e-02;lsk+18;14;0;mss+20;31;0;mss+20;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;2.757;2.757;ymw17;0.331;2.289;10.000;NAN;*;gbncc;
44;J0054-7228;cls+24;J0054-7228;cls+24;NAN;0;*;NAN;0;*;NAN;0;*;NAN;*;302.565;-44.649;13.726;2.5e-03;-72.4763;3.6e-04;290.9e-3;0;cls+24;NAN;0;*;92;0;cls+24;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;58.496;58.496;ymw17;-41.109;-35.072;-13.900;EXGAL:SMC[cls+24];*;meerkat_trapum;
45;B0052+51;dtws85;J0055+5117;dtws85;10.47;7.0e-02;dgb+19;-17.40;1.0e-01;dgb+19;0.35;6.0e-02;dgb+19;56000.0;dgb+19;123.621;-11.576;13.9391588;4.2e-07;51.2901669;2.8e-07;2.115171148865;4.0e-12;hlk+04;9.53764E-15;4.0e-20;hlk+04;44.013;3.0e-03;bkk+16;73.0;0;lylg95;92.1;0;lylg95;4.4E-7;1.9e-07;kl07;3.4;4.0e-01;lylg95;1.5;2.0e-01;lylg95;NAN;0;*;2.800;1.935;ymw17;-0.562;2.284;10.019;NAN;*;gb2,lotaas;
46;B0053+47;dtws85;J0056+4756;dtws85;NAN;0;*;NAN;0;*;NAN;0;*;49872.0;hlk+04;123.796;-14.927;14.10630;8.0e-05;47.93626;6.5e-05;0.472036662076;7.0e-12;hlk+04;3.32849E-15;7.0e-20;hlk+04;18.1354;1.3e-03;bkk+16;11.8;0;lylg95;31.3;0;lylg95;NAN;0;*;3.0;5.0e-01;lylg95;NAN;0;*;NAN;0;*;1.123;1.123;ymw17;-0.289;0.902;9.104;NAN;*;gb2,lotaas;
47;J0057-7201;ckm+01;J0057-7201;ckm+01;NAN;0;*;NAN;0;*;NAN;0;*;51213.00;*;302.244;-45.098;14.4333;1.7e-03;-72.0219;5.6e-04;0.7380624426;2.0e-10;ckm+01;10.0E-17;8.0e-17;ckm+01;27;5.0e+00;ckm+01;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;3.475;3.475;ymw17;-2.461;-2.075;7.191;NAN;*;misc;
48;J0058+4950;slr+14;J0058+4950;slr+14;NAN;0;*;NAN;0;*;NAN;0;*;56500.00;*;124.045;-13.017;14.54162;1.1e-04;49.84056;6.5e-05;0.99602345227;4.0e-11;lsk+18;8.04E-16;2.0e-17;lsk+18;66.9;0;whx+23;11.1;7.0e-01;whx+23;16.8;7.0e-01;whx+23;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;2.644;2.644;ymw17;-0.596;2.135;9.942;NAN;*;gbncc,fast_gpps;
49;J0058+6125;hrk+08;J0058+6125;hrk+08;NAN;0;*;NAN;0;*;NAN;0;*;54100.00;*;123.717;-1.445;14.50000;0;61.41667;0;0.637;0;hrk+08;NAN;0;*;128.3;2.0e-01;mss+20;7.8;0;mss+20;17;0;mss+20;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;2.597;2.597;ymw17;-0.065;2.159;9.941;NAN;*;gbt350,gbncc;
50;J0058-7218;met+21;J0058-7218;met+21;NAN;0;*;NAN;0;*;NAN;0;*;58924.00;*;302.199;-44.817;14.5696;8.3e-04;-72.3017;2.8e-04;0.02176610763;1.9e-10;met+21;2.9E-14;3.0e-15;met+21;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;59.700;NAN;*;-42.079;-35.836;-14.066;EXGAL:SMC,XRS:PWN_IKT_16[met+21];*;misc;
51;J0059+69;scb+19;J0059+69;scb+19;NAN;0;*;NAN;0;*;NAN;0;*;NAN;*;123.629;7.056;14.88;1.5e-01;69.92;5.0e-02;1.1459;0;scb+19;NAN;0;*;63.53;5.0e-02;scb+19;12;0;mss+20;60;0;mss+20;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;2.048;2.048;ymw17;0.252;1.692;9.626;NAN;*;lotaas,gbncc;
52;J0100+8023;scb+19;J0100+8023;scb+19;NAN;0;*;NAN;0;*;NAN;0;*;56676.00;*;123.318;17.530;15.06704;4.2e-05;80.394931;8.3e-06;1.4936009186;2.0e-10;tbc+20;3.543E-16;6.0e-19;tbc+20;56.0062;8.0e-04;tbc+20;8.010;1.0e-02;tbc+20;67;3.0e+00;tbc+20;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;2.847;2.847;ymw17;0.858;2.269;9.991;NAN;*;lotaas;
53;J0100-7211;lfmp02;J0100-7211;lfmp02;NAN;0;*;NAN;0;*;NAN;0;*;53032.00;*;301.930;-44.918;15.1793;4.6e-04;-72.19267;1.4e-04;8.020392;9.0e-06;mgr+05;1.88E-11;8.0e-13;mgr+05;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;NAN;0;*;59.700;NAN;*;-42.153;-35.878;-13.859;EXGAL:SMC,XRS:CXOU_J010043.1-721134;*;misc;
