t[yr],B[G],L[erg/s],P_fill[s],Pdot_fill[s/s],chi[rad],P_vac[s],Pdot_vac[s/s],P_vacObs[s],Pdot_vacObs[s/s],bpol,etor,btorAvg
0.0,1000000000000000.0,8.8969214e+36,0.001,1.0181235297124267e-06,1.0471975511965976,0.001,2.908924370606933e-07,0.001,2.4399903908833005e-07,300000000000000.0,50,52000000000000.0
1.0,997099900000000.0,7.8814961e+35,0.2012766640458545,3.0737315145519296e-09,-12.30065521801903,0.129565271443822,2.2334719695165787e-09,0.11854284144246606,2.0476206326727886e-09,300000000000000.0,50,52000000000000.0
2.0,994347630000000.0,7.5877152e+35,0.280896280147187,2.126200293875507e-09,-12.371084352378766,0.18726291318439048,1.53679561234784e-09,0.17142305634976268,1.4081676154209908e-09,300000000000000.0,50,52000000000000.0
3.0,991623820000000.0,7.3355056e+35,0.3411598422521772,1.7216017620236022e-09,-12.40419425033266,0.23075105442997496,1.2403367000856075e-09,0.21126776890629248,1.1363333015053514e-09,300000000000000.0,50,52000000000000.0
4.0,988936550000000.0,7.1697696e+35,0.3916230813284862,1.4828158029826892e-09,-12.424499940851245,0.2670674472252275,1.065878852718824e-09,0.2445376265108138,9.764247986072761e-10,300000000000000.0,50,52000000000000.0
5.0,986294330000000.0,7.0612638e+35,0.4358639382006866,1.3203219331359647e-09,-12.438594635998436,0.2988429618630647,9.474638017121176e-10,0.27364568835092895,8.679060992441771e-10,300000000000000.0,50,52000000000000.0
6.0,983694550000000.0,6.9834176e+35,0.4756922997497121,1.200377309567459e-09,-12.449117160229601,0.32740611401769654,8.602488600034565e-10,0.29981002034669124,7.879895104577213e-10,300000000000000.0,50,52000000000000.0
7.0,981135410000000.0,6.9296048e+35,0.5121727758407378,1.107065214236441e-09,-12.45735911423871,0.3535369855019877,7.925282274369259e-10,0.32374569378750906,7.25940928736276e-10,300000000000000.0,50,52000000000000.0
8.0,978612970000000.0,6.8826828e+35,0.5460005171120573,1.0317142927389003e-09,-12.464041474365482,0.37774404280977614,7.37932866650828e-10,0.3459187319140309,6.759212289838141e-10,300000000000000.0,50,52000000000000.0
9.0,976124830000000.0,6.8384082e+35,0.5776592287122033,9.69151600328677e-10,-12.469602268023067,0.4003805069995796,6.926682839768974e-10,0.3666528372877309,6.34452137172496e-10,300000000000000.0,50,52000000000000.0
10.0,973668300000000.0,6.8795172e+35,0.6074896420198609,9.161465682665287e-10,-12.474319853624191,0.42169489697609114,6.543673026296427e-10,0.38617574441102687,5.993639697154001e-10,300000000000000.0,50,52000000000000.0
20.0,950849000000000.0,6.4791101e+35,0.8441440070030529,6.262496266964114e-10,-12.500066092055535,0.5904062886218382,4.457392517185075e-10,0.5407018535250453,4.082532804920145e-10,300000000000000.0,50,52000000000000.0
