t[yr],B[G],L[erg/s],P_fill[s],Pdot_fill[s/s],chi[rad],P_vac[s],Pdot_vac[s/s],P_vacObs[s],Pdot_vacObs[s/s],bpol,etor,btorAvg
0.0,5000000000000000.0,3.4141747e+37,0.001,2.543652299502755e-05,1.0471975511965976,0.001,7.267577998579298e-06,0.001,6.096006022263313e-06,300000000000000.0,50,52000000000000.0
1.0,4969231200000000.0,4.1867651e+36,1.8158387320160847,1.5297413263811668e-08,-321.75024102610877,0.7418777312009437,9.688050430926343e-09,0.6655370436309229,9.05842153163989e-09,300000000000000.0,50,52000000000000.0
2.0,4941744300000000.0,4.0448497e+36,2.244356573409974,1.2143331224005924e-08,-321.7212294130556,1.0014162381514837,7.098021624583037e-09,0.9069148237390673,6.574176649091252e-09,300000000000000.0,50,52000000000000.0
3.0,4915700100000000.0,3.9453151e+36,2.5974820084289183,1.0314934148150283e-08,-321.69943440829525,1.2043787143636029,5.839797268601418e-09,1.0945517590343763,5.3898955325168905e-09,300000000000000.0,50,52000000000000.0
4.0,4890924500000000.0,3.8205029e+36,2.9033496636806513,9.084626587288309e-09,-321.68178607912114,1.376105217743557,5.059686716908655e-09,1.2529021597494459,4.6613738891442045e-09,300000000000000.0,50,52000000000000.0
5.0,4867207700000000.0,3.695131e+36,3.1760035633641,8.183787840872732e-09,-321.66686735478396,1.5272450456053432,4.514874895452957e-09,1.3920674424584405,4.1547986388967035e-09,300000000000000.0,50,52000000000000.0
6.0,4844471700000000.0,3.5968923e+36,3.42365603929067,7.487444193928695e-09,-321.6538975424781,1.663480908490494,4.106455861292947e-09,1.517392774471274,3.776093431050081e-09,300000000000000.0,50,52000000000000.0
7.0,4822629100000000.0,3.4740922e+36,3.6515880199382647,6.928506815512382e-09,-321.6423981749265,1.7882637028511865,3.785559868540532e-09,1.6321076550839275,3.4791138889301525e-09,300000000000000.0,50,52000000000000.0
8.0,4801559400000000.0,3.3602091e+36,3.86346651124356,6.466905450327773e-09,-321.63205072232165,1.9038948267448275,3.524657070977829e-09,1.7383583168272858,3.2379958569367198e-09,300000000000000.0,50,52000000000000.0
9.0,4781191700000000.0,3.2708988e+36,4.061958589384011,6.077217119115406e-09,-321.62263186508784,2.0119993301362444,3.306992428050681e-09,1.8376564166842448,3.0370534153578445e-09,300000000000000.0,50,52000000000000.0
10.0,4761523100000000.0,3.1644761e+36,4.249001907140829,5.743240140971414e-09,-321.6139834936634,2.1137346636112846,3.1221595668757573e-09,1.9310768269800644,2.8665648005068607e-09,300000000000000.0,50,52000000000000.0
20.0,4595835700000000.0,2.6076231e+36,5.72559742607986,3.870239313934914e-09,-321.5520527149113,2.916385439905974,2.1083322949571437e-09,2.667522775773672,1.9334438567684205e-09,300000000000000.0,50,52000000000000.0
30.0,4473860900000000.0,2.3854406e+36,6.806385920523814,3.0292429951767933e-09,-321.5122782058001,3.50695395887048,1.6614242389293438e-09,3.2089882215555807,1.5229940035541643e-09,300000000000000.0,50,52000000000000.0
40.0,4374704000000000.0,2.3448399e+36,7.682021799271954,2.5293853724209587e-09,-321.48267031481305,3.9887131700172684,1.396683420870143e-09,3.6505615973211585,1.2800496252029668e-09,300000000000000.0,50,52000000000000.0
50.0,4289920900000000.0,2.343147e+36,8.427361232178619,2.1904718140935363e-09,-321.45901007311807,4.401453337909692,1.2170665547297079e-09,4.028811810527663,1.1152934283537265e-09,300000000000000.0,50,52000000000000.0
60.0,4214544700000000.0,2.3044369e+36,9.080711392645942,1.9418306098998348e-09,-321.43929125400945,4.765395536693273,1.0849949007916546e-09,4.362307242071333,9.941824657841061e-10,300000000000000.0,50,52000000000000.0
70.0,4145766700000000.0,2.2150684e+36,9.664873858383599,1.7491788443241238e-09,-321.422385858058,5.092538905416491,9.823475884749352e-10,4.662060797929964,9.000720867292517e-10,300000000000000.0,50,52000000000000.0
80.0,4082246300000000.0,2.0980031e+36,10.194296919724284,1.594928012650595e-09,-321.4076087617043,5.390475462367284,8.998907047623441e-10,4.935038303061833,8.244835704839126e-10,300000000000000.0,50,52000000000000.0
90.0,4023295500000000.0,1.976485e+36,10.679416957332242,1.4679492250963424e-09,-321.3944885097077,5.664694867954976,8.317833491766661e-10,5.186275244539524,7.620559813613834e-10,300000000000000.0,50,52000000000000.0
100.0,3968439700000000.0,1.8617483e+36,11.127739922738096,1.3615204245503409e-09,-321.3826984727985,5.919150498921071,7.745154454180949e-10,5.419397251686266,7.095682395683442e-10,300000000000000.0,50,52000000000000.0
200.0,3562743400000000.0,1.323911e+36,14.433258030608085,8.070447360790397e-10,-321.30423180186165,7.825892910378748,4.721912578662162e-10,7.166118053043835,4.3253730712517607e-10,300000000000000.0,50,52000000000000.0
300.0,3286860700000000.0,1.0089236e+36,16.603229742531315,5.803744381318473e-10,-321.25934959148776,9.106210119968027,3.454788675004041e-10,8.338887512589368,3.1645118550113485e-10,300000000000000.0,50,52000000000000.0
400.0,3100633300000000.0,6.6284528e+35,18.24309918204075,4.603349371024439e-10,-321.2282412113531,10.08811372282971,2.774135101683486e-10,9.238279036390162,2.5409855054061044e-10,300000000000000.0,50,52000000000000.0
500.0,2960035400000000.0,5.7831078e+35,19.578623345101832,3.8472496877900325e-10,-321.2044696057799,10.896544575891445,2.3406797466475355e-10,9.978760555968416,2.143926449030043e-10,300000000000000.0,50,52000000000000.0
700.0,2723330600000000.0,4.2899578e+35,21.69026057988605,2.874891597437599e-10,-321.1694259688122,12.190102701276711,1.7740689498976897e-10,11.163573431894626,1.6249137473441092e-10,300000000000000.0,50,52000000000000.0
2000.0,2700587700000000.0,3.174957e+35,30.891437497709646,1.8161675335585046e-10,-321.04508121806924,18.019072885218524,1.17825180289447e-10,16.502345926896815,1.079146867764785e-10,300000000000000.0,50,52000000000000.0
3000.0,2726297000000000.0,3.0041524e+35,36.13049435684585,1.5212159255001809e-10,-320.9897549756249,21.45400223441422,1.0079714821104695e-10,19.648340660776572,9.231799703291319e-11,300000000000000.0,50,52000000000000.0
4000.0,2516650000000000.0,2.6940826e+35,40.30433852939533,1.1337351938667509e-10,-320.95168505961,24.23821484041335,7.61603852762009e-11,22.19833608324956,6.97533430760047e-11,300000000000000.0,50,52000000000000.0
5000.0,2461474400000000.0,2.4779852e+35,43.64339460324033,9.827294892960881e-11,-320.9244402050353,26.491245170646653,6.663299376217282e-11,24.26182572410028,6.102726478744258e-11,300000000000000.0,50,52000000000000.0
6000.0,2467001600000000.0,2.4647654e+35,46.631306081998524,9.08981801477093e-11,-320.902157784747,28.52401509456924,6.207973076291934e-11,26.12358002423535,5.6856939022199927e-11,300000000000000.0,50,52000000000000.0
7000.0,2413405300000000.0,2.402416e+35,49.355880313056,8.119328375572009e-11,-320.8833808014812,30.38974661033102,5.5774011896639467e-11,27.8323455596989,5.108164120067066e-11,300000000000000.0,50,52000000000000.0
8000.0,2350383400000000.0,2.247727e+35,51.79419631392709,7.270063401852204e-11,-320.86770244662773,32.068171900992525,5.0171321955097005e-11,29.36956099028949,4.595026057733674e-11,300000000000000.0,50,52000000000000.0
9000.0,2315818100000000.0,2.1845289e+35,54.00761211495402,6.706994582134043e-11,-320.85431277821556,33.59819989132133,4.6460522913803274e-11,30.770862625816594,4.255162183043393e-11,300000000000000.0,50,52000000000000.0
23000.0,1868707000000000.0,1.298339e+35,73.98074175285684,3.019771723103368e-11,-320.76124806728586,47.60160702947198,2.136710755038182e-11,43.59607379954697,1.9569316516239875e-11,300000000000000.0,50,52000000000000.0
24000.0,1847620500000000.0,1.2688351e+35,74.92175499955769,2.9074675258034314e-11,-320.757822256447,48.26756758540729,2.0584741045312936e-11,44.206001574691626,1.8852774479982097e-11,300000000000000.0,50,52000000000000.0
25000.0,1825950600000000.0,1.2382339e+35,75.82811411467004,2.801313706332207e-11,-320.754587392824,48.909376353791615,1.984407800245185e-11,44.79380957684917,1.8174427408827452e-11,300000000000000.0,50,52000000000000.0
26000.0,1805429100000000.0,1.2101231e+35,76.70239227800023,2.7028517889916374e-11,-320.75152446353775,49.52879406256377,1.915634079327139e-11,45.36111040129769,1.7544553381086127e-11,300000000000000.0,50,52000000000000.0
27000.0,1785455800000000.0,1.185036e+35,77.54642373772526,2.6104643152480048e-11,-320.7486203889961,50.12707820167138,1.851028646643195e-11,45.9090557429455,1.6952855367817996e-11,300000000000000.0,50,52000000000000.0
28000.0,1765399100000000.0,1.1600459e+35,78.361451860612,2.5221131873395043e-11,-320.7458649280275,50.705072863340696,1.7891636673379474e-11,46.438418680614646,1.6386256347815914e-11,300000000000000.0,50,52000000000000.0
29000.0,1745735600000000.0,1.133578e+35,79.1495263724636,2.438425021941668e-11,-320.74324392214004,51.264188439622615,1.7305021836244426e-11,46.950490946396215,1.5848997108845706e-11,300000000000000.0,50,52000000000000.0
30000.0,1726661400000000.0,1.1096095e+35,79.91191863323313,2.3594804319066623e-11,-320.7407482794308,51.8052975464476,1.6751145456056155e-11,47.446071741183985,1.5341721934420754e-11,300000000000000.0,50,52000000000000.0
31000.0,1707764600000000.0,1.0869443e+35,80.6498998278378,2.2842080582151285e-11,-320.73836932804045,52.3292755646299,1.622251885401382e-11,47.92596279756215,1.4857572212194983e-11,300000000000000.0,50,52000000000000.0
32000.0,1689101600000000.0,1.0646334e+35,81.36453862336923,2.212423246460065e-11,-320.7360994434677,52.83685676632988,1.5717930303370873e-11,48.39083661167759,1.4395438149440884e-11,300000000000000.0,50,52000000000000.0
33000.0,1670871000000000.0,1.042983e+35,82.05696458500496,2.144260755792897e-11,-320.73393116733496,53.32882110499312,1.5238427596050094e-11,48.84140751691667,1.3956279360152594e-11,300000000000000.0,50,52000000000000.0
34000.0,1652934700000000.0,1.0232041e+35,82.72837073847133,2.0792335369393924e-11,-320.7318572008626,53.80599597622084,1.4780631224479517e-11,49.27843329662743,1.3537000669595642e-11,300000000000000.0,50,52000000000000.0
35000.0,1635223000000000.0,1.003848e+35,83.37986033954371,2.0169697014235548e-11,-320.7298708709808,54.26914721135136,1.434196818011886e-11,49.702615349427795,1.3135245546266916e-11,300000000000000.0,50,52000000000000.0
36000.0,1617801600000000.0,9.8519654e+34,84.01227416934563,1.957409812653318e-11,-320.72796689586124,54.71885740107876,1.3922072600481778e-11,50.11448725033966,1.2750678899957902e-11,300000000000000.0,50,52000000000000.0
37000.0,1600765700000000.0,9.6663427e+34,84.62525962320255,1.900888460393049e-11,-320.7261452013991,55.15486865547675,1.3523351315039667e-11,50.51381280947313,1.2385505046010544e-11,300000000000000.0,50,52000000000000.0
38000.0,1583958100000000.0,9.4848354e+34,85.22128952324574,1.8465573452865232e-11,-320.7243940826836,55.5789173001995,1.313985310264217e-11,50.90218226389738,1.2034273478528795e-11,300000000000000.0,50,52000000000000.0
39000.0,1567390700000000.0,9.3047942e+34,85.80090564883167,1.7943463552971733e-11,-320.72271017364767,55.99137919956142,1.27711126153352e-11,51.27993985488812,1.1696557997071567e-11,300000000000000.0,50,52000000000000.0
40000.0,1551120000000000.0,9.1286957e+34,86.36329465486136,1.7445715206458403e-11,-320.7210955349912,56.39167299002775,1.241938774766856e-11,51.646553134936035,1.1374426516678232e-11,300000000000000.0,50,52000000000000.0
